,date,uid,sell_code,region,desc_en,group,sub,type,quantity,sold,usd,quantity_sold,usd_sold,unit_price,sold_pending,quantity_sold_pending,usd_sold_pending,scrape_count
0,2020-02-04,-9129446186974405067,cb721d4bca,Tbilisi,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr,Cannabis,Cannabis,Resin,10.0,0.0,800.0,0.0,0.0,80.0,0.0,0.0,0.0,4
1,2020-02-04,-8791982203407709057,dd631c4acf,Tbilisi,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,Pychedelics,LSD,LSD,3.0,0.0,99.0,0.0,0.0,33.0,0.0,0.0,0.0,4
2,2020-02-04,-8432614372309438521,9795761a65,Tbilisi,*new* Cocaine peru HQ 5 gr BTC -10 %,Cocaine,Cocaine,Cocaine,5.0,0.0,850.0,0.0,0.0,170.0,0.0,0.0,0.0,4
3,2020-02-04,-8062145466341331629,cb721d4bca,Tbilisi,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka.",Cannabis,Cannabis,Cannabis,5.0,0.0,250.0,0.0,0.0,50.0,0.0,0.0,0.0,4
4,2020-02-04,-7920824458787595121,0a8c230fa2,Tbilisi,VHQ BEST Cocaine 5g.,Cocaine,Cocaine,Cocaine,5.0,0.0,859.0,0.0,0.0,171.8,0.0,0.0,0.0,4
5,2020-02-04,-7868716999529820958,c225d2f67d,Tbilisi,gashish evro 5g,Cannabis,Cannabis,Resin,5.0,0.0,210.0,0.0,0.0,42.0,0.0,0.0,0.0,4
6,2020-02-04,-7159131229688638136,366326d4d6,Tbilisi,Ketamine 1g.,Ketamine,Ketamine,Ketamine,1.0,1.0,89.0,1.0,89.0,89.0,0.0,0.0,0.0,4
7,2020-02-04,-7138743974418293738,dd631c4acf,Tbilisi,❄1g. New COCAINE!!❄,Cocaine,Cocaine,Cocaine,1.0,1.0,180.0,1.0,180.0,180.0,0.0,0.0,0.0,4
8,2020-02-04,-7106670223670082884,366326d4d6,Tbilisi,1g MDMA - !!!NEW!!! - Purity 93%,MDMA,MDMA,Powder,1.0,0.0,99.0,0.0,0.0,99.0,0.0,0.0,0.0,4
9,2020-02-04,-7078827087433882406,16a8841259,Tbilisi,HQ sativa 2.3g,Cannabis,Cannabis,Cannabis,2.3,1.0,55.0,2.3,55.0,23.91304347826087,0.0,0.0,0.0,4
