date,policy,short
26-Feb-20,First case confirmed,First case
15-Apr-20,Entry and exit into major cities prohibited,Cities closed
27-Apr-20,"Vehicle ban lifted, taxis permitted, one-day temporary lifting of movement restrictions into and out of major cities",Movement restrictions lift
