date,policy,short
26-Feb-20,First case confirmed,First case
16-Mar-20,Bars and restaurants move to takeaway only,Bars close
31-Mar-20,"Curfew launched, public transport closed, further limits on assembly, control points at major cities",Curfew launched
15-Apr-20,Entry and exit into major cities prohibited,Cities closed
27-Apr-20,"Vehicle ban lifted, taxis permitted, one-day temporary lifting of movement restrictions into and out of major cities",Movement restrictions lift
