,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Vazisubani,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
24,24,14-05-2020 11:44:51,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0392,10760,979,29433,,400.0,,,,,,,,,,gashish evro 10g
25,25,14-05-2020 11:44:51,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0761,20901,1901,57173,,777.0,,,,,,,,,,Gashish Evro 20gr
26,26,14-05-2020 11:44:51,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1855,53800,4893,147164,,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
27,27,14-05-2020 11:44:51,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.1 гр.,True,нет,9,Тбилиси,0.1 гр,0.005,1455,133,3989,,,,,,50.0,,,,,,Buprenorfin (analog suboteksa) 0.1 gr.
28,28,14-05-2020 11:44:51,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,9,Тбилиси,0.5 гр,0.0077,2018,183,5519,,75.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
29,29,14-05-2020 11:44:51,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0163,4304,391,11773,,160.0,,,,,,,,,,"""Kief"" Weed trichomes 1G"
30,30,14-05-2020 11:44:51,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,4,Тбилиси,2 гр,0.038,9926,903,27152,,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
31,31,14-05-2020 11:44:51,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0597,15575,1416,42604,,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
32,32,14-05-2020 11:44:51,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0408,10760,979,29433,,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
33,33,14-05-2020 11:44:51,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0143,3766,342,10301,True,140.0,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
34,34,14-05-2020 11:49:11,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.055999999999999994,14795,1345,40470,,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
35,35,14-05-2020 11:49:11,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0239,6322,575,17292,,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
36,36,14-05-2020 11:49:11,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0244,6456,587,17660,,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
37,37,14-05-2020 11:49:11,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0234,6187,563,16924,,230.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
38,38,14-05-2020 11:49:11,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0162,4277,389,11700,,159.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
39,39,14-05-2020 11:49:11,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0244,6456,587,17660,,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
40,40,14-05-2020 11:49:11,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0244,6456,587,17660,,240.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
41,41,14-05-2020 11:49:11,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0234,6187,563,16924,,230.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
42,42,14-05-2020 11:49:11,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0203,5891,536,16114,,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
43,43,14-05-2020 11:49:11,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0239,6322,575,17292,,235.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
44,44,14-05-2020 11:49:11,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0163,4304,391,11773,,160.0,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
45,45,14-05-2020 11:49:11,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2391,87429,6318,190000,,,,,,,,,,,,reagent 25i nbome. 5gr
46,46,14-05-2020 11:49:11,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2778,80700,7339,220746,,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
47,47,14-05-2020 11:49:11,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.0987,25797,2346,70565,,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
48,48,14-05-2020 11:49:11,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,4,Тбилиси,5 гр,0.0195,5111,465,13981,,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
49,49,14-05-2020 11:49:11,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0503,13154,1196,35982,,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
50,50,14-05-2020 11:49:11,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0194,5084,462,13907,,189.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
51,51,14-05-2020 11:49:11,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0917,24210,2202,66224,,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
52,52,14-05-2020 11:49:11,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0407,10760,979,29433,,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
53,53,14-05-2020 11:49:11,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0713,18830,1712,51507,,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,54,14-05-2020 11:49:11,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0428,11298,1027,30904,,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,55,14-05-2020 11:49:11,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0102,2690,245,7358,,100.0,,,,,,,,,,10G Hybrid Marijuana Leafs
56,56,14-05-2020 11:49:11,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0815,21520,1957,58866,,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
57,57,14-05-2020 11:49:11,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0295,7801,709,21339,,290.0,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
58,58,14-05-2020 11:49:11,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2266,59853,5443,163720,,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
59,59,14-05-2020 11:49:11,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1604,41937,3814,114714,,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
60,60,14-05-2020 11:49:11,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.038,9926,903,27152,,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
61,61,14-05-2020 11:49:11,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5144,134500,12232,367910,,5000.0,,,,,,,,,,METADON - 20 G.
62,62,14-05-2020 11:49:11,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0616,16113,1465,44076,,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
63,63,14-05-2020 11:49:11,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.11199999999999999,29590,2691,80940,,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
64,64,14-05-2020 11:49:11,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2445,64560,5871,176597,,2400.0,,,,,,,,,,100 gr marijuana buds
65,65,14-05-2020 11:49:11,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2037,53800,4893,147164,,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
66,66,14-05-2020 11:49:11,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2546,67250,6116,183955,,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
67,67,14-05-2020 11:49:11,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6009,158710,14433,434133,,5900.0,,,,,,,,,,180 gr marihuana persoalno
68,68,14-05-2020 11:49:11,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4685,123740,11253,338477,,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
69,69,14-05-2020 11:52:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7639,201750,18347,551864,,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
