,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Gldani,Дигоми,Saburtalo,Vazisubani,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Батуми,Центр,€,desc_en
0,14-08-2020 14:54:03,Tbilisi,7U9YP,ChitosPizz,Очень мощный Сирец из Ирана 0.3гр,True,12,нет,Тбилиси,0.3 гр,0.0076,6845,2567,229,93,,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
1,14-08-2020 14:54:03,Tbilisi,OX85,amnesia420,"0,5G ☠️DURBAN POISON (100% sativa)",True,3,нет,Тбилиси,0.5 гр,0.0025,2135,800,71,29,,,,,,,,,,,,,"0,5G ☠️DURBAN POISON (100% sativa)"
2,14-08-2020 14:54:03,Tbilisi,OX85,amnesia420,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",True,6,нет,Тбилиси,0.5 гр,0.0025,2135,800,71,29,,,,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
3,14-08-2020 14:54:03,Tbilisi,OX85,amnesia420,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",True,5,нет,Тбилиси,0.5 гр,0.0025,2135,800,71,29,,,,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
4,14-08-2020 14:54:03,Tbilisi,OX85,amnesia420,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,6,нет,Тбилиси,0.5 гр,0.0025,2135,800,71,29,,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
5,14-08-2020 14:54:03,Tbilisi,03F3,geoshop,0.5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,0.5 гр,0.0028,2429,911,81,33,,,,,,,,,,,,,0.5 gr Amnesia Haze shishki import s evropy tgk 28%
6,14-08-2020 14:54:03,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,1,нет,Тбилиси,0.5 гр,0.0028,2429,911,81,33,,,,,,,,,,,,,0.5 gr HYBRID buds
7,14-08-2020 14:54:03,Tbilisi,QUZIV,Hollyweed,0.5 г.Super Skunk top class buds! (подезд),,4,нет,Тбилиси,0.5 гр,0.0025,2135,800,71,29,True,,,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
8,14-08-2020 14:54:03,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0026,2208,828,74,30,,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
9,14-08-2020 14:54:03,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,6,нет,Тбилиси,0.5 гр,0.0021,1840,690,62,25,,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
10,14-08-2020 14:54:03,Tbilisi,43MUT,Canartvelo,Бошки OG Kush 05g.,True,7,нет,Тбилиси,0.5 гр,0.0022,1840,690,62,25,,,,,,,,,,,,,Boshki OG Kush 05g.
