,Unnamed: 0,time_stamp,region,sell_code,description,Gldani,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Saburtalo,Vake,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,01-03-2020 21:54:46,Tbilisi,21de5577be,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),True,2,нет,Тбилиси,0.5 гр,0.0033,1943,716,65,29.0,,,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
1,1,01-03-2020 21:54:46,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),,4,нет,Тбилиси,0.8 гр,0.0169,10049,3705,336,150.0,True,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
2,2,01-03-2020 21:54:46,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,6,нет,Тбилиси,1 гр,0.0049,3216,1186,107,48.0,True,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
3,3,01-03-2020 21:54:46,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0056,3350,1235,112,50.0,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
4,4,01-03-2020 21:54:46,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),,1,нет,Тбилиси,1 гр,0.0107,6635,2440,222,,True,90.0,,,,,,,,,1gr mdma (skidka v bitkoin 5%)
5,5,01-03-2020 21:54:46,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,,3,нет,Тбилиси,1 гр,0.0676,40195,14820,1343,600.0,True,,,,,,,,,,Metadon VHQ 1 24/7
6,6,01-03-2020 21:54:46,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),,1,нет,Тбилиси,1 гр,0.02,12393,4570,414,185.0,True,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
7,7,01-03-2020 21:54:46,Tbilisi,7ee4f68218,2 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,2 гр,0.0203,12533,4609,419,,True,170.0,,,,,,,,,2 gr mdma (skidka v bitkoin 5%)
8,8,01-03-2020 21:54:46,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!,,2,нет,Тбилиси,2 гр,0.0357,21437,7904,717,320.0,,,True,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!
9,9,01-03-2020 21:54:46,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,1,нет,Тбилиси,2 гр,0.0393,23380,8620,781,349.0,,,,True,,,,,,,Kokain KOLUMBIA 2g
10,10,01-03-2020 21:54:46,Tbilisi,7ee4f68218,"3 ecstasy 💊""PARTY ROCK""💊 300 mg",,1,нет,Тбилиси,3 гр,0.0119,7372,2711,247,,True,100.0,,,,,,,,,"3 ecstasy 💊""PARTY ROCK""💊 300 mg"
11,11,01-03-2020 21:54:46,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,3 гр,0.0298,18431,6778,617,,True,250.0,,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
