,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,26-06-2020 05:15:38,Tbilisi,21e6be39fb,"Black Gerain, Sirec VHQ 0.4g",True,3,нет,Тбилиси,0.4 гр,0.0123,8336,3217,286,120.0,,,,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
1,1,26-06-2020 05:15:38,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,10,нет,Тбилиси,0.5 гр,0.0165,11045,4263,379,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,26-06-2020 05:15:38,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",True,5,нет,Тбилиси,0.5 гр,0.0154,10420,4022,357,150.0,,,,,,,,,,,"Black Geroin, Sirec 0.5g"
3,3,26-06-2020 05:15:38,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet,True,6,нет,Тбилиси,0.5 гр,0.0151,10212,3941,350,147.0,True,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet
4,4,26-06-2020 05:15:38,Tbilisi,8e86176694,КЕТАМИН WHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.013999999999999999,10420,4022,357,150.0,,,,,,,,,,,KETAMIN WHQ 0.5g
5,5,26-06-2020 05:15:38,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,8,нет,Тбилиси,1 гр,0.0062,4168,1609,143,60.0,,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,6,26-06-2020 05:15:38,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,5,нет,Тбилиси,1 гр,0.0061,4099,1582,141,59.0,,,,,,,,,,,1 G Hybrid Marijuana Buds
7,7,26-06-2020 05:15:38,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0062,4168,1609,143,60.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,8,26-06-2020 05:15:38,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,2,нет,Тбилиси,1 гр,0.0061,4099,1582,141,59.0,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
9,9,26-06-2020 05:15:38,Tbilisi,64284550d9,1G ---> Top BUDS (BTC - Sale),,24,нет,Тбилиси,1 гр,0.0056,3821,1475,131,55.0,,True,,,,,,,,,1G ---> Top BUDS (BTC - Sale)
10,10,26-06-2020 05:15:38,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,2,нет,Тбилиси,1 гр,0.031,20770,8016,712,299.0,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
11,11,26-06-2020 05:15:38,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,7,нет,Тбилиси,1 гр,0.0062,4168,1609,143,60.0,True,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
12,12,26-06-2020 05:15:38,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,7,нет,Тбилиси,1 гр,0.0062,4168,1609,143,60.0,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
13,13,26-06-2020 05:15:38,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,2 гр,0.0102,6877,2654,236,99.0,,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
14,14,26-06-2020 05:15:38,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,2 гр,0.0112,7572,2922,260,109.0,,,,,,,,,,,2 G Hybrid Marijuana Buds
15,15,26-06-2020 05:15:38,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",True,2,нет,Тбилиси,2 гр,0.0113,7641,2949,262,110.0,,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
