,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,Vake,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,05-03-2020 18:28:30,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,9,нет,Тбилиси,1 гр,0.0052,3309,1241,112,50,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
1,05-03-2020 18:28:30,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,2,нет,Тбилиси,1 гр,0.0052,3309,1241,112,50,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
2,05-03-2020 18:28:30,Tbilisi,03F3,geoshop,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.0084,5295,1986,178,80,,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
3,05-03-2020 18:28:30,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 1g BTC SALE 5% (ПОДЪЕЗД!!!),,2,нет,Тбилиси,1 гр,0.0188,11847,4443,399,179,True,,,,,,,,,,Columbia Cocaine VHQ 1g BTC SALE 5% (POD'EZD!!!)
4,05-03-2020 18:28:30,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,5,нет,Тбилиси,1 гр,0.0186,12244,4592,413,185,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
5,05-03-2020 18:28:30,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0857,59567,22338,2008,900,,,,,,,,,,,Metadon 1gr
6,05-03-2020 18:28:30,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,8,нет,Тбилиси,1 гр,0.0019,1324,496,45,20,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
7,05-03-2020 18:28:30,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,True,2,нет,Тбилиси,1 гр,0.0115,7214,2705,243,109,,,,,,,,,,,✨ 1g. MDMA ✨
8,05-03-2020 18:28:30,Tbilisi,9VLN,AlienShop,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,True,1,нет,Тбилиси,1 гр,0.0073,4567,1713,154,69,,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
9,05-03-2020 18:28:30,Tbilisi,JVZTQ,partyshop,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,8,нет,Тбилиси,2 гр,0.0094,5957,2234,201,90,,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
