,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,24-06-2020 20:38:06,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,16,нет,Тбилиси,0.5 гр,0.0164,10945,4263,377,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,24-06-2020 20:38:06,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",True,5,нет,Тбилиси,0.5 гр,0.0179,12047,4692,415,175.0,,,,,,,,,,,"Black Geroin, Sirec 0.5g"
2,2,24-06-2020 20:38:06,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet,True,6,нет,Тбилиси,0.5 гр,0.0153,10326,4022,355,150.0,True,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet
3,3,24-06-2020 20:38:06,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,9,нет,Тбилиси,0.5 гр,0.0031,2065,804,71,30.0,True,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,4,24-06-2020 20:38:06,Tbilisi,16a8841259,Skunk 0.5г,True,5,нет,Тбилиси,0.5 гр,0.0032,2134,831,73,31.0,,,,,,,,,,,Skunk 0.5g
5,5,24-06-2020 20:38:06,Tbilisi,8e86176694,КЕТАМИН WHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0139,10326,4022,355,150.0,,,,,,,,,,,KETAMIN WHQ 0.5g
6,6,24-06-2020 20:38:06,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,10,нет,Тбилиси,1 гр,0.0061,4130,1609,142,60.0,,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
7,7,24-06-2020 20:38:06,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,1 гр,0.006,4061,1582,140,59.0,,,,,,,,,,,1 G Hybrid Marijuana Buds
8,8,24-06-2020 20:38:06,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,6,нет,Тбилиси,1 гр,0.0061,4130,1609,142,60.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
9,9,24-06-2020 20:38:06,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,1 гр,0.0061,4130,1609,142,60.0,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
10,10,24-06-2020 20:38:06,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,6,нет,Тбилиси,1 гр,0.006,4061,1582,140,59.0,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
11,11,24-06-2020 20:38:06,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,7,нет,Тбилиси,1 гр,0.0308,20582,8016,708,299.0,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
12,12,24-06-2020 20:38:06,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,9,нет,Тбилиси,1 гр,0.0061,4130,1609,142,60.0,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
13,13,24-06-2020 20:38:06,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,2 гр,0.0101,6815,2654,235,99.0,,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
14,14,24-06-2020 20:38:06,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,True,12,нет,Тбилиси,2 гр,0.0112,7572,2949,261,110.0,True,True,True,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
15,15,24-06-2020 20:38:06,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,2 гр,0.0122,8261,3217,284,120.0,,True,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
16,16,24-06-2020 20:38:06,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,2 гр,0.0122,8261,3217,284,120.0,,True,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
17,17,24-06-2020 20:38:06,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,15,нет,Тбилиси,2 гр,0.009000000000000001,6058,2359,208,88.0,,,,,,,,,,,2gr HYBRID buds
18,18,24-06-2020 20:38:06,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,8,нет,Тбилиси,2 гр,0.0077,5163,2011,178,75.0,,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
19,19,24-06-2020 20:38:06,Tbilisi,ebadfc162f,Bubba Kush 2G Super strong indica dominant weed 100%шишки!,,4,нет,Тбилиси,2 гр,0.0107,7228,2815,249,105.0,,,,True,,,,,,,Bubba Kush 2G Super strong indica dominant weed 100%shishki!
20,20,24-06-2020 20:38:06,Tbilisi,54915c4374,марки н-боом 2 шт.,,6,нет,Тбилиси,2 гр,0.0036,2409,938,83,35.0,,True,,,,,,,,,marki n-boom 2 sht.
21,21,24-06-2020 20:38:06,Tbilisi,aeb8abccb9,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0087,5851,2279,201,85.0,,True,,,,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
22,22,24-06-2020 20:38:06,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,True,33,нет,Тбилиси,3 гр,0.0089,5989,2332,206,87.0,,,,,True,,,,,,3 gr georgian weed. Package on magnet
23,23,24-06-2020 20:38:06,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,5,нет,Тбилиси,3 гр,0.0045,3029,1180,104,44.0,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
24,24,24-06-2020 20:38:06,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,5,нет,Тбилиси,3 гр,0.006999999999999999,4750,1850,163,69.0,,,,,True,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
25,25,24-06-2020 20:38:06,Tbilisi,aeb8abccb9,🍁 4gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,4 гр,0.0143,9637,3753,332,140.0,,True,,True,,,,,,,🍁 4gr Hybrid Weed Indica Buds VHQ ❤
26,26,24-06-2020 20:38:06,Tbilisi,7bd1a5deba,5 + GRAMM NEW BEASTWEED,True,2,нет,Тбилиси,5 гр,0.0097,7228,2815,249,105.0,,,,,,,,,,,5 + GRAMM NEW BEASTWEED
27,27,24-06-2020 20:38:06,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,1,нет,Тбилиси,5 гр,0.0223,16521,6434,569,240.0,,,,,,,,,,,5g. marihuana shishki Critical
28,28,24-06-2020 20:38:06,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,11,нет,Тбилиси,5 гр,0.0071,4750,1850,163,69.0,,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
29,29,24-06-2020 20:38:06,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,5 гр,0.018000000000000002,12047,4692,415,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
30,30,24-06-2020 20:38:06,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,True,8,нет,Тбилиси,5 гр,0.0138,10257,3995,353,149.0,,,,,,,,,,,5g. GEO Marihuana boshki
31,31,24-06-2020 20:38:07,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0051,3786,1475,130,55.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
32,32,24-06-2020 20:38:07,Tbilisi,54915c4374,марки н-боом 5шт.,True,7,10,Тбилиси,5 гр,0.0066,4474,1743,154,65.0,,True,,,,,,,,,marki n-boom 5sht.
33,33,24-06-2020 20:38:07,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,True,9,нет,Тбилиси,10 гр,0.0244,16452,6408,566,239.0,,,,,,,,,,,10 gr georgian weed. Package on magnet
34,34,24-06-2020 20:38:07,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,25,нет,Тбилиси,10 гр,0.0133,8880,3458,306,129.0,,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
35,35,24-06-2020 20:38:07,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),True,2,нет,Тбилиси,10 гр,0.0203,13699,5335,471,199.0,,,,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
36,36,24-06-2020 20:39:03,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),True,1,нет,Тбилиси,10 гр,0.0204,13699,5335,471,199.0,,,,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
37,37,24-06-2020 20:39:03,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,True,1,нет,Тбилиси,11 гр,0.0167,12391,4826,426,180.0,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
38,38,24-06-2020 20:39:03,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0465,34419,13405,1185,500.0,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
39,39,24-06-2020 20:39:03,Tbilisi,ae784bef73,Silver haze leaves листья 15гр,True,10,нет,Тбилиси,15 гр,0.0092,6195,2413,213,90.0,,,,,,,,,,,Silver haze leaves list'ja 15gr
40,40,24-06-2020 20:39:03,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2064,137675,53620,4738,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
41,41,24-06-2020 20:39:03,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",True,нет,4,Тбилиси,0.5 гр,0.0092,6195,2413,213,90.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
42,42,24-06-2020 20:39:03,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",True,нет,6,Тбилиси,1 гр,0.0046,3098,1206,107,45.0,,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
43,43,24-06-2020 20:39:03,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",True,нет,9,Тбилиси,2 гр,0.0092,6195,2413,213,90.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
44,44,24-06-2020 20:39:03,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,3,Тбилиси,2 гр,0.0217,14456,5630,498,210.0,,,,,,,,,,,✨✨2gram. MDMA✨✨
45,45,24-06-2020 20:39:03,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,4,Тбилиси,2 гр,0.0381,25401,9893,874,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
46,46,24-06-2020 20:39:03,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),True,нет,9,Тбилиси,2.2 гр,0.0087,5832,2267,201,,,,,,,75.0,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
47,47,24-06-2020 20:39:03,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",True,нет,8,Тбилиси,3 гр,0.0123,8261,3217,284,120.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
