,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Vake,Tbilisis Zgva,€,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
0,0,28-07-2020 07:21:05,Tbilisi,8ddca45a78,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",True,1,нет,Тбилиси,0.5 гр,0.0029,2219,865,74,31.0,,,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
1,1,28-07-2020 07:21:05,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,20,нет,Тбилиси,0.5 гр,0.0031,2362,921,79,33.0,,,,,,,,,,,,0.5 gr HYBRID buds
2,2,28-07-2020 07:21:05,Tbilisi,64284550d9,0.5-G ---> Pineapple (BTC - Sale),,5,нет,Тбилиси,0.5 гр,0.0026,2004,781,67,28.0,True,,,,,,,,,,,0.5-G ---> Pineapple (BTC - Sale)
3,3,28-07-2020 07:21:05,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,26,нет,Тбилиси,0.5 гр,0.0028,2148,837,72,30.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
4,4,28-07-2020 07:21:05,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,2,нет,Тбилиси,1 гр,0.0055,4295,1674,143,60.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
5,5,28-07-2020 07:21:05,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,1 гр,0.0055,4295,1674,143,60.0,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
6,6,28-07-2020 07:21:05,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,1 гр,0.0054,4224,1646,141,59.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
7,7,28-07-2020 07:21:05,Tbilisi,4659482266,1 г.Super Skunk top class buds!,,6,нет,Тбилиси,1 гр,0.0051,3937,1535,131,55.0,,True,,,,,,,,,,1 g.Super Skunk top class buds!
8,8,28-07-2020 07:21:05,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0055,4295,1674,143,60.0,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
9,9,28-07-2020 07:21:05,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,10,нет,Тбилиси,1 гр,0.0045,3508,1367,117,49.0,,,,,,,,,,,,1gr HYBRID o.g
10,10,28-07-2020 07:21:05,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,2,нет,Тбилиси,1 гр,0.0045,3508,1367,117,49.0,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
11,11,28-07-2020 07:21:05,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,True,1,нет,Тбилиси,1 гр,0.0046,3937,1535,131,55.0,,,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
12,12,28-07-2020 07:21:05,Tbilisi,f25c0d6c5c,Шишка добрая 1 g,True,23,нет,Тбилиси,1 гр,0.0045,3600,1657,120,,,,,,,,,,,,,Shishka dobraja 1 g
13,13,28-07-2020 07:21:05,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬,True,6,нет,Тбилиси,1 гр,0.0051,3937,1535,131,55.0,,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬
14,14,28-07-2020 07:21:05,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,3,нет,Тбилиси,2 гр,0.0091,7087,2762,237,99.0,,,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
15,15,28-07-2020 07:21:05,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,2,нет,Тбилиси,2 гр,0.01,7803,3041,260,109.0,,,True,,,,,,,,,2 G Hybrid Marijuana Buds
16,16,28-07-2020 07:21:05,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,2 гр,0.011000000000000001,8590,3348,287,120.0,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
17,17,28-07-2020 07:21:05,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.011000000000000001,8590,3348,287,120.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
18,18,28-07-2020 07:21:05,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,2 гр,0.0092,7159,2790,239,100.0,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
19,19,28-07-2020 07:21:05,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,True,2,нет,Тбилиси,2 гр,0.011000000000000001,8590,3348,287,120.0,,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
20,20,28-07-2020 07:21:05,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.011000000000000001,8590,3348,287,120.0,,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
21,21,28-07-2020 07:21:05,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,3,нет,Тбилиси,2 гр,0.0092,7874,3069,263,110.0,,,True,True,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
22,22,28-07-2020 07:21:05,Tbilisi,e771f4c371,Skunk 2G (25 % THC)*VHQ* IMPORT,,1,нет,Тбилиси,2 гр,0.0101,7874,3069,263,110.0,True,,,,,,,,,,,Skunk 2G (25 % THC)*VHQ* IMPORT
23,23,28-07-2020 07:21:05,Tbilisi,83f3d55917,!!! NEW !!! 3G Jack Herer(VHQ 24%THC),,2,нет,Тбилиси,3 гр,0.0138,10738,4185,358,150.0,True,,,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC)
24,24,28-07-2020 07:21:05,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,4,нет,Тбилиси,3 гр,0.0096,8232,3209,275,115.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
25,25,28-07-2020 07:21:05,Tbilisi,4a91350669,5 ecstasy red maseratti VHQ екстази импорт с США,True,5,нет,Тбилиси,5 гр,0.0193,15033,5859,502,210.0,,,,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
26,26,28-07-2020 07:21:05,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,5 гр,0.0248,19328,7533,645,270.0,,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
27,27,28-07-2020 07:21:05,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,1,нет,Тбилиси,5 гр,0.0163,13959,5441,466,195.0,,,,,,,,,,,,5g. marihuana shishki Critical
28,28,28-07-2020 07:21:05,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,1,1,Тбилиси,5 гр,0.0201,17180,6696,573,240.0,,,,,True,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
29,29,28-07-2020 07:21:05,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,True,1,нет,Тбилиси,10 гр,0.0293,25055,9765,836,350.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
30,30,28-07-2020 07:21:05,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1856,143170,55800,4778,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
31,31,28-07-2020 07:21:05,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,4,Тбилиси,1 гр,0.0337,25971,10137,866,,,,,,,310.0,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
32,32,28-07-2020 07:21:05,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0368,28634,11160,956,400.0,,,,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
33,33,28-07-2020 07:21:05,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.023,17896,6975,597,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
34,34,28-07-2020 07:21:05,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0248,19328,7533,645,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
35,35,28-07-2020 07:22:05,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.025,19686,7673,657,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
36,36,28-07-2020 07:22:05,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0218,17180,6696,573,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
37,37,28-07-2020 07:22:05,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0254,20044,7812,669,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
38,38,28-07-2020 07:22:05,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 5 гр. Спокойно, Надёжно, Качественно.",True,нет,2,Тбилиси,5 гр,0.0198,17180,6696,573,240.0,,,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 5 gr. Spokojno, Nadezhno, Kachestvenno."
39,39,28-07-2020 07:22:05,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0245,19328,7533,645,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
40,40,28-07-2020 07:22:05,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0181,15677,6110,523,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
41,41,28-07-2020 07:22:05,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,4,Тбилиси,5 гр,0.0213,16822,6557,561,235.0,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
42,42,28-07-2020 07:22:05,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 5G,True,нет,3,Тбилиси,5 гр,0.0213,16822,6557,561,235.0,,,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
43,43,28-07-2020 07:22:05,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0245,19328,7533,645,270.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
