,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Didube,Vake,Авлобари,Gldani,Дигоми,Nadzaladevi,Центр,Батуми,Кутаиси,desc_en
76,76,07-05-2020 12:41:18,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0394,27296,9981,905,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
77,77,07-05-2020 12:41:18,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5342,369860,135250,12264,5000.0,,,,,,,,,,,,METADON - 20 G.
78,78,07-05-2020 12:41:18,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.064,44309,16203,1469,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
79,79,07-05-2020 12:41:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1164,81369,29755,2698,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
80,80,07-05-2020 12:41:18,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2539,177533,64920,5886,2400.0,,,,,,,,,,,,100 gr marijuana buds
81,81,07-05-2020 12:41:18,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,True,нет,1,Тбилиси,100 гр,0.3173,221916,81150,7358,3000.0,,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
82,82,07-05-2020 12:41:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2116,147944,54100,4905,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
83,83,07-05-2020 12:41:18,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2644,184930,67625,6132,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
84,84,07-05-2020 12:41:18,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6241,436434,159595,14471,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
85,85,07-05-2020 12:41:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4866,340271,124430,11282,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
86,86,07-05-2020 12:41:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7933,554789,202875,18395,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
87,87,07-05-2020 12:41:18,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8991,628761,229925,20848,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
88,88,07-05-2020 12:41:18,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0192,14794,5410,491,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
89,89,07-05-2020 12:41:18,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0212,14794,5410,491,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
90,90,07-05-2020 12:41:18,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0264,18493,6763,613,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
91,91,07-05-2020 12:41:18,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0212,14794,5410,491,200.0,,,,,,,,,,,,Rabota na marki (kur'er)
92,92,07-05-2020 12:41:18,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6011,1109579,405750,36791,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
93,93,07-05-2020 12:42:51,Batumi,3c4662c591,шишки марихуаны 5G,,2,нет,Батуми,5 гр,0.0317,22192,8115,736,300.0,,,,,,,,,True,,,shishki marihuany 5G
94,94,07-05-2020 12:42:51,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2327,162738,59510,5396,2200.0,,,,,,,,,,True,,[100g] SPAIN HASH
95,95,07-05-2020 12:42:51,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",,нет,7,Батуми,8 гр,0.0085,5918,2164,196,80.0,,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 8 sht"
96,96,07-05-2020 12:42:51,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1616,112990,51992,3740,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
