,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Didube,Vake,Авлобари,Gldani,Дигоми,Nadzaladevi,Центр,Батуми,Кутаиси,desc_en
97,97,07-05-2020 12:42:51,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2558,178900,82321,5921,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
98,98,07-05-2020 12:42:51,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7397,2705,245,100.0,,,,,,,,,,True,,kur'er v Batumi
99,99,07-05-2020 12:42:51,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,18493,6763,613,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
100,100,07-05-2020 12:42:51,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,18493,6763,613,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
101,101,07-05-2020 12:42:51,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6011,1109579,405750,36791,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
102,102,07-05-2020 12:42:51,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0529,36986,13525,1226,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
103,103,07-05-2020 12:44:15,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0228,16274,5951,540,220.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
104,104,07-05-2020 12:44:15,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0549,38465,14066,1275,520.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
105,105,07-05-2020 12:44:15,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0404,28849,10550,957,390.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
106,106,07-05-2020 12:44:15,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0211,14794,5410,491,200.0,,,,,,,,,,,True,Rabota na marki (kur'er)
