,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Nadzaladevi,Дигоми,€,Didube,Saburtalo,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
18,18,14-07-2020 12:33:08,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",True,1,нет,Тбилиси,2 гр,0.0115,7782,3006,266,110.0,,,,,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
19,19,14-07-2020 12:33:08,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,8,нет,Тбилиси,2 гр,0.0125,8490,3280,290,120.0,,,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
20,20,14-07-2020 12:33:08,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0125,8490,3280,290,120.0,,,,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
21,21,14-07-2020 12:33:08,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0125,8490,3280,290,120.0,,,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
22,22,14-07-2020 12:33:08,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,True,2,нет,Тбилиси,2 гр,0.0104,7075,2733,242,100.0,,,,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
23,23,14-07-2020 12:33:08,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,1,нет,Тбилиси,2 гр,0.0092,6226,2405,213,88.0,,,,,,,,,,,,,,2gr HYBRID buds
24,24,14-07-2020 12:33:08,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,7,нет,Тбилиси,2 гр,0.0104,7782,3006,266,110.0,,True,,True,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
25,25,14-07-2020 12:33:08,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,3,нет,Тбилиси,2 гр,0.0125,8490,3280,290,120.0,,,,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
26,26,14-07-2020 12:33:08,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,3,нет,Тбилиси,2 гр,0.0104,7782,3006,266,110.0,,,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
27,27,14-07-2020 12:33:08,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 2gram,True,2,нет,Тбилиси,2 гр,0.009000000000000001,6721,2596,230,95.0,,,,,,,,,,,,,,Northern Lights Regular [budsonly] 2gram
28,28,14-07-2020 12:33:08,Tbilisi,e771f4c371,2.2G Peppermint Kush ( 26% ^THC^VHQ) FROM EUROPE,,2,нет,Тбилиси,2.2 гр,0.0111,7570,2924,259,107.0,,,,,True,,,,,,,,,2.2G Peppermint Kush ( 26% ^THC^VHQ) FROM EUROPE
29,29,14-07-2020 12:33:08,Tbilisi,8528108b62,3g. марихуана шишки Critical,True,1,нет,Тбилиси,3 гр,0.0123,9197,3553,314,130.0,,,,,,,,,,,,,,3g. marihuana shishki Critical
30,30,14-07-2020 12:33:08,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,46,нет,Тбилиси,3 гр,0.0058,3891,1503,133,55.0,,,,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
31,31,14-07-2020 12:33:08,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,1,нет,Тбилиси,3 гр,0.0036,2405,929,82,34.0,,,,,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
32,32,14-07-2020 12:33:08,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,5 гр,0.0271,18394,7106,629,260.0,,,,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
33,33,14-07-2020 12:33:08,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,2,нет,Тбилиси,5 гр,0.0281,19102,7379,653,270.0,,,,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
34,34,14-07-2020 12:33:08,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.0185,13796,5329,472,195.0,,,,,,,,,,,,,,5g. marihuana shishki Critical
35,35,14-07-2020 12:33:47,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,1,нет,Тбилиси,5 гр,0.0227,16980,6559,580,240.0,,True,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
36,36,14-07-2020 12:33:47,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,3,нет,Тбилиси,5 гр,0.0208,14150,5466,484,200.0,,,,,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
37,37,14-07-2020 12:33:47,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,2,нет,Тбилиси,10 гр,0.0455,31837,12299,1088,450.0,,,,,,,,,,,,,,Gashish Evro 10gr
38,38,14-07-2020 12:33:47,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,True,1,нет,Тбилиси,11 гр,0.017,12735,4919,435,180.0,,,,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
39,39,14-07-2020 12:33:47,Tbilisi,8528108b62,12g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0313,23347,9019,798,330.0,,,,,,,,,,,,,,12g. marihuana shishki Critical
40,40,14-07-2020 12:33:47,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0068,4599,1776,157,65.0,,,,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
