,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Old Tbilisi (Старый город),Didube,Nadzaladevi,Батуми,Центр,Кутаиси,desc_en
0,0,04-03-2020 00:31:02,Tbilisi,64284550d9,1G -- ФОТО РАБОТАЕТ -> Sativa,True,1,нет,Тбилиси,1 гр,0.0038,2326,875,78,35.0,,,,,,,,,1G -- FOTO RABOTAET -> Sativa
1,1,04-03-2020 00:31:02,Tbilisi,8ddca45a78,1g AMNESIA HAZE Sativa THC 20% / BTC -10% sale,,1,нет,Тбилиси,1 гр,0.004,2658,1000,89,40.0,True,,,,,,,,1g AMNESIA HAZE Sativa THC 20% / BTC -10% sale
2,2,04-03-2020 00:31:02,Tbilisi,8ddca45a78,1g BLUE CHEESE Indica THC 18% / BTC -10% sale,,2,нет,Тбилиси,1 гр,0.004,2658,1000,89,40.0,True,,,,,,,,1g BLUE CHEESE Indica THC 18% / BTC -10% sale
3,3,04-03-2020 00:31:02,Tbilisi,16be2c8499,реагент 25i nbome. 1гр.,,1,нет,Тбилиси,1 гр,0.06,40000,18406,1347,,True,,,,,,,,reagent 25i nbome. 1gr.
4,4,04-03-2020 00:31:02,Tbilisi,dd631c4acf,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,,1,нет,Тбилиси,1 гр,0.0076,4585,1725,154,69.0,True,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
5,5,04-03-2020 00:31:02,Tbilisi,7ee4f68218,2 gr mdma (скидка в биткоин 5%),,1,нет,Тбилиси,2 гр,0.0199,12570,4736,420,,True,170.0,,,,,,,2 gr mdma (skidka v bitkoin 5%)
6,6,04-03-2020 00:31:02,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,3 гр,0.0293,18485,6965,618,,True,250.0,,,,,,,3 gr mdma (skidka v bitkoin 5%)
7,7,04-03-2020 00:31:02,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,,1,нет,Тбилиси,4 гр,0.006,3987,1500,134,60.0,,,True,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
8,8,04-03-2020 00:31:02,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0468,29575,11144,988,,True,400.0,,,,,,,5 gr mdma (skidka v bitkoin 5%)
9,9,04-03-2020 00:31:02,Tbilisi,366326d4d6,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,,1,нет,Тбилиси,5 гр,0.0941,56477,21250,1899,850.0,True,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
10,10,04-03-2020 00:31:02,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,7,нет,Тбилиси,10 гр,0.04,24252,9125,815,365.0,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
11,11,04-03-2020 00:31:02,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,3,нет,Тбилиси,10 гр,0.0099,6578,2475,221,99.0,True,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
12,12,04-03-2020 00:31:02,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0421,26577,10000,894,400.0,True,,,,,,,,gashish evro 10g
13,13,04-03-2020 00:31:03,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",,1,нет,Тбилиси,20 гр,0.0473,29900,11250,1005,450.0,True,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
14,14,04-03-2020 00:31:03,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0817,51627,19425,1736,777.0,True,,,,,,,,Gashish Evro 20gr
