,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,€,Дигоми,Varketili,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
24,13-02-2020 05:54:54,Tbilisi,LYHBG,Playboy,Ketamine 1g.,True,1,нет,Тбилиси,1 гр,0.0085,5611,2193,195,89,,,,,,,,,,,,Ketamine 1g.
25,13-02-2020 05:54:54,Tbilisi,X4ZM,ZYX,Maserati (ecstasy) 1шт,True,2,нет,Тбилиси,1 гр,0.0042,2837,1109,99,45,,,,,,,,,,,,Maserati (ecstasy) 1sht
26,13-02-2020 05:54:54,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,4,нет,Тбилиси,1 гр,0.0428,31524,12320,1096,500,,,,,,,,,,,,Metadon VHQ 1 24/7
27,13-02-2020 05:54:54,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,4,нет,Тбилиси,1 гр,0.018,11916,4657,414,189,,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
28,13-02-2020 05:54:54,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,13,нет,Тбилиси,1 гр,0.0111,8196,3203,285,130,,,,,,,,,,,,NZT-52 mind storm limited 1g muka
29,13-02-2020 05:54:54,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.018,12546,4903,436,199,,,,,,,,,,,,VHQ BEST Cocaine 1g.
30,13-02-2020 05:54:54,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,5,нет,Тбилиси,1 гр,0.0135,9457,3696,329,150,,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
31,13-02-2020 05:54:54,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0176,11916,4657,414,189,,,,,,,,,,,,Kokain HQ 1g.
32,13-02-2020 05:55:21,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,6,нет,Тбилиси,1 гр,0.0187,12546,4903,436,199,,,,,,True,,,,,,Kokain KOLUMBIA 1g
33,13-02-2020 05:55:21,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0407,28371,11088,986,450,,,,,,,,,,,,Metadon 1gr
34,13-02-2020 05:55:21,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0377,25219,9856,877,400,,,,,,,,,,,,"Metadon, 1gr"
35,13-02-2020 05:55:21,Tbilisi,03F3,geoshop,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,10,нет,Тбилиси,1.2 гр,0.0113,7566,2957,263,120,,,,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
36,13-02-2020 05:55:21,Tbilisi,Y6FO,Opiate,Methadone HQ in city 1.3g,True,2,нет,Тбилиси,1.3 гр,0.0518,34676,13552,1206,550,,,,,,,,,,,,Methadone HQ in city 1.3g
37,13-02-2020 05:55:21,Tbilisi,0WE,Khachapuri,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,2,нет,Тбилиси,2 гр,0.0069,4815,1882,167,,,,70,,,,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
38,13-02-2020 05:55:21,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0067,4413,1725,153,70,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
39,13-02-2020 05:55:21,Tbilisi,0WE,Khachapuri,2гр ГАШИШ,True,1,нет,Тбилиси,2 гр,0.0099,6935,2710,241,110,,,,,,,,,,,,2gr GAShISh
