,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Дигоми,Vazisubani,Nadzaladevi,Авлобари,Батуми,Центр,desc_en
0,20-06-2020 20:51:17,Tbilisi,A3I9,Joookerrr,Heroin (sirec) made from Azerbaijan 0.2 гр.,True,1,нет,Тбилиси,0.2 гр,0.0104,7020,2714,240,90,,,,,,,,,,,,Heroin (sirec) made from Azerbaijan 0.2 gr.
1,20-06-2020 20:51:17,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.0093,6262,2421,214,,90,,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,20-06-2020 20:51:17,Tbilisi,9Y6T,WeedShop,Ak47 0.5г,True,14,нет,Тбилиси,0.5 гр,0.0032,2157,834,74,,31,,,,,,,,,,,Ak47 0.5g
3,20-06-2020 20:51:17,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,True,12,нет,Тбилиси,0.5 гр,0.0166,11132,4304,380,,160,True,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
4,20-06-2020 20:51:17,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,17,нет,Тбилиси,0.5 гр,0.0031,2087,807,71,,30,True,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,20-06-2020 20:51:17,Tbilisi,UZRVH,ZEBRAWEED,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",True,12,нет,Тбилиси,0.5 гр,0.003,2087,807,71,,30,,,,,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
6,20-06-2020 20:51:17,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,1,нет,Тбилиси,0.5 гр,0.003,2018,780,69,,29,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
7,20-06-2020 20:51:17,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,True,3,нет,Тбилиси,0.5 гр,0.0136,9044,3497,309,,130,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
8,20-06-2020 20:51:17,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,1 гр,0.0061,4105,1587,140,,59,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
9,20-06-2020 20:51:17,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,1,нет,Тбилиси,1 гр,0.0061,4105,1587,140,,59,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
10,20-06-2020 20:51:17,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,3,нет,Тбилиси,1 гр,0.0062,4174,1614,143,,60,,True,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
11,20-06-2020 20:51:17,Tbilisi,9Y6T,WeedShop,Ak - 47 1г,True,3,нет,Тбилиси,1 гр,0.0057,3826,1480,131,,55,,,,,,,,,,,Ak - 47 1g
