,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,07-02-2020 02:17:34,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,6,нет,Тбилиси,0.25 гр,0.0163,11304,4464,389,180.0,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,07-02-2020 02:17:34,Tbilisi,c72111ac1a,"NZT-52 mind storm limited 0,3г мука",True,1,нет,Тбилиси,0.3 гр,0.0063,4396,1736,151,70.0,,,,,,,,,"NZT-52 mind storm limited 0,3g muka"
2,2,07-02-2020 02:17:34,Tbilisi,61df6a1c90,Метадон 0.30гр,True,3,нет,Тбилиси,0.3 гр,0.0162,11932,4712,411,190.0,,,,,,,,,Metadon 0.30gr
3,3,07-02-2020 02:17:34,Tbilisi,8a650ecf5f,"A PVP 0,33 VHQ",True,3,нет,Тбилиси,0.33 гр,0.0057,3768,1488,130,60.0,,,,,,,,,"A PVP 0,33 VHQ"
4,4,07-02-2020 02:17:34,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,8,нет,Тбилиси,0.5 гр,0.0119,7473,2951,257,119.0,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
5,5,07-02-2020 02:17:34,Tbilisi,69ebd25fed,0.5 GRAM LEMON Cheese VHQ,,1,нет,Тбилиси,0.5 гр,0.0028,1758,694,61,28.0,True,,,,,,,,0.5 GRAM LEMON Cheese VHQ
6,6,07-02-2020 02:17:34,Tbilisi,366326d4d6,0.5 g. Ketamine,True,4,нет,Тбилиси,0.5 гр,0.0059,3705,1463,128,59.0,,,,,,,,,0.5 g. Ketamine
7,7,07-02-2020 02:17:34,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,6,нет,Тбилиси,0.5 гр,0.011000000000000001,6908,2728,238,110.0,,,,,,,,,"Cocaine, 0.5 g"
8,8,07-02-2020 02:17:34,Tbilisi,be97026d1d,Columbia Cocaine VHQ 0.5 BTC SALE 5%,True,1,нет,Тбилиси,0.5 гр,0.0102,6594,2604,227,105.0,,,,,,,,,Columbia Cocaine VHQ 0.5 BTC SALE 5%
9,9,07-02-2020 02:17:34,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,21,нет,Тбилиси,0.5 гр,0.006,3768,1488,130,60.0,,,,,,,,,Ketamine 0.5g
