,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,18-03-2020 12:58:48,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,10,нет,Тбилиси,0.25 гр,0.0311,14039,5415,450,190.0,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,1,18-03-2020 12:58:48,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,,2,нет,Тбилиси,0.25 гр,0.0149,6650,2565,213,90.0,True,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,2,18-03-2020 12:58:48,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,,8,нет,Тбилиси,0.25 гр,0.0285,14039,5415,450,190.0,True,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,18-03-2020 12:58:48,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,10,10,Тбилиси,0.27 гр,0.0379,16773,6470,537,227.0,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
4,4,18-03-2020 12:58:48,Tbilisi,99accec7c7,COCAINE VHQ!!! 0.5gr THE BEST COCA,True,4,нет,Тбилиси,0.5 гр,0.018000000000000002,8054,3107,258,109.0,,,,,,,,,,,COCAINE VHQ!!! 0.5gr THE BEST COCA
5,5,18-03-2020 12:58:48,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0157,7315,2822,234,99.0,True,,,,,,,,,,Cocaine Pure VHQ 0.5g
6,6,18-03-2020 12:58:48,Tbilisi,99accec7c7,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))) скидка припокупке битком!,True,19,нет,Тбилиси,0.5 гр,0.0119,5542,2138,178,75.0,,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!))) skidka pripokupke bitkom!
7,7,18-03-2020 12:58:48,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",,3,нет,Тбилиси,0.5 гр,0.0165,7315,2822,234,99.0,True,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
8,8,18-03-2020 12:58:48,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,,4,нет,Тбилиси,0.5 гр,0.0173,8054,3107,258,109.0,True,,,,,,,,,,Pure COCAINE VHQ 0.5g
9,9,18-03-2020 12:58:48,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,3,нет,Тбилиси,1 гр,0.0083,3694,1425,118,50.0,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
10,10,18-03-2020 12:58:48,Tbilisi,0dec0e1c48,1 gr Marijuana Buds -INDICA-,True,3,нет,Тбилиси,1 гр,0.0053,2364,912,76,32.0,,,,,,,,,,,1 gr Marijuana Buds -INDICA-
11,11,18-03-2020 12:58:48,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,,9,нет,Тбилиси,1 гр,0.0198,8867,3420,284,120.0,True,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
12,12,18-03-2020 12:58:48,Tbilisi,4a91350669,1 gr гашиш VHQ gorilla glue hash тгк 28 %,,1,нет,Тбилиси,1 гр,0.0149,6650,2565,213,90.0,True,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
13,13,18-03-2020 12:58:48,Tbilisi,cb721d4bca,"1 mdma very strong best quality , import califronia , лучши мдма на саите",,7,нет,Тбилиси,1 гр,0.0165,7389,2850,237,100.0,True,,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
14,14,18-03-2020 12:58:48,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,1,нет,Тбилиси,1 гр,0.0083,3694,1425,118,50.0,True,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
15,15,18-03-2020 12:58:48,Tbilisi,f4d1c31614,1g MDMA (IMPORTED),True,3,нет,Тбилиси,1 гр,0.019,8867,3420,284,120.0,,,,,,,,,,,1g MDMA (IMPORTED)
16,16,18-03-2020 12:58:48,Tbilisi,7c395c455d,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,1,нет,Тбилиси,1 гр,0.0132,5911,2280,189,80.0,True,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
17,17,18-03-2020 12:58:48,Tbilisi,99accec7c7,COCAINE VHQ1gr СУПЕР COCA!!! SALE - BTC,True,5,нет,Тбилиси,1 гр,0.0331,14778,5700,473,200.0,,,,,,,,,,,COCAINE VHQ1gr SUPER COCA!!! SALE - BTC
18,18,18-03-2020 12:58:48,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,4,нет,Тбилиси,1 гр,0.0284,13226,5102,424,179.0,True,,,,,,,,,,Cocaine Pure VHQ 1g
19,19,18-03-2020 12:58:48,Tbilisi,ae784bef73,Gorilla Glue! 1G ! NEW !,,2,нет,Тбилиси,1 гр,0.0071,3177,1226,102,43.0,True,,,,,,,,,,Gorilla Glue! 1G ! NEW !
20,20,18-03-2020 12:58:48,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,,4,нет,Тбилиси,1 гр,0.0826,40639,15675,1302,550.0,True,,,,,,,,,,Metadon VHQ 1 24/7
21,21,18-03-2020 12:58:48,Tbilisi,ae784bef73,NEW ! Super Skunk ! NEW ! BUDS ! 1G,,7,нет,Тбилиси,1 гр,0.0079,3547,1368,114,48.0,True,,,,,,,,,,NEW ! Super Skunk ! NEW ! BUDS ! 1G
22,22,18-03-2020 12:58:48,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,,1,нет,Тбилиси,1 гр,0.0316,13965,5387,447,189.0,True,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
23,23,18-03-2020 12:58:48,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,,2,нет,Тбилиси,1 гр,0.0316,14704,5672,471,199.0,True,,,,,,,,,,VHQ BEST Cocaine 1g.
24,24,18-03-2020 12:58:48,Tbilisi,d04eeb6525,Кокаин HQ 1г.,,1,нет,Тбилиси,1 гр,0.0309,13965,5387,447,189.0,True,,,,,,,,,,Kokain HQ 1g.
25,25,18-03-2020 12:58:48,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1352,66501,25650,2131,900.0,True,,,,,,,,,,Metadon 1gr
26,26,18-03-2020 12:58:48,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",,3,нет,Тбилиси,1 гр,0.003,1478,570,47,20.0,True,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
27,27,18-03-2020 12:58:48,Tbilisi,dd631c4acf,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,,2,нет,Тбилиси,1 гр,0.0115,5098,1967,163,69.0,True,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
28,28,18-03-2020 12:58:48,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,4,нет,Тбилиси,2 гр,0.0114,5098,1967,163,69.0,True,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
29,29,18-03-2020 12:58:48,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,2,нет,Тбилиси,2 гр,0.0131,5837,2252,187,79.0,True,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
30,30,18-03-2020 12:58:48,Tbilisi,f4d1c31614,2g hybrid buds INDICA,True,3,нет,Тбилиси,2 гр,0.0143,6650,2565,213,90.0,,,,,,,,,,,2g hybrid buds INDICA
31,31,18-03-2020 12:58:48,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,,2,нет,Тбилиси,2 гр,0.0601,26600,10260,852,360.0,True,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
32,32,18-03-2020 12:58:48,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5% ПОДЪЕЗД!!! НА МАГНИТЕ!!!,,3,нет,Тбилиси,2 гр,0.0581,26231,10118,840,355.0,,,True,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5% POD'EZD!!! NA MAGNITE!!!
33,33,18-03-2020 12:58:48,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,,1,нет,Тбилиси,2 гр,0.0586,28817,11115,923,390.0,True,,,,,,,,,,VHQ BEST Cocaine 2g.
34,34,18-03-2020 12:59:25,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),,1,нет,Тбилиси,3 гр,0.044000000000000004,20576,7875,658,,True,,,250.0,,,,,,,3 gr mdma (skidka v bitkoin 5%)
35,35,18-03-2020 12:59:25,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,4,нет,Тбилиси,3 гр,0.0175,7758,2993,249,105.0,True,,,,,,,,,,3x Extasy Duracell 223mg MDMA
36,36,18-03-2020 12:59:25,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,,2,нет,Тбилиси,4 гр,0.009000000000000001,4433,1710,142,60.0,True,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
37,37,18-03-2020 12:59:25,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,,3,нет,Тбилиси,5 гр,0.0264,11748,4532,376,159.0,True,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
38,38,18-03-2020 12:59:25,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,,2,нет,Тбилиси,5 гр,0.0258,11453,4418,367,155.0,True,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
39,39,18-03-2020 12:59:25,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0479,23645,9120,758,320.0,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
40,40,18-03-2020 12:59:25,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0489,22167,8550,710,300.0,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
41,41,18-03-2020 12:59:25,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0598,27984,10710,895,,True,,,340.0,,,,,,,5 gr mdma (skidka v bitkoin 5%)
42,42,18-03-2020 12:59:25,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,5 гр,0.0291,12931,4988,414,175.0,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
43,43,18-03-2020 12:59:25,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.1296,58151,22430,1863,787.0,,,True,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
44,44,18-03-2020 12:59:25,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,,2,нет,Тбилиси,5 гр,0.0264,11748,4532,376,159.0,True,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
45,45,18-03-2020 12:59:25,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,10,нет,Тбилиси,5 гр,0.0097,4803,1853,154,65.0,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
46,46,18-03-2020 12:59:25,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0535,24014,9263,769,325.0,,,True,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
47,47,18-03-2020 12:59:25,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0601,26970,10403,864,365.0,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
48,48,18-03-2020 12:59:25,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.044000000000000004,19729,7610,632,267.0,True,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
49,49,18-03-2020 12:59:25,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,6,нет,Тбилиси,10 гр,0.0148,7315,2822,234,99.0,True,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
50,50,18-03-2020 12:59:25,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0632,29556,11400,947,400.0,True,,,,,,,,,,gashish evro 10g
51,51,18-03-2020 12:59:25,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,1,нет,Тбилиси,11 гр,0.1046,46920,18098,1503,635.0,,,True,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
52,52,18-03-2020 12:59:25,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),,13,5,Тбилиси,0.27 гр,0.0378,16773,6470,537,227.0,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
53,53,18-03-2020 12:59:25,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),,нет,3,Тбилиси,1.1 гр,0.1081,48028,18525,1539,650.0,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
54,54,18-03-2020 12:59:25,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,,нет,1,Тбилиси,1.4 гр,0.1153,51723,19950,1657,700.0,True,,,,,,,,,,Methadone HQ in city 1.4g
55,55,18-03-2020 12:59:25,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0981,43595,16815,1397,590.0,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
56,56,18-03-2020 12:59:25,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0659,29556,11400,947,400.0,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
57,57,18-03-2020 12:59:25,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0906,40639,15675,1302,550.0,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
58,58,18-03-2020 12:59:25,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,3,Тбилиси,5 гр,0.0257,11527,4446,369,156.0,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
59,59,18-03-2020 12:59:25,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,10,Тбилиси,5 гр,0.0328,14704,5672,471,199.0,True,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
60,60,18-03-2020 12:59:25,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.0263,11822,4560,379,160.0,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
61,61,18-03-2020 12:59:25,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0328,14704,5672,471,199.0,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
62,62,18-03-2020 12:59:25,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",,нет,1,Тбилиси,5 гр,0.0328,14704,5672,471,199.0,True,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
63,63,18-03-2020 12:59:25,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0239,10714,4133,343,145.0,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
64,64,18-03-2020 12:59:25,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0328,16182,6242,518,219.0,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
65,65,18-03-2020 12:59:25,Tbilisi,3814ba5701,Hybrid Gagarin. 5g.,,нет,3,Тбилиси,5 гр,0.0348,16256,6270,521,220.0,True,,,,,,,,,,Hybrid Gagarin. 5g.
66,66,18-03-2020 13:00:14,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0499,22167,8550,710,300.0,True,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
67,67,18-03-2020 13:00:14,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,9,Тбилиси,5 гр,0.0247,11083,4275,355,150.0,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
68,68,18-03-2020 13:00:14,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,15,Тбилиси,5 гр,0.0299,14778,5700,473,200.0,True,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
69,69,18-03-2020 13:00:14,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3849,190000,87429,6063,,True,,,,,,,,,,reagent 25i nbome. 5gr
70,70,18-03-2020 13:00:14,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4491,221669,85500,7102,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
71,71,18-03-2020 13:00:14,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,3,Тбилиси,5 гр,0.1429,63471,24482,2034,859.0,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
72,72,18-03-2020 13:00:14,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,3,Тбилиси,5 гр,0.0308,13670,5273,438,185.0,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
73,73,18-03-2020 13:00:14,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0813,36132,13937,1158,489.0,True,,,,,,,,,,💘✨5g. MDMA ✨💘
74,74,18-03-2020 13:00:14,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,,нет,5,Тбилиси,5 гр,0.0547,24310,9377,779,329.0,True,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
75,75,18-03-2020 13:00:14,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,9,Тбилиси,5 гр,0.0299,13300,5130,426,180.0,True,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
76,76,18-03-2020 13:00:14,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1482,66501,25650,2131,900.0,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
77,77,18-03-2020 13:00:14,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.1153,51723,19950,1657,700.0,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
78,78,18-03-2020 13:00:14,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,8,Тбилиси,10 гр,0.0657,29482,11372,945,399.0,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
79,79,18-03-2020 13:00:14,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,10 гр,0.0582,25861,9975,829,350.0,True,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
80,80,18-03-2020 13:00:14,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1317,59112,22800,1894,800.0,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
81,81,18-03-2020 13:00:14,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3664,164404,63413,5267,2225.0,True,,,,,,,,,,Amfetamin [White] [Import] 10G
82,82,18-03-2020 13:00:14,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.24100000000000002,107066,41297,3430,1449.0,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
83,83,18-03-2020 13:00:14,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0614,27265,10517,874,369.0,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
84,84,18-03-2020 13:00:14,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,3,Тбилиси,10 гр,0.0497,22093,8522,708,299.0,True,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
85,85,18-03-2020 13:00:14,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0996,44260,17072,1418,599.0,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
86,86,18-03-2020 13:00:14,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.1796,88668,34200,2841,1200.0,True,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
87,87,18-03-2020 13:00:14,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.3293,147779,57000,4735,2000.0,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
88,88,18-03-2020 13:00:14,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.3326,147779,57000,4735,2000.0,True,,,,,,,,,,SUBOXIN - HQ - 100 G.
89,89,18-03-2020 13:00:14,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.4117,184724,71250,5918,2500.0,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
90,90,18-03-2020 13:00:14,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2495,110834,42750,3551,1500.0,True,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
91,91,18-03-2020 13:00:14,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.7575,339892,131100,10890,4600.0,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
92,92,18-03-2020 13:00:14,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.235,554172,213750,17755,7500.0,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
93,93,18-03-2020 13:00:14,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.3996,628062,242250,20122,8500.0,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
94,94,18-03-2020 13:00:14,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,1,нет,Тбилиси,1 гр,0.0299,14778,5700,473,200.0,True,,,,,,,,,,KURYER..500RUB.+BONUS
95,95,18-03-2020 13:00:14,Tbilisi,54915c4374,Работа на марки (курьер),,1,нет,Тбилиси,10 гр,0.0225,11083,4275,355,150.0,True,,,,,,,,,,Rabota na marki (kur'er)
96,96,18-03-2020 13:00:14,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0329,14778,5700,473,200.0,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
97,97,18-03-2020 13:00:14,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0412,18472,7125,592,250.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
