,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,26-02-2020 18:19:34,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,1,нет,Тбилиси,0.25 гр,0.0107,6552,2464,223,100,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,26-02-2020 18:19:34,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0097,6486,2439,220,99,,,,,,,,,Cocaine Pure VHQ 0.5g
2,26-02-2020 18:19:34,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,5,нет,Тбилиси,0.5 гр,0.0107,6486,2439,220,99,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
3,26-02-2020 18:19:34,Tbilisi,UJP9,420Inc,THC Snow Buds Only 0.5 G (THC 23+%),True,4,нет,Тбилиси,0.5 гр,0.0032,1966,739,67,30,,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
4,26-02-2020 18:19:34,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,6,нет,Тбилиси,0.8 гр,0.0161,9828,3696,334,150,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
5,26-02-2020 18:19:34,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,True,3,нет,Тбилиси,1 гр,0.0129,7862,2957,267,120,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
6,26-02-2020 18:19:34,Tbilisi,SF03,CRAZYFROG,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,2,нет,Тбилиси,1 гр,0.0107,6552,2464,223,100,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
7,26-02-2020 18:19:34,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,6,нет,Тбилиси,1 гр,0.0091,5569,2094,189,85,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
8,26-02-2020 18:19:34,Tbilisi,ABOAB,ProGrow,1G -- AK-47 -> Sativa,,3,нет,Тбилиси,1 гр,0.0039,2424,912,82,37,True,,,,,,,,1G -- AK-47 -> Sativa
9,26-02-2020 18:19:34,Tbilisi,SF03,CRAZYFROG,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,5,нет,Тбилиси,1 гр,0.0099,6056,2273,206,,,85,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
10,26-02-2020 18:19:34,Tbilisi,03F3,geoshop,1gr bubble hash thc 25% гашиш вишего качество HQ,True,5,нет,Тбилиси,1 гр,0.0091,5569,2094,189,85,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
11,26-02-2020 18:19:34,Tbilisi,0WE,Khachapuri,1gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,1 гр,0.0101,6412,2407,218,,,90,,,,,,,1gr mdma (skidka v bitkoin 5%)
12,26-02-2020 18:19:34,Tbilisi,X4ZM,ZYX,Afghan HQ buds ! NEW ! 1G,True,2,нет,Тбилиси,1 гр,0.005,3079,1158,105,47,,,,,,,,,Afghan HQ buds ! NEW ! 1G
13,26-02-2020 18:19:34,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0185,12448,4682,423,190,,,,,,,,,Cocaine Pure VHQ 1g
14,26-02-2020 18:19:34,Tbilisi,5JG6,BenderMan,"Cocaine, 1g",True,4,нет,Тбилиси,1 гр,0.0238,14414,5421,490,220,,,,,,,,,"Cocaine, 1g"
15,26-02-2020 18:19:34,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 1piece",True,1,нет,Тбилиси,1 гр,0.0043,2621,986,89,40,,,,,,,,,"LSD - 250 ug, 1piece"
16,26-02-2020 18:19:34,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0205,12383,4657,421,189,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
17,26-02-2020 18:19:34,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,4,нет,Тбилиси,1 гр,0.0185,11793,4435,401,180,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
18,26-02-2020 18:19:34,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,3,нет,Тбилиси,1 гр,0.0439,29483,11088,1002,450,,,,,,,,,Metadon 1gr
19,26-02-2020 18:19:34,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,True,1,нет,Тбилиси,1 гр,0.0118,7141,2686,243,109,,,,,,,,,✨ 1g. MDMA ✨
20,26-02-2020 18:19:34,Tbilisi,JVZTQ,partyshop,2 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,1,нет,Тбилиси,2 гр,0.0203,12383,4657,421,189,,,,,,,,,2 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
21,26-02-2020 18:19:34,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,2 гр,0.0086,5176,1947,176,79,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
22,26-02-2020 18:19:34,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0076,4586,1725,156,70,,,,,,,,,2x Extasy Duracell 223mg MDMA.
23,26-02-2020 18:19:34,Tbilisi,5JG6,BenderMan,"Cocaine, 2 g",True,1,нет,Тбилиси,2 гр,0.0433,26207,9856,891,400,,,,,,,,,"Cocaine, 2 g"
24,26-02-2020 18:19:34,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,3,нет,Тбилиси,2 гр,0.0366,22604,8501,768,345,True,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
25,26-02-2020 18:19:34,Tbilisi,5JG6,BenderMan,Ketamine 2 g,True,4,нет,Тбилиси,2 гр,0.0195,11793,4435,401,180,,,,,,,,,Ketamine 2 g
26,26-02-2020 18:19:34,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 2 pieces",True,6,нет,Тбилиси,2 гр,0.0076,4586,1725,156,70,,,,,,,,,"LSD - 250 ug, 2 pieces"
27,26-02-2020 18:19:34,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0374,22866,8599,777,349,,,True,,,,,,Kokain KOLUMBIA 2g
28,26-02-2020 18:19:34,Tbilisi,0WE,Khachapuri,🍃 2гр ГАШИШ 🍃,True,3,нет,Тбилиси,2 гр,0.0113,7207,2710,245,110,,,,,,,,,🍃 2gr GAShISh 🍃
29,26-02-2020 18:19:34,Tbilisi,0WE,Khachapuri,"3 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,2,нет,Тбилиси,3 гр,0.0112,7124,2674,242,,,100,,,,,,,"3 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
30,26-02-2020 18:19:34,Tbilisi,03F3,geoshop,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0225,13759,5174,468,210,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
31,26-02-2020 18:19:34,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0114,6879,2587,234,105,,,,,,,,,3x Extasy Duracell 223mg MDMA
32,26-02-2020 18:19:34,Tbilisi,X4ZM,ZYX,NEW ! Easy Bud ! 3g,True,4,нет,Тбилиси,3 гр,0.0086,5241,1971,178,80,,,,,,,,,NEW ! Easy Bud ! 3g
33,26-02-2020 18:19:34,Tbilisi,WLV7F,AGsgrowgro,metadon sirop 4ml,True,1,нет,Тбилиси,4 гр,0.0072,4390,1651,149,67,,,,,,,,,metadon sirop 4ml
34,26-02-2020 18:19:55,Tbilisi,X4ZM,ZYX,NEW ! Easy Bud ! 3g,True,4,нет,Тбилиси,3 гр,0.0085,5241,1971,178,80,,,,,,,,,NEW ! Easy Bud ! 3g
35,26-02-2020 18:19:55,Tbilisi,WLV7F,AGsgrowgro,metadon sirop 4ml,True,1,нет,Тбилиси,4 гр,0.0072,4390,1651,149,67,,,,,,,,,metadon sirop 4ml
36,26-02-2020 18:19:55,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0167,10155,3819,345,155,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
37,26-02-2020 18:19:55,Tbilisi,0WE,Khachapuri,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,5 гр,0.0184,11755,4412,399,,,165,,,,,,,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
