,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,09-03-2020 17:24:14,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G,True,1,нет,Тбилиси,0.35 гр,0.0361,21606,8166,717,320,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
1,09-03-2020 17:24:14,Tbilisi,ABOAB,ProGrow,1G -- ФОТО РАБОТАЕТ -> Sativa,,19,нет,Тбилиси,1 гр,0.004,2498,944,83,37,True,,,,,,,,1G -- FOTO RABOTAET -> Sativa
2,09-03-2020 17:24:14,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.005,3038,1148,101,45,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
3,09-03-2020 17:24:14,Tbilisi,Y7587,PVPStore,ALFA PVP 1g,True,1,нет,Тбилиси,1 гр,0.0142,9452,3573,314,140,,,,,,,,,ALFA PVP 1g
4,09-03-2020 17:24:14,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,9,нет,Тбилиси,1 гр,0.0167,10128,3828,336,150,,,,,,,,,Apvp VHQ 1g 24/7
5,09-03-2020 17:24:14,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,6,нет,Тбилиси,1 гр,0.0202,12761,4823,423,189,,,,,,,,,Cocaine Pure VHQ 1g
6,09-03-2020 17:24:14,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,6,нет,Тбилиси,1 гр,0.0142,9452,3573,314,140,,,,,,,,,NZT-52 mind storm limited 1g muka
7,09-03-2020 17:24:14,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,4,нет,Тбилиси,1 гр,0.0213,13436,5078,446,199,,,,,,,,,VHQ BEST Cocaine 1g.
8,09-03-2020 17:24:14,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,4,нет,Тбилиси,1 гр,0.0209,12761,4823,423,189,,,,,,,,,Kokain HQ 1g.
9,09-03-2020 17:24:14,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.02,12086,4568,401,179,,True,,,,,,,Kokain KOLUMBIA 1g
10,09-03-2020 17:24:14,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0913,60766,22968,2016,900,,,,,,,,,Metadon 1gr
11,09-03-2020 17:24:14,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0396,26332,9953,873,390,,,,,,,,,VHQ BEST Cocaine 2g.
12,09-03-2020 17:24:14,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,11,нет,Тбилиси,2 гр,0.0036,2363,893,78,35,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
13,09-03-2020 17:24:14,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,5,нет,Тбилиси,2 гр,0.0406,25589,9672,849,379,,,,,,,,,Kokain HQ 2g.
14,09-03-2020 17:24:14,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0118,7089,2680,235,105,,,,,,,,,3x Extasy Duracell 223mg MDMA
15,09-03-2020 17:24:14,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.0112,6684,2526,222,99,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
16,09-03-2020 17:24:14,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0325,21606,8166,717,320,,,,,,,,,"5 Grm MDMA , Purity A +++"
17,09-03-2020 17:24:14,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,5 гр,0.0451,28441,10935,944,,,,375,,,,,,5 gr mdma (skidka v bitkoin 5%)
18,09-03-2020 17:24:14,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,6,нет,Тбилиси,5 гр,0.0197,11816,4466,392,175,,,,,,,,,5x Extasy Duracell 223mg MDMA.
19,09-03-2020 17:24:14,Tbilisi,5LZ,ExtraShop,5шт Ecstazy 280мг MDMA (Gray Duracell),True,9,нет,Тбилиси,5 гр,0.0166,10128,3828,336,150,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
