,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Дигоми,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Батуми,Центр,Кутаиси,desc_en
0,0,24-04-2020 00:36:19,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0175,10142,3679,337,135.0,,,,,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,1,24-04-2020 00:36:19,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0143,8189,2970,272,109.0,,,,,,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
2,2,24-04-2020 00:36:19,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,9,нет,Тбилиси,1 гр,0.0065,4132,1499,137,55.0,,,,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
3,3,24-04-2020 00:36:19,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0309,18031,6540,599,240.0,,,,,,,,,,,,,,,,VHQ BEST Cocaine 1g.
4,4,24-04-2020 00:36:19,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1063,67616,24525,2245,900.0,,,,,,,,,,,,,,,,Metadon 1gr
5,5,24-04-2020 00:36:19,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0314,17956,6513,596,239.0,,,,,,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
6,6,24-04-2020 00:36:19,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,9,нет,Тбилиси,2 гр,0.0118,7513,2725,249,100.0,,,,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
7,7,24-04-2020 00:36:19,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,2 гр,0.0104,5935,2153,197,79.0,,,,,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
8,8,24-04-2020 00:36:19,Tbilisi,54915c4374,Марки Н-ВоооооМ!!!! 2 штуки,,2,нет,Тбилиси,2 гр,0.0047,2705,981,90,36.0,True,,,,,,,,,,,,,,,Marki N-VoooooM!!!! 2 shtuki
9,9,24-04-2020 00:36:19,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,6,нет,Тбилиси,2 гр,0.011000000000000001,6386,2316,212,85.0,,True,,,,,,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
10,10,24-04-2020 00:36:19,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA. Авламбари,True,1,нет,Тбилиси,3 гр,0.0138,7889,2861,262,105.0,,,,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
11,11,24-04-2020 00:36:19,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,4,нет,Тбилиси,3 гр,0.013000000000000001,7513,2725,249,100.0,,,,,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
12,12,24-04-2020 00:36:19,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,2,нет,Тбилиси,3 гр,0.0156,8940,3243,297,119.0,,,,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
13,13,24-04-2020 00:36:19,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.0156,8940,3243,297,119.0,,,,,,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
14,14,24-04-2020 00:36:19,Tbilisi,54915c4374,Н бооом 4 штуки (300 арагвели),True,2,нет,Тбилиси,4 гр,0.0071,4132,1499,137,55.0,,,,,,,,,,,,,,,,N booom 4 shtuki (300 aragveli)
15,15,24-04-2020 00:36:19,Tbilisi,54915c4374,Н бооом 4 штуки (глдани),,2,нет,Тбилиси,4 гр,0.0071,4132,1499,137,55.0,,,True,,,,,,,,,,,,,N booom 4 shtuki (gldani)
16,16,24-04-2020 00:36:19,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0399,24041,8720,798,320.0,,,,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
17,17,24-04-2020 00:36:19,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0386,22539,8175,748,300.0,,,,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
18,18,24-04-2020 00:36:19,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,1,нет,Тбилиси,5 гр,0.0201,11645,4224,387,155.0,True,,,,,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
19,19,24-04-2020 00:36:19,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,True,1,нет,Тбилиси,10 гр,0.039,22539,8175,748,300.0,,,,,,,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
20,20,24-04-2020 00:36:19,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0499,30052,10900,998,400.0,,,,,,,,,,,,,,,,gashish evro 10g
21,21,24-04-2020 00:36:19,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0968,58375,21173,1939,777.0,,,,,,,,,,,,,,,,Gashish Evro 20gr
22,22,24-04-2020 00:36:19,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2362,150258,54500,4990,2000.0,,,,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
23,23,24-04-2020 00:36:19,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,9,Тбилиси,2 гр,0.0484,27723,10055,921,369.0,,,,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
