,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,25-03-2020 06:42:01,Tbilisi,8a650ecf5f,"Метадон VHQ 0,10",True,9,нет,Тбилиси,0.1 гр,0.013999999999999999,7885,2820,260,100.0,,,,,,,,,,,"Metadon VHQ 0,10"
1,1,25-03-2020 06:42:01,Tbilisi,99accec7c7,METHADONE 0.25 THE BEST QUALITY VHQ,,11,нет,Тбилиси,0.25 гр,0.0281,15770,5640,520,200.0,True,,,,,,,,,,METHADONE 0.25 THE BEST QUALITY VHQ
2,2,25-03-2020 06:42:01,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,2,нет,Тбилиси,0.25 гр,0.0267,14981,5358,494,190.0,,,,,,,,,,,"Metadon VHQ 0,25"
3,3,25-03-2020 06:42:01,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.33 грамм",True,2,нет,Тбилиси,0.33 гр,0.0061,3759,1342,124,,,44.0,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.33 gramm"
4,4,25-03-2020 06:42:01,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0133,7806,2792,257,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
5,5,25-03-2020 06:42:01,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0561,31540,11280,1040,400.0,,,,,,,,,,,Metadon VHQ 0.5 24/7
6,6,25-03-2020 06:42:01,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0162,9462,3384,312,120.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
7,7,25-03-2020 06:42:01,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,1 гр,0.0063,3548,1269,117,45.0,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
8,8,25-03-2020 06:42:01,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.006999999999999999,3942,1410,130,50.0,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
9,9,25-03-2020 06:42:01,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,16,нет,Тбилиси,1 гр,0.006,3391,1213,112,43.0,,,,,,,,,,,Amsterdam weed sativa 1gr
