,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,€,Nadzaladevi,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,10-02-2020 11:55:24,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,9,нет,Тбилиси,0.15 гр,0.0115,8251,3211,283,130,,,,,,,,,,,,Metadon 0.15gr
1,10-02-2020 11:55:24,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,8,нет,Тбилиси,0.25 гр,0.0159,11425,4446,392,180,,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,10-02-2020 11:55:24,Tbilisi,RM0T,Funtomass,"methadone 0,29 gr",,7,нет,Тбилиси,0.29 гр,0.0204,13329,5187,457,210,True,,,,,,,,,,,"methadone 0,29 gr"
3,10-02-2020 11:55:24,Tbilisi,Y7587,PVPStore,ALFA PVP in City 0.3g,True,2,нет,Тбилиси,0.3 гр,0.0058,3808,1482,131,60,,,,,,,,,,,,ALFA PVP in City 0.3g
4,10-02-2020 11:55:24,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,5,нет,Тбилиси,0.3 гр,0.0159,12060,4693,413,190,,,,,,,,,,,,Metadon 0.30gr
5,10-02-2020 11:55:24,Tbilisi,TI21,Campaari,"A PVP 0,33 VHQ",True,1,нет,Тбилиси,0.33 гр,0.0056,3808,1482,131,60,,,,,,,,,,,,"A PVP 0,33 VHQ"
6,10-02-2020 11:55:24,Tbilisi,7R3WM,RastaShop,0.5 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,3,нет,Тбилиси,0.5 гр,0.0028,1841,716,63,29,,True,,,,,,,,,,0.5 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
7,10-02-2020 11:55:24,Tbilisi,7R3WM,RastaShop,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,7,нет,Тбилиси,0.5 гр,0.0028,1841,716,63,29,True,,True,,,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
8,10-02-2020 11:55:24,Tbilisi,Y7587,PVPStore,ALFA PVP in City 0.5g,True,7,нет,Тбилиси,0.5 гр,0.0078,5078,1976,174,80,,,,,,,,,,,,ALFA PVP in City 0.5g
9,10-02-2020 11:55:24,Tbilisi,5JG6,BenderMan,"Cocaine, 0.5 g",True,5,нет,Тбилиси,0.5 гр,0.0108,6982,2717,239,110,,,,,,,,,,,,"Cocaine, 0.5 g"
10,10-02-2020 11:55:24,Tbilisi,NLKH,STARS,"H i B R i D 0.5г. Три вадном ----> amnezia , tutanhamon, jackherer )",True,1,нет,Тбилиси,0.5 гр,0.0048,3110,1210,107,49,,,,,,,,,,,,"H i B R i D 0.5g. Tri vadnom ----> amnezia , tutanhamon, jackherer )"
11,10-02-2020 11:55:24,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0059,3808,1482,131,60,,,,,,,,,,,,Ketamine 0.5g
12,10-02-2020 11:55:24,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0265,19042,7410,653,300,,,,,,,,,,,,Metadon VHQ 0.5 24/7
13,10-02-2020 11:55:24,Tbilisi,9VLN,AlienShop,❄❄❄0.5g HQ COCAINE❄❄❄,True,1,нет,Тбилиси,0.5 гр,0.0097,6284,2445,215,99,,,,,,,,,,,,❄❄❄0.5g HQ COCAINE❄❄❄
14,10-02-2020 11:55:24,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,1,нет,Тбилиси,0.6 гр,0.0274,19676,7657,675,310,,,,,,,,,,,,Metadon 0.6gr
15,10-02-2020 11:55:24,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,7,нет,Тбилиси,0.8 гр,0.0117,7617,2964,261,120,,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
16,10-02-2020 11:55:24,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,40,нет,Тбилиси,1 гр,0.004,2856,1112,98,45,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
17,10-02-2020 11:55:24,Tbilisi,0WE,Khachapuri,1 g Ketamine / 1 гр Кетамин (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.007,4760,1853,163,75,,,,,,,,,,,,1 g Ketamine / 1 gr Ketamin (skidka v bitkoin)
18,10-02-2020 11:55:24,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS saburtalo!! btc sale 1%",True,8,нет,Тбилиси,1 гр,0.0049,3174,1235,109,50,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS saburtalo!! btc sale 1%"
19,10-02-2020 11:55:24,Tbilisi,7R3WM,RastaShop,1 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,1,нет,Тбилиси,1 гр,0.0046,2983,1161,102,47,,,True,,,,,,,,,1 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
20,10-02-2020 11:55:24,Tbilisi,0WE,Khachapuri,1gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,1 гр,0.0087,5918,2299,203,,,,,85,,,,,,,,1gr mdma (skidka v bitkoin 5%)
21,10-02-2020 11:55:24,Tbilisi,X4ZM,ZYX,Afghan HQ buds ! NEW ! 1G,True,2,нет,Тбилиси,1 гр,0.0044,2856,1112,98,45,,,,,,,,,,,,Afghan HQ buds ! NEW ! 1G
22,10-02-2020 11:55:24,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,9,нет,Тбилиси,1 гр,0.0117,7617,2964,261,120,,,,,,,,,,,,Apvp VHQ 1g 24/7
23,10-02-2020 11:55:24,Tbilisi,5JG6,BenderMan,Ketamine 1g,True,7,нет,Тбилиси,1 гр,0.0098,6347,2470,218,100,,,,,,,,,,,,Ketamine 1g
24,10-02-2020 11:55:24,Tbilisi,LYHBG,Playboy,Ketamine 1g.,True,8,нет,Тбилиси,1 гр,0.0088,5649,2198,194,89,,,,,,,,,,,,Ketamine 1g.
