,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Vake,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,02-03-2020 03:36:29,Tbilisi,21de5577be,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),True,3,нет,Тбилиси,0.5 гр,0.0032,1943,716,65,29.0,,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
1,1,02-03-2020 03:36:29,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",,5,нет,Тбилиси,0.5 гр,0.0112,6632,2445,222,99.0,True,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
2,2,02-03-2020 03:36:29,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),,4,нет,Тбилиси,0.8 гр,0.0168,10049,3705,336,150.0,True,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
3,3,02-03-2020 03:36:29,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,4,нет,Тбилиси,1 гр,0.0049,3216,1186,107,48.0,True,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
4,4,02-03-2020 03:36:29,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,8,нет,Тбилиси,1 гр,0.0056,3350,1235,112,50.0,True,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
5,5,02-03-2020 03:36:29,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),,1,нет,Тбилиси,1 гр,0.0106,6635,2440,222,,True,90.0,,,,,,,,1gr mdma (skidka v bitkoin 5%)
6,6,02-03-2020 03:36:29,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,,3,нет,Тбилиси,1 гр,0.0671,40195,14820,1343,600.0,True,,,,,,,,,Metadon VHQ 1 24/7
7,7,02-03-2020 03:36:29,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,,2,нет,Тбилиси,1 гр,0.0213,12661,4668,423,189.0,True,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
8,8,02-03-2020 03:36:29,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),,1,нет,Тбилиси,1 гр,0.0199,12393,4570,414,185.0,True,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
9,9,02-03-2020 03:36:29,Tbilisi,16be2c8499,реагент 25i nbome. 1гр.,,1,нет,Тбилиси,1 гр,0.0607,40000,18406,1336,,True,,,,,,,,,reagent 25i nbome. 1gr.
10,10,02-03-2020 03:36:29,Tbilisi,7ee4f68218,2 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,2 гр,0.0201,12533,4609,419,,True,170.0,,,,,,,,2 gr mdma (skidka v bitkoin 5%)
11,11,02-03-2020 03:36:29,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!,True,2,нет,Тбилиси,2 гр,0.0354,21437,7904,717,320.0,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!
12,12,02-03-2020 03:36:29,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,5,нет,Тбилиси,2 гр,0.0036,2345,865,78,35.0,,,True,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
13,13,02-03-2020 03:36:29,Tbilisi,7ee4f68218,"3 ecstasy 💊""PARTY ROCK""💊 300 mg",,1,нет,Тбилиси,3 гр,0.0118,7372,2711,247,,True,100.0,,,,,,,,"3 ecstasy 💊""PARTY ROCK""💊 300 mg"
14,14,02-03-2020 03:36:29,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,3 гр,0.0295,18431,6778,617,,True,250.0,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
15,15,02-03-2020 03:36:29,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0472,29489,10844,987,,True,400.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
16,16,02-03-2020 03:36:29,Tbilisi,366326d4d6,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,,1,нет,Тбилиси,5 гр,0.096,56942,20995,1903,850.0,True,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
17,17,02-03-2020 03:36:29,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",,1,нет,Тбилиси,5 гр,0.0169,10049,3705,336,150.0,True,,,,,,,,,"LSD - 250 ug, 5 pieces"
18,18,02-03-2020 03:36:29,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,7,нет,Тбилиси,10 гр,0.0408,24452,9016,817,365.0,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
19,19,02-03-2020 03:36:29,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",,1,нет,Тбилиси,10 гр,0.0339,20097,7410,672,300.0,True,,,,,,,,,"LSD - 250 ug, 10 pieces"
20,20,02-03-2020 03:36:29,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road",,1,нет,Тбилиси,10 гр,0.0258,16078,5928,537,240.0,True,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road"
21,21,02-03-2020 03:36:29,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0429,26796,9880,896,400.0,True,,,,,,,,,gashish evro 10g
22,22,02-03-2020 03:36:29,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",,2,нет,Тбилиси,20 гр,0.0483,30146,11115,1008,450.0,True,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
23,23,02-03-2020 03:36:29,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0834,52052,19192,1740,777.0,True,,,,,,,,,Gashish Evro 20gr
