,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,Varketili,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,27-03-2020 00:39:21,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,11,нет,Тбилиси,0.12 гр,0.013999999999999999,8659,3146,284,110.0,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,27-03-2020 00:39:21,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,,7,нет,Тбилиси,0.25 гр,0.0263,14957,5434,490,190.0,True,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
2,2,27-03-2020 00:39:21,Tbilisi,99accec7c7,METHADONE 0.25 THE BEST QUALITY VHQ,,2,нет,Тбилиси,0.25 гр,0.027999999999999997,15744,5720,516,200.0,True,,,,,,,,,,METHADONE 0.25 THE BEST QUALITY VHQ
3,3,27-03-2020 00:39:21,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0133,7794,2831,255,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,27-03-2020 00:39:21,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.055999999999999994,31489,11440,1032,400.0,,,,,,,,,,,Metadon VHQ 0.5 24/7
5,5,27-03-2020 00:39:21,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0161,9447,3432,309,120.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
6,6,27-03-2020 00:39:21,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,2,нет,Тбилиси,0.5 гр,0.0154,8581,3117,281,109.0,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
7,7,27-03-2020 00:39:21,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,4,нет,Тбилиси,1 гр,0.006999999999999999,3936,1430,129,50.0,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
8,8,27-03-2020 00:39:21,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,,3,нет,Тбилиси,1 гр,0.0063,3543,1287,116,45.0,,True,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
9,9,27-03-2020 00:39:21,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,9,нет,Тбилиси,1 гр,0.006999999999999999,3936,1430,129,50.0,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
10,10,27-03-2020 00:39:21,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,1,нет,Тбилиси,1 гр,0.006,3385,1230,111,43.0,,,,,,,,,,,Amsterdam weed sativa 1gr
11,11,27-03-2020 00:39:21,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0254,14879,5405,487,189.0,,,,,,,,,,,Cocaine Pure VHQ 1g
12,12,27-03-2020 00:39:21,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,True,8,нет,Тбилиси,1 гр,0.0076,4251,1544,139,54.0,,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
13,13,27-03-2020 00:39:21,Tbilisi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,12,нет,Тбилиси,1 гр,0.021,11808,4290,387,150.0,True,,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
14,14,27-03-2020 00:39:21,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1146,70850,25740,2321,900.0,,,,,,,,,,,Metadon 1gr
15,15,27-03-2020 00:39:21,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,1,нет,Тбилиси,1 гр,0.0154,8581,3117,281,109.0,,,,,,,,,,,✨ 1g. MDMA ✨
16,16,27-03-2020 00:39:21,Tbilisi,edfbad0151,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%),True,6,нет,Тбилиси,2 гр,0.0112,6298,2288,206,80.0,,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%)
17,17,27-03-2020 00:39:21,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,3,нет,Тбилиси,2 гр,0.0111,6219,2259,204,79.0,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
18,18,27-03-2020 00:39:21,Tbilisi,4a91350669,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,2 гр,0.0126,7085,2574,232,90.0,,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
19,19,27-03-2020 00:39:21,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,8,нет,Тбилиси,2 гр,0.0111,6219,2259,204,79.0,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
20,20,27-03-2020 00:39:21,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,2 гр,0.0111,6219,2259,204,79.0,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
21,21,27-03-2020 00:39:21,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,3,нет,Тбилиси,2 гр,0.0112,6219,2259,204,79.0,,,True,,,,,,,,2g super Skunk top class buds. Indica
22,22,27-03-2020 00:39:21,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,True,1,нет,Тбилиси,2 гр,0.0057,3543,1287,116,45.0,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
23,23,27-03-2020 00:39:21,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0149,8266,3003,271,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
24,24,27-03-2020 00:39:21,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,1,нет,Тбилиси,3 гр,0.0049,2755,1001,90,35.0,,,,True,,,,,,,Marijuana Super Skunk leaves 3g plan
25,25,27-03-2020 00:39:21,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 3 штуки,True,3,нет,Тбилиси,3 гр,0.0063,3868,1406,126,,,,,,45.0,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 3 shtuki
26,26,27-03-2020 00:39:21,Tbilisi,4be7861731,metadon sirop 4ml,,1,нет,Тбилиси,4 гр,0.0094,5274,1916,173,67.0,True,,,,,,,,,,metadon sirop 4ml
27,27,27-03-2020 00:39:21,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0225,12517,4547,410,159.0,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
28,28,27-03-2020 00:39:21,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0219,12202,4433,400,155.0,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
29,29,27-03-2020 00:39:21,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0407,25191,9152,825,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
30,30,27-03-2020 00:39:21,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0367,21491,7813,698,,,,,,250.0,,,,,,5 gr mdma (skidka v bitkoin 5%)
31,31,27-03-2020 00:39:21,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,8,нет,Тбилиси,5 гр,0.0248,13776,5005,451,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
32,32,27-03-2020 00:39:21,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,5 гр,0.006999999999999999,4330,1573,142,55.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
33,33,27-03-2020 00:39:21,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,True,1,нет,Тбилиси,6 гр,0.0121,7479,2717,245,95.0,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
34,34,27-03-2020 00:40:04,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,5 гр,0.006999999999999999,4330,1573,142,55.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
35,35,27-03-2020 00:40:04,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,True,1,нет,Тбилиси,6 гр,0.0121,7479,2717,245,95.0,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
36,36,27-03-2020 00:40:04,Tbilisi,0dec0e1c48,10 gr georgian weed. Wholesale,,1,нет,Тбилиси,10 гр,0.0278,15666,5691,513,199.0,True,,,,,,,,,,10 gr georgian weed. Wholesale
37,37,27-03-2020 00:40:04,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,3,нет,Тбилиси,10 гр,0.0334,18815,6835,616,239.0,True,,,,,,,,,,10 gr marijuana buds. -indica-
38,38,27-03-2020 00:40:04,Tbilisi,64284550d9,10G ---> ONLY BUDS,True,1,нет,Тбилиси,10 гр,0.0294,16532,6006,542,210.0,,,,,,,,,,,10G ---> ONLY BUDS
39,39,27-03-2020 00:40:04,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,2,нет,Тбилиси,10 гр,0.0558,31410,11411,1029,399.0,True,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
40,40,27-03-2020 00:40:04,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0511,28734,10439,941,365.0,,True,,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
41,41,27-03-2020 00:40:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0373,21019,7636,689,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
42,42,27-03-2020 00:40:04,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,10 гр,0.0108,6691,2431,219,85.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
43,43,27-03-2020 00:40:04,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0537,31489,11440,1032,400.0,,,,,,,,,,,gashish evro 10g
44,44,27-03-2020 00:40:04,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2543,157445,57200,5158,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
45,45,27-03-2020 00:40:04,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.0509,31489,11440,1032,400.0,,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
46,46,27-03-2020 00:40:04,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.15 G,True,нет,5,Тбилиси,0.15 гр,0.0212,11808,4290,387,150.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
47,47,27-03-2020 00:40:04,Tbilisi,f8a875c191,0.25G - METADON - VHQ,True,19,5,Тбилиси,0.25 гр,0.0283,15744,5720,516,200.0,,,,,,,,,,,0.25G - METADON - VHQ
48,48,27-03-2020 00:40:04,Tbilisi,2dbb5960b9,Methadone HQ in city 0.75g,True,нет,1,Тбилиси,0.75 гр,0.0518,29127,10582,954,370.0,,,,,,,,,,,Methadone HQ in city 0.75g
49,49,27-03-2020 00:40:04,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,1,3,Тбилиси,1.1 гр,0.0777,43297,15730,1418,550.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
50,50,27-03-2020 00:40:04,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,True,нет,1,Тбилиси,1.4 гр,0.0979,55106,20020,1805,700.0,,,,,,,,,,,Methadone HQ in city 1.4g
51,51,27-03-2020 00:40:04,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,2,Тбилиси,2 гр,0.0283,15744,5720,516,200.0,,,,,,,,,,,✨✨2gram. MDMA✨✨
52,52,27-03-2020 00:40:04,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,4,Тбилиси,2 гр,0.0521,29049,10553,952,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
53,53,27-03-2020 00:40:04,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0834,46446,16874,1522,590.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
