,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,12-06-2020 16:48:15,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,14,нет,Тбилиси,0.5 гр,0.0033,2212,859,76,32,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
1,12-06-2020 16:48:15,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0112,7534,2927,259,109,True,,,,,,,,✨ 1g. MDMA ✨
2,12-06-2020 16:48:15,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0087,5875,2282,202,85,,True,True,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
3,12-06-2020 16:48:15,Tbilisi,8B31,GEOWEEDSHOP,3 gr Indica dominant Buds,,7,нет,Тбилиси,3 гр,0.0091,6152,2390,211,89,True,,,,,,,,3 gr Indica dominant Buds
4,12-06-2020 16:48:15,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,True,7,нет,Тбилиси,3 гр,0.0089,6014,2336,207,87,,,,,,,,,3 gr georgian weed. Package on magnet
5,12-06-2020 16:48:15,Tbilisi,9VLN,AlienShop,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,2,нет,Тбилиси,3 гр,0.0119,7949,3088,273,115,True,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
6,12-06-2020 16:48:15,Tbilisi,3TGJ9,Elegant,4g.марихуана шишки white widow,True,1,нет,Тбилиси,4 гр,0.0181,13479,5236,463,195,,,,,,,,,4g.marihuana shishki white widow
7,12-06-2020 16:48:15,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,3,нет,Тбилиси,5 гр,0.0142,9608,3732,330,139,,,,,,,,,5 gr georgian weed. Package on magnet
8,12-06-2020 16:48:15,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,1,нет,Тбилиси,5 гр,0.0223,16589,6444,570,240,,,,,,,,,5g. marihuana shishki Critical
9,12-06-2020 16:48:15,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),True,1,нет,Тбилиси,5 гр,0.0132,8917,3464,306,129,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
