,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Vake,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,0,27-05-2020 15:37:05,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0093,6332,2419,214,89.0,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj !!! BTC SALE 5%!!!! SALE !!!!
1,1,27-05-2020 15:37:05,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,,2,нет,Тбилиси,0.25 гр,0.0107,7114,2718,240,100.0,True,,,,,,,,,,,Iranian Sirec 0.25g.
2,2,27-05-2020 15:37:05,Tbilisi,8ddca45a78,">>new<< 0,5G HINDU KUSH (Indica)",,1,нет,Тбилиси,0.5 гр,0.0032,2134,815,72,30.0,True,,,,,,,,,,,">>new<< 0,5G HINDU KUSH (Indica)"
3,3,27-05-2020 15:37:05,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,2,нет,Тбилиси,0.5 гр,0.0059,3913,1495,132,55.0,,True,,,,,,,,,,HQ Euro Hashish 0.5 g
4,4,27-05-2020 15:37:05,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,23,нет,Тбилиси,0.5 гр,0.0031,2063,788,70,29.0,,True,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
5,5,27-05-2020 15:37:05,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,,15,нет,Тбилиси,0.5 гр,0.0032,2134,815,72,30.0,True,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
6,6,27-05-2020 15:37:05,Tbilisi,8ddca45a78,"1g GORILLA GLUE #4 (Hybrid, more indica)",,1,нет,Тбилиси,1 гр,0.0053,3557,1359,120,50.0,True,,,,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
7,7,27-05-2020 15:37:05,Tbilisi,8ddca45a78,"1g LEMON SKUNK (Hybrid, more Sativa)",,1,нет,Тбилиси,1 гр,0.0053,3557,1359,120,50.0,True,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
8,8,27-05-2020 15:37:05,Tbilisi,8ddca45a78,1g NORTHERN LIGHTS (Indica),,2,нет,Тбилиси,1 гр,0.0053,3557,1359,120,50.0,True,,,,,,,,,,,1g NORTHERN LIGHTS (Indica)
9,9,27-05-2020 15:37:05,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 1 Gr,,1,нет,Тбилиси,1 гр,0.0055,3699,1413,125,52.0,True,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
10,10,27-05-2020 15:37:05,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0871,64027,24462,2162,900.0,True,,,,,,,,,,,Metadon 1gr
11,11,27-05-2020 15:37:05,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,2 гр,0.0075,4980,1903,168,70.0,True,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
12,12,27-05-2020 15:37:05,Tbilisi,4659482266,3g superskunk top class buds.,,4,нет,Тбилиси,3 гр,0.0134,8893,3398,300,125.0,,,,True,,,,,,,,3g superskunk top class buds.
13,13,27-05-2020 15:37:05,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,2,нет,Тбилиси,3 гр,0.0113,7470,2854,252,105.0,True,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
14,14,27-05-2020 15:37:05,Tbilisi,be97026d1d,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,2,нет,Тбилиси,3 гр,0.0344,23476,8969,793,330.0,,,,,True,,,,,,,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
15,15,27-05-2020 15:37:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,,4,нет,Тбилиси,4 гр,0.0114,7612,2908,257,107.0,True,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
16,16,27-05-2020 15:37:05,Tbilisi,be97026d1d,!!Critical Kush 5g!!,True,3,нет,Тбилиси,5 гр,0.0255,17003,6496,574,239.0,,,,,,,,,,,,!!Critical Kush 5g!!
17,17,27-05-2020 15:37:05,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,6,нет,Тбилиси,5 гр,0.0148,9889,3778,334,139.0,,True,,,,,,,,,,5 gr georgian weed. Package on magnet
18,18,27-05-2020 15:37:05,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0188,12450,4757,420,175.0,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
19,19,27-05-2020 15:37:05,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,2,нет,Тбилиси,5 гр,0.0269,17785,6795,601,250.0,True,,,,,,,,,,,MARIXYANA - INDICA - 5 G.
20,20,27-05-2020 15:37:05,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,True,4,нет,Тбилиси,10 гр,0.0233,15580,5952,526,219.0,,,,,,,,,,,,10 gr georgian weed. Package on magnet
21,21,27-05-2020 15:37:05,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,,1,нет,Тбилиси,10 гр,0.0144,9604,3669,324,135.0,True,,,,,,,,,,,10G Hybrid Marijuana Leafs
22,22,27-05-2020 15:37:05,Tbilisi,ae784bef73,Silver haze leaves листья 10гр,,1,нет,Тбилиси,10 гр,0.0117,7825,2990,264,110.0,,True,,,,,,,,,,Silver haze leaves list'ja 10gr
23,23,27-05-2020 15:37:05,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,1,нет,Тбилиси,10 гр,0.0465,32013,12231,1081,450.0,True,,,,,,,,,,,Gashish Evro 10gr
24,24,27-05-2020 15:37:05,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0794,55276,21119,1866,777.0,True,,,,,,,,,,,Gashish Evro 20gr
25,25,27-05-2020 15:37:05,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,,2,нет,Тбилиси,50 гр,0.0077,5691,2174,192,80.0,True,,,,,,,,,,,GABAGAMA 50 SHTUK
26,26,27-05-2020 15:37:05,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1937,142282,54360,4804,2000.0,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
27,27,27-05-2020 15:37:05,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,,1,нет,Тбилиси,150 гр,0.0179,13161,5028,444,185.0,True,,,,,,,,,,,GABAGAMA 150 shtuk
28,28,27-05-2020 15:37:05,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,5,Тбилиси,2 гр,0.0226,14940,5708,504,210.0,True,,,,,,,,,,,✨✨2gram. MDMA✨✨
29,29,27-05-2020 15:37:05,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,7,Тбилиси,2 гр,0.0397,26251,10029,886,369.0,True,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
30,30,27-05-2020 15:37:05,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0623,41191,15737,1391,579.0,True,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
31,31,27-05-2020 15:37:05,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0426,28456,10872,961,400.0,True,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
32,32,27-05-2020 15:37:05,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0149,9960,3805,336,140.0,,True,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
33,33,27-05-2020 15:37:55,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0746,49799,19026,1681,700.0,True,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
34,34,27-05-2020 15:37:55,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0586,39127,14949,1321,550.0,True,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
35,35,27-05-2020 15:37:55,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,9,Тбилиси,5 гр,0.025,16718,6387,564,235.0,True,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
36,36,27-05-2020 15:37:55,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0256,17074,6523,576,240.0,True,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
37,37,27-05-2020 15:37:55,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0245,16362,6251,552,230.0,True,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
38,38,27-05-2020 15:37:55,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,1,Тбилиси,5 гр,0.0169,11311,4322,382,159.0,True,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
39,39,27-05-2020 15:37:55,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0256,17074,6523,576,240.0,True,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
40,40,27-05-2020 15:37:55,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0256,17074,6523,576,240.0,True,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
41,41,27-05-2020 15:37:55,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0245,16362,6251,552,230.0,True,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
42,42,27-05-2020 15:37:55,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0212,15580,5952,526,219.0,True,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
