,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Didube,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,12-07-2020 12:47:25,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.0115,7947,3039,272,99.0,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,12-07-2020 12:47:25,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0106,7224,2763,247,90.0,True,,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,2,12-07-2020 12:47:25,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,9,нет,Тбилиси,0.5 гр,0.0035,2351,899,80,,True,33.0,,,,,,,,,,0.5 gr HYBRID buds
3,3,12-07-2020 12:47:25,Tbilisi,2f51af8159,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G,,7,нет,Тбилиси,0.5 гр,0.0034,2279,872,78,,,32.0,True,,,,,,,,,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G
4,4,12-07-2020 12:47:25,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,8,нет,Тбилиси,0.5 гр,0.0042,2809,1075,96,35.0,True,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
5,5,12-07-2020 12:47:25,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,7,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,True,60.0,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,6,12-07-2020 12:47:25,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,6,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,True,59.0,,,,,,,,,,1 G Hybrid Marijuana Buds
7,7,12-07-2020 12:47:25,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,9,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,True,60.0,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,8,12-07-2020 12:47:25,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,1,нет,Тбилиси,1 гр,0.0058,3918,1499,134,,True,55.0,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
9,9,12-07-2020 12:47:25,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,9,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,True,59.0,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
