,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,27-02-2020 08:55:47,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,1,нет,Тбилиси,0.25 гр,0.0111,6552,2464,224,100.0,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,1,27-02-2020 08:55:47,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.01,6486,2439,222,99.0,,,,,,,,,Cocaine Pure VHQ 0.5g
2,2,27-02-2020 08:55:47,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,1,нет,Тбилиси,0.5 гр,0.0111,6486,2439,222,99.0,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
3,3,27-02-2020 08:55:47,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,5,нет,Тбилиси,0.8 гр,0.0167,9828,3696,336,150.0,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
4,4,27-02-2020 08:55:47,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,1,нет,Тбилиси,1 гр,0.0094,5569,2094,190,85.0,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
5,5,27-02-2020 08:55:47,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,True,31,нет,Тбилиси,1 гр,0.004,2424,912,83,37.0,True,,,,,,,,1G -- AK-47 -> Sativa
6,6,27-02-2020 08:55:47,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,3,нет,Тбилиси,1 гр,0.0094,5569,2094,190,85.0,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
7,7,27-02-2020 08:55:47,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.0192,12448,4682,425,190.0,,,,,,,,,Cocaine Pure VHQ 1g
8,8,27-02-2020 08:55:47,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,4,нет,Тбилиси,1 гр,0.0247,14414,5421,492,220.0,,,,,,,,,"Cocaine, 1g"
9,9,27-02-2020 08:55:47,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,4,нет,Тбилиси,1 гр,0.0212,12383,4657,423,189.0,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
10,10,27-02-2020 08:55:47,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,4,нет,Тбилиси,1 гр,0.0192,11793,4435,403,180.0,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
11,11,27-02-2020 08:55:47,Tbilisi,61df6a1c90,Метадон 1гр,True,2,нет,Тбилиси,1 гр,0.0455,29483,11088,1007,450.0,,,,,,,,,Metadon 1gr
12,12,27-02-2020 08:55:47,Tbilisi,4a91350669,2 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,1,нет,Тбилиси,2 гр,0.021,12383,4657,423,189.0,,,,,,,,,2 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
13,13,27-02-2020 08:55:47,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.0089,5176,1947,177,79.0,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
