,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,0,01-06-2020 19:11:55,Tbilisi,9610a68a0a,suboxsone 0.4 g,True,1,нет,Тбилиси,0.4 гр,0.0038,2788,1080,96,40.0,,,,,,,,,,suboxsone 0.4 g
1,1,01-06-2020 19:11:55,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0853,62740,24300,2169,900.0,,,,,,,,,,Metadon 1gr
2,2,01-06-2020 19:11:55,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,3 гр,0.0125,8296,3213,287,119.0,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
3,3,01-06-2020 19:11:55,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0111,7320,2835,253,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
4,4,01-06-2020 19:11:55,Tbilisi,8528108b62,4g.марихуана шишки white widow,True,3,нет,Тбилиси,4 гр,0.0185,13594,5265,470,195.0,,,,,,,,,,4g.marihuana shishki white widow
5,5,01-06-2020 19:11:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,3,нет,Тбилиси,4 гр,0.0112,7459,2889,258,107.0,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
6,6,01-06-2020 19:11:55,Tbilisi,97d5fcd29b,Suboxene 4mg,True,2,нет,Тбилиси,4 гр,0.0055,3834,1485,133,55.0,,,,,,,,,,Suboxene 4mg
7,7,01-06-2020 19:11:55,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0309,20913,8100,723,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
8,8,01-06-2020 19:11:55,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,4,нет,Тбилиси,5 гр,0.0145,9690,3753,335,139.0,,,,,,,,,,5 gr georgian weed. Package on magnet
9,9,01-06-2020 19:11:55,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0227,16731,6480,578,240.0,,,,,,,,,,5g. marihuana shishki Critical
10,10,01-06-2020 19:11:55,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0184,12200,4725,422,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
11,11,01-06-2020 19:11:55,Tbilisi,be97026d1d,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!,,1,нет,Тбилиси,7.5 гр,0.0277,18752,7263,648,269.0,True,,,,,,,,,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!
12,12,01-06-2020 19:11:55,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,True,14,нет,Тбилиси,10 гр,0.0104,6971,2700,241,100.0,,True,,,,,,,,10 gr marihuana list'ja top gibrid
13,13,01-06-2020 19:11:55,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,True,3,нет,Тбилиси,20 гр,0.0034,2510,972,87,36.0,,,,,,,,,,GABAGAMA 20 SHTUK
14,14,01-06-2020 19:11:55,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0076,5577,2160,193,80.0,,,,,,,,,,GABAGAMA 50 SHTUK
15,15,01-06-2020 19:11:55,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1895,139423,54000,4820,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
16,16,01-06-2020 19:11:55,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0175,12897,4995,446,185.0,,,,,,,,,,GABAGAMA 150 shtuk
17,17,01-06-2020 19:11:55,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,True,нет,8,Тбилиси,0.25 гр,0.0042,2788,1080,96,40.0,,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
18,18,01-06-2020 19:11:55,Tbilisi,d30ed85c42,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3шт (0.27мг) BTC sale!💉⭕⚜,True,нет,5,Тбилиси,0.3 гр,0.0075,5228,2025,181,75.0,,,,,,,,,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3sht (0.27mg) BTC sale!💉⭕⚜
19,19,01-06-2020 19:11:55,Tbilisi,54915c4374,Сирец (геройн) очень сильный 0.33 гр,True,нет,46,Тбилиси,0.33 гр,0.0156,10457,4050,362,150.0,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 0.33 gr
