,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Nadzaladevi,Дигоми,€,Didube,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,14-07-2020 03:03:46,Tbilisi,7c395c455d,0.5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,0.5 гр,0.0034,2335,899,80,33.0,,,,,,,,,,,,,0.5 gr Amnesia Haze shishki import s evropy tgk 28%
1,1,14-07-2020 03:03:46,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,2,нет,Тбилиси,0.5 гр,0.021,14079,5423,481,199.0,,,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,14-07-2020 03:03:46,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,4,нет,Тбилиси,0.5 гр,0.0034,2335,899,80,33.0,,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
3,3,14-07-2020 03:03:46,Tbilisi,83f3d55917,Новости ! Наш магазин предлагает новые продукты !! Original Gangster !! 0.5 !!,,7,нет,Тбилиси,0.5 гр,0.0031,2122,818,73,30.0,True,,,,,,,,,,,,Novosti ! Nash magazin predlagaet novye produkty !! Original Gangster !! 0.5 !!
4,4,14-07-2020 03:03:46,Tbilisi,ebadfc162f,уро / Hammer 0.5G 100%шишки! LIMITED,,1,нет,Тбилиси,0.5 гр,0.0037,2476,954,85,35.0,,True,,,,,,,,,,,uro / Hammer 0.5G 100%shishki! LIMITED
5,5,14-07-2020 03:03:46,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,True,1,нет,Тбилиси,0.5 гр,0.0042,2803,1080,96,,,,35.0,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
6,6,14-07-2020 03:03:46,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,7,нет,Тбилиси,1 гр,0.0063,4245,1635,145,60.0,,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,7,14-07-2020 03:03:46,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0063,4245,1635,145,60.0,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,8,14-07-2020 03:03:46,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,1,нет,Тбилиси,1 гр,0.0057,3891,1499,133,55.0,,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
9,9,14-07-2020 03:03:46,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,6,нет,Тбилиси,1 гр,0.0062,4174,1608,143,59.0,,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
10,10,14-07-2020 03:03:46,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,4,нет,Тбилиси,1 гр,0.0063,4245,1635,145,60.0,,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
11,11,14-07-2020 03:03:46,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.0062,4174,1608,143,59.0,,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
12,12,14-07-2020 03:03:46,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),True,11,нет,Тбилиси,1 гр,0.0057,3891,1499,133,55.0,,,,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
