,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
18,18,14-05-2020 16:29:08,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,10 гр,0.0202,5353,487,14712,,199.0,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
19,19,14-05-2020 16:29:08,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0389,10760,979,29572,,400.0,,,,,,,,gashish evro 10g
20,20,14-05-2020 16:29:08,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0755,20901,1901,57443,,777.0,,,,,,,,Gashish Evro 20gr
21,21,14-05-2020 16:29:08,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1842,53800,4893,147860,,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
22,22,14-05-2020 16:29:08,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.0104,2765,252,7591,,,,95.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
23,23,14-05-2020 16:29:08,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 0.2 грамма (предзаказ скидка 10%),True,нет,5,Тбилиси,0.2 гр,0.0088,2328,212,6392,,,,80.0,,,,,,Buprenorfin!!! Analog suboteksa!!! 0.2 gramma (predzakaz skidka 10%)
24,24,14-05-2020 16:29:08,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,9,Тбилиси,0.5 гр,0.0076,2018,183,5545,,75.0,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
25,25,14-05-2020 16:29:08,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0162,4304,391,11829,,160.0,,,,,,,,"""Kief"" Weed trichomes 1G"
26,26,14-05-2020 16:29:08,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,3,Тбилиси,2 гр,0.0378,9926,903,27280,,369.0,,,,,,,,❄❄2g HQ COCAINE❄❄
27,27,14-05-2020 16:29:08,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0592,15575,1416,42805,,579.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
28,28,14-05-2020 16:29:08,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0405,10760,979,29572,,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
29,29,14-05-2020 16:29:08,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0142,3766,342,10350,True,140.0,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
30,30,14-05-2020 16:29:08,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0557,14795,1345,40661,,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
31,31,14-05-2020 16:29:08,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0238,6322,575,17374,,235.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
32,32,14-05-2020 16:29:08,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0243,6456,587,17743,,240.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
33,33,14-05-2020 16:29:08,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0233,6187,563,17004,,230.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
34,34,14-05-2020 16:30:07,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0161,4277,389,11755,,159.0,,,,,,,,5 gr Shishki “OG KUSH VHQ”
35,35,14-05-2020 16:30:07,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0244,6456,587,17743,,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
36,36,14-05-2020 16:30:07,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0244,6456,587,17743,,240.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
37,37,14-05-2020 16:30:07,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0234,6187,563,17004,,230.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
38,38,14-05-2020 16:30:07,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0202,5891,536,16191,,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
39,39,14-05-2020 16:30:07,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0239,6322,575,17374,,235.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
40,40,14-05-2020 16:30:07,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0162,4304,391,11829,,160.0,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
41,41,14-05-2020 16:30:07,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2372,87429,6318,190000,,,,,,,,,,reagent 25i nbome. 5gr
42,42,14-05-2020 16:30:07,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2769,80700,7339,221789,,3000.0,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
43,43,14-05-2020 16:30:07,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.0983,25797,2346,70899,,959.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
44,44,14-05-2020 16:30:07,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,4,Тбилиси,5 гр,0.0195,5111,465,14047,,190.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
45,45,14-05-2020 16:30:07,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0501,13154,1196,36152,,489.0,,,,,,,,💘✨5g. MDMA ✨💘
46,46,14-05-2020 16:30:07,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0194,5084,462,13973,,189.0,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
47,47,14-05-2020 16:30:07,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0914,24210,2202,66537,,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
48,48,14-05-2020 16:30:07,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0406,10760,979,29572,,400.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
49,49,14-05-2020 16:30:07,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0711,18830,1712,51751,,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
50,50,14-05-2020 16:30:07,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0426,11298,1027,31051,,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
51,51,14-05-2020 16:30:07,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0102,2690,245,7393,,100.0,,,,,,,,10G Hybrid Marijuana Leafs
52,52,14-05-2020 16:30:07,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0812,21520,1957,59144,,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
53,53,14-05-2020 16:30:07,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0294,7801,709,21440,,290.0,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
54,54,14-05-2020 16:30:07,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2259,59853,5443,164494,,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
55,55,14-05-2020 16:30:07,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1599,41937,3814,115257,,1559.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
56,56,14-05-2020 16:30:07,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0378,9926,903,27280,,369.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
57,57,14-05-2020 16:30:07,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5127,134500,12232,369649,,5000.0,,,,,,,,METADON - 20 G.
58,58,14-05-2020 16:30:07,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0614,16113,1465,44284,,599.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
59,59,14-05-2020 16:30:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1117,29590,2691,81323,,1100.0,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
60,60,14-05-2020 16:30:07,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2437,64560,5871,177432,,2400.0,,,,,,,,100 gr marijuana buds
61,61,14-05-2020 16:30:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.203,53800,4893,147860,,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
62,62,14-05-2020 16:30:07,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2538,67250,6116,184825,,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
63,63,14-05-2020 16:30:07,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.599,158710,14433,436186,,5900.0,,,,,,,,180 gr marihuana persoalno
64,64,14-05-2020 16:30:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.467,123740,11253,340077,,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
65,65,14-05-2020 16:30:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7614,201750,18347,554474,,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
66,66,14-05-2020 16:30:07,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8629,228650,20794,628403,,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
67,67,14-05-2020 16:30:07,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0185,5380,489,14786,,200.0,,,,,,,,KURYER..500RUB.+BONUS
68,68,14-05-2020 16:30:07,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0203,5380,489,14786,,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
69,69,14-05-2020 16:30:59,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0252,6725,612,18482,,250.0,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
70,70,14-05-2020 16:30:59,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5281,403500,36695,1108947,,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
