,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Vake,Old Tbilisi (Старый город),Vazisubani,€,Авлобари,Батуми,Центр,desc_en
0,0,21-06-2020 06:25:52,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.0092,6262,2421,214,90.0,,,,,,,,,,,NEW Iranian Sirec 0.25g.
1,1,21-06-2020 06:25:52,Tbilisi,7c395c455d,0.5 gr marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,0.5 гр,0.0034,2296,888,78,33.0,True,,,,,,,,,,0.5 gr marijuana BUDS northen lights 24% THC ShIShKI!!!
2,2,21-06-2020 06:25:52,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,2,нет,Тбилиси,0.5 гр,0.0034,2296,888,78,33.0,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
3,3,21-06-2020 06:25:52,Tbilisi,16a8841259,Ak47 0.5г,True,15,нет,Тбилиси,0.5 гр,0.0032,2157,834,74,31.0,,,,,,,,,,,Ak47 0.5g
4,4,21-06-2020 06:25:52,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0163,11132,4304,380,160.0,,True,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
5,5,21-06-2020 06:25:52,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,32,нет,Тбилиси,0.5 гр,0.0031,2087,807,71,30.0,True,True,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
6,6,21-06-2020 06:25:52,Tbilisi,8e86176694,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",True,12,нет,Тбилиси,0.5 гр,0.0029,2087,807,71,30.0,,,,,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
7,7,21-06-2020 06:25:52,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,True,3,нет,Тбилиси,0.5 гр,0.0134,9044,3497,309,130.0,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
8,8,21-06-2020 06:25:52,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.0061,4174,1614,143,60.0,,,True,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
9,9,21-06-2020 06:25:52,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,5,нет,Тбилиси,1 гр,0.0061,4174,1614,143,60.0,True,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
