,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
10,27-05-2020 05:54:49,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,,3,нет,Тбилиси,2 гр,0.0096,6260,2386,211,88,,,True,,,,,,,,2gr HYBRID buds
11,27-05-2020 05:54:49,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.052,34148,13013,1153,480,,,,,,,,,,,VHQ BEST Cocaine 2g.
12,27-05-2020 05:54:49,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0116,7470,2847,252,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
13,27-05-2020 05:54:49,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,True,6,нет,Тбилиси,4 гр,0.0117,7612,2901,257,107,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
14,27-05-2020 05:54:49,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,8,нет,Тбилиси,5 гр,0.0152,9889,3768,334,139,True,,,True,,,,,,,5 gr georgian weed. Package on magnet
15,27-05-2020 05:54:49,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0194,12450,4744,420,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
16,27-05-2020 05:54:49,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,8,нет,Тбилиси,10 гр,0.024,15580,5937,526,219,True,,,True,,,,,,,10 gr georgian weed. Package on magnet
17,27-05-2020 05:54:49,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 10гр,,1,нет,Тбилиси,10 гр,0.012,7825,2982,264,110,True,,,,,,,,,,Silver haze leaves list'ja 10gr
18,27-05-2020 05:54:49,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0478,32013,12200,1081,450,,,,,,,,,,,Gashish Evro 10gr
19,27-05-2020 05:54:49,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0817,55276,21064,1866,777,,,,,,,,,,,Gashish Evro 20gr
20,27-05-2020 05:54:49,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.008,5691,2169,192,80,,,,,,,,,,,GABAGAMA 50 SHTUK
21,27-05-2020 05:54:49,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1992,142282,54220,4804,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
22,27-05-2020 05:54:49,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0184,13161,5015,444,185,,,,,,,,,,,GABAGAMA 150 shtuk
23,27-05-2020 05:54:49,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.0232,14940,5693,504,210,,,,,,,,,,,✨✨2gram. MDMA✨✨
24,27-05-2020 05:54:49,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0408,26251,10004,886,369,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
25,27-05-2020 05:54:49,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0641,41191,15697,1391,579,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
26,27-05-2020 05:54:49,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0438,28456,10844,961,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
27,27-05-2020 05:54:49,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0153,9960,3795,336,140,True,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
28,27-05-2020 05:54:49,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0602,39127,14911,1321,550,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
29,27-05-2020 05:54:49,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0602,39127,14911,1321,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
