,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Vake,Дигоми,€,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,10-02-2020 16:18:12,Tbilisi,61df6a1c90,Метадон 0.15гр,True,6,нет,Тбилиси,0.15 гр,0.0118,8290,3211,283,130.0,,,,,,,,,,,,Metadon 0.15gr
1,1,10-02-2020 16:18:12,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0164,11479,4446,392,180.0,,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,10-02-2020 16:18:12,Tbilisi,32e645c201,"methadone 0,29 gr",,7,нет,Тбилиси,0.29 гр,0.021,13392,5187,457,210.0,True,,,,,,,,,,,"methadone 0,29 gr"
3,3,10-02-2020 16:18:12,Tbilisi,da96c34455,ALFA PVP in City 0.3g,True,1,нет,Тбилиси,0.3 гр,0.006,3826,1482,131,60.0,,,,,,,,,,,,ALFA PVP in City 0.3g
4,4,10-02-2020 16:18:12,Tbilisi,61df6a1c90,Метадон 0.30гр,True,5,нет,Тбилиси,0.3 гр,0.0163,12116,4693,413,190.0,,,,,,,,,,,,Metadon 0.30gr
5,5,10-02-2020 16:18:12,Tbilisi,21de5577be,0.5 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,1,нет,Тбилиси,0.5 гр,0.0029,1849,716,63,29.0,,True,,,,,,,,,,0.5 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
6,6,10-02-2020 16:18:12,Tbilisi,21de5577be,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,11,нет,Тбилиси,0.5 гр,0.0029,1849,716,63,29.0,,,True,True,,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
7,7,10-02-2020 16:18:12,Tbilisi,da96c34455,ALFA PVP in City 0.5g,True,4,нет,Тбилиси,0.5 гр,0.008,5102,1976,174,80.0,,,,,,,,,,,,ALFA PVP in City 0.5g
8,8,10-02-2020 16:18:12,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,1,нет,Тбилиси,0.5 гр,0.0111,7015,2717,239,110.0,,,,,,,,,,,,"Cocaine, 0.5 g"
9,9,10-02-2020 16:18:12,Tbilisi,013e75d78f,"H i B R i D 0.5г. Три вадном ----> amnezia , tutanhamon, jackherer )",True,1,нет,Тбилиси,0.5 гр,0.0049,3125,1210,107,49.0,,,,,,,,,,,,"H i B R i D 0.5g. Tri vadnom ----> amnezia , tutanhamon, jackherer )"
10,10,10-02-2020 16:18:12,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0061,3826,1482,131,60.0,,,,,,,,,,,,Ketamine 0.5g
11,11,10-02-2020 16:18:12,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0273,19131,7410,653,300.0,,,,,,,,,,,,Metadon VHQ 0.5 24/7
12,12,10-02-2020 16:18:12,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,6,нет,Тбилиси,0.8 гр,0.012,7653,2964,261,120.0,,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
13,13,10-02-2020 16:18:12,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,37,нет,Тбилиси,1 гр,0.0041,2870,1112,98,45.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
14,14,10-02-2020 16:18:12,Tbilisi,7ee4f68218,1 g Ketamine / 1 гр Кетамин (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0072,4783,1853,163,75.0,,,,,,,,,,,,1 g Ketamine / 1 gr Ketamin (skidka v bitkoin)
15,15,10-02-2020 16:18:12,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS saburtalo!! btc sale 1%",True,5,нет,Тбилиси,1 гр,0.005,3189,1235,109,50.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS saburtalo!! btc sale 1%"
16,16,10-02-2020 16:18:12,Tbilisi,21de5577be,1 gr. Blue Berry Kush 100% Natural/Indika/ Import,,21,нет,Тбилиси,1 гр,0.0045,2870,1112,98,45.0,,,True,,,,,,,,,1 gr. Blue Berry Kush 100% Natural/Indika/ Import
17,17,10-02-2020 16:18:12,Tbilisi,3e177bb968,1gr Pineapple chunk VHQ Buds Imported quality,True,1,нет,Тбилиси,1 гр,0.0048,3061,1186,104,48.0,,,,,,,,,,,,1gr Pineapple chunk VHQ Buds Imported quality
18,18,10-02-2020 16:18:12,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,1 гр,0.0089,5935,2299,203,,,,,,85.0,,,,,,,1gr mdma (skidka v bitkoin 5%)
19,19,10-02-2020 16:18:12,Tbilisi,ae784bef73,Afghan HQ buds ! NEW ! 1G,True,2,нет,Тбилиси,1 гр,0.0045,2870,1112,98,45.0,,,,,,,,,,,,Afghan HQ buds ! NEW ! 1G
20,20,10-02-2020 16:18:12,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,7,нет,Тбилиси,1 гр,0.012,7653,2964,261,120.0,,,,,,,,,,,,Apvp VHQ 1g 24/7
21,21,10-02-2020 16:18:12,Tbilisi,61bec147f3,Blue Dream premium quality THC over 20% 1 gr,True,4,нет,Тбилиси,1 гр,0.003,2104,815,72,33.0,,,,,,,,,,,,Blue Dream premium quality THC over 20% 1 gr
22,22,10-02-2020 16:18:12,Tbilisi,8219f5e7b8,Ketamine 1g,True,7,нет,Тбилиси,1 гр,0.0101,6377,2470,218,100.0,,,,,,,,,,,,Ketamine 1g
23,23,10-02-2020 16:18:12,Tbilisi,366326d4d6,Ketamine 1g.,True,8,нет,Тбилиси,1 гр,0.009000000000000001,5676,2198,194,89.0,,,,,,,,,,,,Ketamine 1g.
24,24,10-02-2020 16:18:12,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,5,нет,Тбилиси,1 гр,0.004,2551,988,87,40.0,,,,,,,,,,,,"LSD - 250 ug, 1piece"
25,25,10-02-2020 16:18:12,Tbilisi,436325081c,Megrelian strong weed VIPsort!!! 1gr. sale sale sale !!!,True,1,нет,Тбилиси,1 гр,0.0026,1849,716,63,29.0,,,,,,,,,,,,Megrelian strong weed VIPsort!!! 1gr. sale sale sale !!!
