,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Тбилиси,Varketili,Nadzaladevi,Gldani,Old Tbilisi (Старый город),Tbilisis Zgva,Vazisubani,Дигоми,Авлобари,€,Zahesi,Батуми,Центр,Кутаиси,desc_en
0,25-04-2020 00:22:50,Tbilisi,U26MW,Skyhigh,INDICA MARIJUANA BUDS HIGH QUALITY PRESSED 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0034,1943,711,64,26,,,,,,,,,,,,,,,,,INDICA MARIJUANA BUDS HIGH QUALITY PRESSED 0.5G
1,25-04-2020 00:22:50,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,2,нет,Тбилиси,0.5 гр,0.0143,8144,2981,269,109,True,,,,,,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
2,25-04-2020 00:22:50,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,1 гр,0.0052,2989,1094,99,40,,True,,,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
3,25-04-2020 00:22:50,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1064,67245,24615,2222,900,,,True,,,,,,,,,,,,,,Metadon 1gr
4,25-04-2020 00:22:50,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,4,нет,Тбилиси,2 гр,0.0118,7472,2735,247,100,,,True,,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
5,25-04-2020 00:22:50,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,,2,нет,Тбилиси,2 гр,0.0104,5903,2161,195,79,,,True,,,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
6,25-04-2020 00:22:50,Tbilisi,A3I9,Joookerrr,Марки Н-ВоооооМ!!!! 2 штуки,,1,нет,Тбилиси,2 гр,0.0047,2690,985,89,36,,,,True,,,,,,,,,,,,,Marki N-VoooooM!!!! 2 shtuki
7,25-04-2020 00:22:50,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0111,6351,2325,210,85,,True,,,,,,,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
8,25-04-2020 00:22:50,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA. Авламбари,,2,нет,Тбилиси,3 гр,0.0138,7845,2872,259,105,,,True,,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
9,25-04-2020 00:22:50,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,,2,нет,Тбилиси,3 гр,0.0156,8891,3255,294,119,,,True,,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
10,25-04-2020 00:22:50,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,2,нет,Тбилиси,3 гр,0.0156,8891,3255,294,119,,,True,,,,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
11,25-04-2020 00:22:50,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (300 арагвели),,1,нет,Тбилиси,4 гр,0.0072,4109,1504,136,55,,,True,,,,,,,,,,,,,,N booom 4 shtuki (300 aragveli)
12,25-04-2020 00:22:50,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,1,нет,Тбилиси,5 гр,0.0399,23909,8752,790,320,,,True,,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
13,25-04-2020 00:22:50,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,3,нет,Тбилиси,5 гр,0.0386,22415,8205,741,300,,,True,,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
14,25-04-2020 00:22:50,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA. Технический универ,,1,нет,Тбилиси,5 гр,0.023,13075,4786,432,175,,,True,,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
15,25-04-2020 00:22:50,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,,1,нет,Тбилиси,5 гр,0.145,85924,31453,2839,1150,,,True,,,,,,,,,,,,,,VHQ BEST Cocaine 5g.
16,25-04-2020 00:22:50,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,,9,нет,Тбилиси,10 гр,0.0272,15616,5716,516,209,,,,,True,,,,,,,,,,,,10 gr marijuana buds. -indica-
17,25-04-2020 00:22:50,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 10g TOP VHQ,,2,нет,Тбилиси,10 гр,0.039,22415,8205,741,300,,,True,,,,,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
18,25-04-2020 00:22:50,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0499,29887,10940,987,400,,,True,,,,,,,,,,,,,,gashish evro 10g
19,25-04-2020 00:22:50,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,2,1,Тбилиси,20 гр,0.0527,30260,11077,1000,405,,,True,,True,,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
20,25-04-2020 00:22:50,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.097,58055,21251,1918,777,,,True,,,,,,,,,,,,,,Gashish Evro 20gr
21,25-04-2020 00:22:50,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2364,149433,54700,4937,2000,,,True,,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
22,25-04-2020 00:22:50,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,9,Тбилиси,2 гр,0.0485,27570,10092,911,369,,,True,,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
23,25-04-2020 00:22:50,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,10,Тбилиси,3 гр,0.0775,44083,16137,1457,590,,,True,,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
24,25-04-2020 00:22:50,Tbilisi,A3I9,Joookerrr,"""JoKer Express"" - Марки н боом 4 штуки!",True,нет,37,Тбилиси,4 гр,0.0074,4253,1564,141,,True,True,True,True,True,True,True,True,True,True,True,53,,,,,"""JoKer Express"" - Marki n boom 4 shtuki!"
25,25-04-2020 00:22:50,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.052,29887,10940,987,400,,,True,,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
