,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Saburtalo,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,Кутаиси,desc_en
0,0,25-04-2020 10:06:56,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1068,67245,24615,2217,900.0,,,,,,,,,,Metadon 1gr
1,1,25-04-2020 10:06:56,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,2 гр,0.0119,7472,2735,246,100.0,,,,,,,,,,2 G Hybrid Marijuana Buds
2,2,25-04-2020 10:06:56,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,2 гр,0.0104,5903,2161,195,79.0,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
3,3,25-04-2020 10:06:56,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0111,6351,2325,209,85.0,True,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
4,4,25-04-2020 10:06:56,Tbilisi,aeb8abccb9,✿✿ 2gr Hybrid Weeeed Indica Buds HQ ❤ ВСЕМ -30% !!!!!!!!!!!!!❤,,1,нет,Тбилиси,2 гр,0.0154,9713,3556,320,130.0,,True,,,,,,,,✿✿ 2gr Hybrid Weeeed Indica Buds HQ ❤ VSEM -30% !!!!!!!!!!!!!❤
5,5,25-04-2020 10:06:56,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA. Авламбари,True,2,нет,Тбилиси,3 гр,0.0138,7845,2872,259,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
6,6,25-04-2020 10:06:56,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,2,нет,Тбилиси,3 гр,0.0157,8891,3255,293,119.0,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
7,7,25-04-2020 10:06:56,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.0157,8891,3255,293,119.0,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
8,8,25-04-2020 10:06:56,Tbilisi,54915c4374,Н бооом 4 штуки (300 арагвели),True,1,нет,Тбилиси,4 гр,0.0072,4109,1504,135,55.0,,,,,,,,,,N booom 4 shtuki (300 aragveli)
9,9,25-04-2020 10:06:56,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0401,23909,8752,788,320.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
10,10,25-04-2020 10:06:56,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0388,22415,8205,739,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
11,11,25-04-2020 10:06:56,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA. Технический универ,True,1,нет,Тбилиси,5 гр,0.0231,13075,4786,431,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
12,12,25-04-2020 10:06:56,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1455,85924,31453,2832,1150.0,,,,,,,,,,VHQ BEST Cocaine 5g.
13,13,25-04-2020 10:06:56,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,9,нет,Тбилиси,10 гр,0.0273,15616,5716,515,209.0,,,True,,,,,,,10 gr marijuana buds. -indica-
14,14,25-04-2020 10:06:56,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,True,2,нет,Тбилиси,10 гр,0.0391,22415,8205,739,300.0,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
15,15,25-04-2020 10:06:56,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0501,29887,10940,985,400.0,,,,,,,,,,gashish evro 10g
16,16,25-04-2020 10:06:56,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,2,1,Тбилиси,20 гр,0.0528,30260,11077,998,405.0,,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
17,17,25-04-2020 10:06:56,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0973,58055,21251,1914,777.0,,,,,,,,,,Gashish Evro 20gr
18,18,25-04-2020 10:06:56,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2373,149433,54700,4926,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
19,19,25-04-2020 10:06:56,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,9,Тбилиси,2 гр,0.0486,27570,10092,909,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
20,20,25-04-2020 10:06:56,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0778,44083,16137,1453,590.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
21,21,25-04-2020 10:06:56,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0522,29887,10940,985,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
22,22,25-04-2020 10:06:56,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0718,41094,15043,1355,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
23,23,25-04-2020 10:06:56,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0222,12702,4650,419,170.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
24,24,25-04-2020 10:06:56,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.026000000000000002,14869,5443,490,199.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
25,25,25-04-2020 10:06:56,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.026000000000000002,14869,5443,490,199.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
26,26,25-04-2020 10:06:56,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.026000000000000002,16363,5990,539,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
27,27,25-04-2020 10:06:56,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.026000000000000002,14869,5443,490,199.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
28,28,25-04-2020 10:06:56,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3017,190000,87429,6265,,,,,,,,,,,reagent 25i nbome. 5gr
29,29,25-04-2020 10:06:56,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3559,224149,82050,7389,3000.0,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
30,30,25-04-2020 10:06:56,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1145,64928,23767,2140,869.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
31,31,25-04-2020 10:06:56,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0249,14121,5169,466,189.0,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
32,32,25-04-2020 10:06:56,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.025,14196,5197,468,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
33,33,25-04-2020 10:06:56,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0644,36536,13374,1204,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
34,34,25-04-2020 10:07:47,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0249,14121,5169,466,189.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
35,35,25-04-2020 10:07:47,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,5,Тбилиси,10 гр,0.0168,9630,3540,318,,,,,,,120.0,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
36,36,25-04-2020 10:07:47,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1175,67245,24615,2217,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
37,37,25-04-2020 10:07:47,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0914,52301,19145,1724,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
38,38,25-04-2020 10:07:47,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0418,23909,8752,788,320.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
39,39,25-04-2020 10:07:47,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1044,59773,21880,1970,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
40,40,25-04-2020 10:07:47,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2904,166244,60854,5480,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
41,41,25-04-2020 10:07:47,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.191,108264,39630,3569,1449.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
42,42,25-04-2020 10:07:47,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0486,27570,10092,909,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
43,43,25-04-2020 10:07:47,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0394,22340,8178,736,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
44,44,25-04-2020 10:07:47,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.079,44755,16383,1475,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
45,45,25-04-2020 10:07:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1436,82188,30085,2709,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
46,46,25-04-2020 10:07:47,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3133,179319,65640,5911,2400.0,,,,,,,,,,100 gr marijuana buds
47,47,25-04-2020 10:07:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.261,149433,54700,4926,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
48,48,25-04-2020 10:07:47,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3263,186791,68375,6158,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
49,49,25-04-2020 10:07:47,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7701,440826,161365,14532,5900.0,,,,,,,,,,180 gr marihuana persoalno
50,50,25-04-2020 10:07:47,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4111,235356,86153,7758,3150.0,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
51,51,25-04-2020 10:07:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6004,343695,125810,11330,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
52,52,25-04-2020 10:07:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9789,560372,205125,18473,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
53,53,25-04-2020 10:07:47,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1094,635089,232475,20936,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
54,54,25-04-2020 10:07:47,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0237,14943,5470,493,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
55,55,25-04-2020 10:07:47,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0261,14943,5470,493,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
56,56,25-04-2020 10:07:47,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0326,18679,6838,616,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
57,57,25-04-2020 10:07:47,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0261,14943,5470,493,200.0,,,,,,,,,,Rabota na marki (kur'er)
58,58,25-04-2020 10:07:47,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.9756,1120745,410250,36945,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
59,59,25-04-2020 10:09:05,Batumi,54915c4374,Батуми н-бооом 1 штука,,1,нет,Батуми,1 гр,0.0023,1445,531,48,,,,,,,18.0,True,,,Batumi n-booom 1 shtuka
60,60,25-04-2020 10:09:05,Batumi,54915c4374,Батуми н-бооом 2 штуки,,3,нет,Батуми,2 гр,0.0045,2568,944,85,,,,,,,32.0,True,,,Batumi n-booom 2 shtuki
61,61,25-04-2020 10:09:05,Batumi,54915c4374,Батуми н-бооом 4 штуки,,2,нет,Батуми,4 гр,0.006999999999999999,4414,1623,146,,,,,,,55.0,True,True,,Batumi n-booom 4 shtuki
62,62,25-04-2020 10:09:05,Batumi,012f23b5ea,Power Africa 5g,,1,нет,Батуми,5 гр,0.0178,11207,4103,369,150.0,,,,,,,True,,,Power Africa 5g
63,63,25-04-2020 10:09:05,Batumi,54915c4374,Батуми н-бооом 5 штук,,2,нет,Батуми,5 гр,0.0076,4815,1770,159,,,,,,,60.0,True,,,Batumi n-booom 5 shtuk
64,64,25-04-2020 10:09:05,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2867,164376,60170,5419,2200.0,,,,,,,True,,,[100g] SPAIN HASH
65,65,25-04-2020 10:09:05,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0118,7472,2735,246,100.0,,,,,,,True,,,kur'er v Batumi
66,66,25-04-2020 10:09:05,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0296,18679,6838,616,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
67,67,25-04-2020 10:09:05,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0296,18679,6838,616,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
68,68,25-04-2020 10:09:05,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9726,1120745,410250,36945,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
69,69,25-04-2020 10:09:05,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0652,37358,13675,1232,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
70,70,25-04-2020 10:10:25,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0244,14121,5169,466,189.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
71,71,25-04-2020 10:10:25,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0579,33174,12143,1094,444.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
