,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Varketili,Saburtalo,Nadzaladevi,Didube,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
21,21,12-07-2020 03:23:38,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,2 гр,0.0104,7052,2698,241,,,99.0,,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
22,22,12-07-2020 03:23:38,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,1,нет,Тбилиси,2 гр,0.0115,7764,2970,265,,,109.0,,True,,,,,,,,,2 G Hybrid Marijuana Buds
23,23,12-07-2020 03:23:38,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,120.0,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
24,24,12-07-2020 03:23:38,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,2,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,120.0,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
25,25,12-07-2020 03:23:38,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,120.0,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
26,26,12-07-2020 03:23:38,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,3,нет,Тбилиси,2 гр,0.0105,7123,2725,243,,True,100.0,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
27,27,12-07-2020 03:23:38,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,,2,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,120.0,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
28,28,12-07-2020 03:23:38,Tbilisi,0dec0e1c48,2gr HYBRID buds,,6,нет,Тбилиси,2 гр,0.0093,6268,2398,214,,True,88.0,,,,,,,,,,,2gr HYBRID buds
29,29,12-07-2020 03:23:38,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",,2,нет,Тбилиси,2 гр,0.0105,7835,2998,267,,True,110.0,,,,,True,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
30,30,12-07-2020 03:23:38,Tbilisi,8528108b62,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0143,10684,4088,365,,True,150.0,,,,,,,,,,,3g. marihuana shishki Critical
31,31,12-07-2020 03:23:38,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,5,нет,Тбилиси,3 гр,0.0058,3918,1499,134,,True,55.0,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
32,32,12-07-2020 03:23:38,Tbilisi,f374062dcd,Сирец Иран 3гр,,2,нет,Тбилиси,3 гр,0.0583,43450,16623,1482,,True,610.0,,,,,,,,,,,Sirets Iran 3gr
33,33,12-07-2020 03:23:38,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,5 гр,0.0273,18520,7085,632,,True,260.0,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
34,34,12-07-2020 03:23:38,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,5 гр,0.0284,19232,7358,656,,True,270.0,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
35,35,12-07-2020 03:24:16,Tbilisi,8528108b62,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0229,17095,6540,583,,True,240.0,,,,,,,,,,,5g. marihuana shishki Critical
36,36,12-07-2020 03:24:16,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.0229,17095,6540,583,,,240.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
