,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,23-03-2020 10:06:38,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,1,нет,Тбилиси,0.25 гр,0.0282,14828,5339,486,190.0,,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,1,23-03-2020 10:06:38,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,,1,нет,Тбилиси,0.25 гр,0.0135,7024,2529,230,90.0,True,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,2,23-03-2020 10:06:38,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",,7,нет,Тбилиси,0.25 гр,0.0285,14828,5339,486,190.0,True,,,,,,,,,,,"Metadon VHQ 0,25"
3,3,23-03-2020 10:06:38,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0142,7726,2782,253,99.0,True,,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,23-03-2020 10:06:38,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,,2,нет,Тбилиси,0.5 гр,0.0097,5073,1827,166,65.0,True,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
5,5,23-03-2020 10:06:38,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,,2,нет,Тбилиси,0.5 гр,0.06,31218,11240,1024,400.0,True,,,,,,,,,,,Metadon VHQ 0.5 24/7
6,6,23-03-2020 10:06:38,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,,3,нет,Тбилиси,0.5 гр,0.0173,9365,3372,307,120.0,True,,,,,,,,,,,Pure COCAINE VHQ 0.5g
7,7,23-03-2020 10:06:38,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.006,3434,1236,113,44.0,True,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
8,8,23-03-2020 10:06:38,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,8,нет,Тбилиси,1 гр,0.0067,3512,1265,115,45.0,True,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
9,9,23-03-2020 10:06:38,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,9,нет,Тбилиси,1 гр,0.0066,3434,1236,113,44.0,True,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
10,10,23-03-2020 10:06:38,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,,1,нет,Тбилиси,1 гр,0.0067,3512,1265,115,45.0,True,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
11,11,23-03-2020 10:06:38,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,5,нет,Тбилиси,1 гр,0.0075,3902,1405,128,50.0,True,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
12,12,23-03-2020 10:06:38,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,,8,нет,Тбилиси,1 гр,0.0069,3590,1293,118,46.0,True,,,,,,,,,,,Amsterdam weed sativa 1gr
13,13,23-03-2020 10:06:38,Tbilisi,edfbad0151,Blue Cheese Auto 1G pressed buds(Hydro),,2,нет,Тбилиси,1 гр,0.0066,3512,1265,115,45.0,True,,,,,,,,,,,Blue Cheese Auto 1G pressed buds(Hydro)
14,14,23-03-2020 10:06:38,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,5,нет,Тбилиси,1 гр,0.0272,14750,5311,484,189.0,True,,,,,,,,,,,Cocaine Pure VHQ 1g
15,15,23-03-2020 10:06:38,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,,5,нет,Тбилиси,1 гр,0.0295,15999,5761,525,205.0,True,,,,,,,,,,,VHQ BEST Cocaine 1g.
16,16,23-03-2020 10:06:38,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 1 штука!!!,,4,нет,Тбилиси,1 гр,0.0031,1795,646,59,23.0,True,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 1 shtuka!!!
