,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Nadzaladevi,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,08-04-2020 06:31:26,Tbilisi,54915c4374,MDMA 0.4 грам.,True,3,нет,Тбилиси,0.4 гр,0.0079,4905,1771,166,65.0,,,,,,,,,,MDMA 0.4 gram.
1,1,08-04-2020 06:31:26,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,True,7,нет,Тбилиси,0.5 гр,0.0101,5659,2044,191,75.0,,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
2,2,08-04-2020 06:31:26,Tbilisi,99accec7c7,MEPHEDRONE 0.5 gr,True,2,нет,Тбилиси,0.5 гр,0.0074,4150,1499,140,55.0,,,,,,,,,,MEPHEDRONE 0.5 gr
3,3,08-04-2020 06:31:26,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0155,9055,3270,306,120.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
4,4,08-04-2020 06:31:26,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.6 грамм",True,1,нет,Тбилиси,0.6 гр,0.011000000000000001,6791,2453,230,90.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.6 gramm"
5,5,08-04-2020 06:31:26,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,6,нет,Тбилиси,1 гр,0.0059,3320,1199,112,44.0,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,6,08-04-2020 06:31:26,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,14,нет,Тбилиси,1 гр,0.0073,4527,1635,153,60.0,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
7,7,08-04-2020 06:31:26,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,2,нет,Тбилиси,1 гр,0.0052,2943,1063,100,39.0,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
8,8,08-04-2020 06:31:26,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0807,45273,16350,1531,600.0,True,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
9,9,08-04-2020 06:31:26,Tbilisi,28bf667d16,MDMA Champagne - DutchMasters 1g,True,1,нет,Тбилиси,1 гр,0.0148,8300,2998,281,110.0,,,,,,,,,,MDMA Champagne - DutchMasters 1g
10,10,08-04-2020 06:31:26,Tbilisi,99accec7c7,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,,3,нет,Тбилиси,1 гр,0.0941,52819,19075,1786,700.0,True,,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
11,11,08-04-2020 06:31:26,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0265,15468,5586,523,205.0,,,,,,,,,,VHQ BEST Cocaine 1g.
12,12,08-04-2020 06:31:26,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.11,67910,24525,2297,900.0,,,,,,,,,,Metadon 1gr
13,13,08-04-2020 06:31:26,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,10,нет,Тбилиси,1 гр,0.0024,1509,545,51,20.0,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
14,14,08-04-2020 06:31:26,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 1.1г Скидка 5% через БИТКОИН,,4,нет,Тбилиси,1.1 гр,0.0065,3773,1363,128,50.0,,True,,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 5% cherez BITKOIN
15,15,08-04-2020 06:31:26,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,2 гр,0.0101,5659,2044,191,75.0,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
16,16,08-04-2020 06:31:26,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,True,2,нет,Тбилиси,2 гр,0.0063,3546,1281,120,47.0,,,,,,,,,,2gr Indica dominant Buds
17,17,08-04-2020 06:31:26,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,2 гр,0.0095,5282,1908,179,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
18,18,08-04-2020 06:31:26,Tbilisi,ae784bef73,New ! Big Buds ! 2G,True,2,нет,Тбилиси,2 гр,0.0078,4829,1744,163,64.0,,,,,,,,,,New ! Big Buds ! 2G
19,19,08-04-2020 06:31:26,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,2 гр,0.0043,2641,954,89,35.0,True,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
20,20,08-04-2020 06:31:26,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍2 LSD 200ug.🌈️‍🌈️‍🤩,True,2,нет,Тбилиси,2 гр,0.0121,6716,2425,227,89.0,,,,,,,,,,️‍🤩🌈️‍🌈️‍2 LSD 200ug.🌈️‍🌈️‍🤩
21,21,08-04-2020 06:31:26,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0413,24146,8720,817,320.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
22,22,08-04-2020 06:31:26,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0399,22637,8175,766,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
23,23,08-04-2020 06:31:26,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,5 гр,0.0222,12450,4496,421,165.0,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
24,24,08-04-2020 06:31:26,Tbilisi,64284550d9,5G ---> ONLY BUDS,,2,нет,Тбилиси,5 гр,0.0128,7168,2589,242,95.0,True,,,,,,,,,5G ---> ONLY BUDS
25,25,08-04-2020 06:31:26,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),True,1,нет,Тбилиси,5 гр,0.0516,30182,10900,1021,400.0,,,,,,,,,,5g MDMA (IMPORTED)
