,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Nadzaladevi,Old Tbilisi (Старый город),€,Дигоми,Didube,Vake,Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
10,10,15-07-2020 02:20:35,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,4,нет,Тбилиси,1 гр,0.0063,4268,1635,145,60.0,,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
11,11,15-07-2020 02:20:35,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,7,нет,Тбилиси,1 гр,0.0062,4197,1608,143,59.0,,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
12,12,15-07-2020 02:20:35,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),True,11,нет,Тбилиси,1 гр,0.0052,3556,1363,121,50.0,,,,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
13,13,15-07-2020 02:20:35,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,10,нет,Тбилиси,1 гр,0.0051,3485,1335,119,49.0,,,,,,,,,,,,,1gr HYBRID o.g
14,14,15-07-2020 02:20:35,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,2,нет,Тбилиси,1 гр,0.0063,4268,1635,145,60.0,,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
15,15,15-07-2020 02:20:35,Tbilisi,ebadfc162f,Gorilla Glue 1G Super strong weed LIMITED,,1,нет,Тбилиси,1 гр,0.0063,4268,1635,145,60.0,,,True,,,,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
16,16,15-07-2020 02:20:35,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,1,нет,Тбилиси,1 гр,0.0057,3912,1499,133,55.0,,,,,,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
17,17,15-07-2020 02:20:35,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,1,нет,Тбилиси,1 гр,0.0052,3912,1499,133,55.0,,,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
18,18,15-07-2020 02:20:35,Tbilisi,67187efef3,АКЦИЯ! 1g hindu kish best buds BTC 5% sale,True,3,нет,Тбилиси,1 гр,0.005,3556,1363,121,50.0,,,,,,,,,,,,,AKTsIJa! 1g hindu kish best buds BTC 5% sale
19,19,15-07-2020 02:20:35,Tbilisi,ebadfc162f,уро / Hammer 1G 100% Center Buds! центровки !! LIMITED,,1,нет,Тбилиси,1 гр,0.0073,4979,1908,169,70.0,,,True,,,,,,,,,,uro / Hammer 1G 100% Center Buds! tsentrovki !! LIMITED
20,20,15-07-2020 02:20:35,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,True,3,нет,Тбилиси,1 гр,0.0072,4837,1858,165,,,,,60.0,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
21,21,15-07-2020 02:20:35,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,5,нет,Тбилиси,2 гр,0.0103,7042,2698,240,99.0,True,,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
22,22,15-07-2020 02:20:35,Tbilisi,366326d4d6,"2 Ecstasy, ""Paco Rabano"" ! ! ! ****NEW**** ! ! ! SALE !! SALE ! ! !",True,14,нет,Тбилиси,2 гр,0.0115,7753,2970,264,109.0,,,,,,,,,,,,,"2 Ecstasy, ""Paco Rabano"" ! ! ! ****NEW**** ! ! ! SALE !! SALE ! ! !"
23,23,15-07-2020 02:20:35,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,1,нет,Тбилиси,2 гр,0.0114,7753,2970,264,109.0,True,,,,,,,,,,,,2 G Hybrid Marijuana Buds
24,24,15-07-2020 02:20:35,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",True,2,нет,Тбилиси,2 гр,0.0115,7824,2998,266,110.0,,,,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
25,25,15-07-2020 02:20:35,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,8,нет,Тбилиси,2 гр,0.0125,8535,3270,290,120.0,,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
26,26,15-07-2020 02:20:35,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0125,8535,3270,290,120.0,,,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
27,27,15-07-2020 02:20:35,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,True,3,нет,Тбилиси,2 гр,0.0115,7824,2998,266,110.0,,,,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
28,28,15-07-2020 02:20:35,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0125,8535,3270,290,120.0,,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
29,29,15-07-2020 02:20:35,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,2 гр,0.0105,7113,2725,242,100.0,,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
30,30,15-07-2020 02:20:35,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,True,2,нет,Тбилиси,2 гр,0.0105,7113,2725,242,100.0,,,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
31,31,15-07-2020 02:20:35,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,1,нет,Тбилиси,2 гр,0.0092,6259,2398,213,88.0,,,,,,,,,,,,,2gr HYBRID buds
32,32,15-07-2020 02:20:35,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,7,нет,Тбилиси,2 гр,0.0105,7824,2998,266,110.0,,,,,True,True,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
33,33,15-07-2020 02:20:35,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,3,нет,Тбилиси,2 гр,0.0125,8535,3270,290,120.0,,,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
34,34,15-07-2020 02:20:35,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 2gram (prob),True,2,нет,Тбилиси,2 гр,0.0057,4268,1635,145,60.0,,,,,,,,,,,,,Northern Lights Regular [budsonly] 2gram (prob)
35,35,15-07-2020 02:21:42,Tbilisi,e771f4c371,2.2G Peppermint Kush ( 26% ^THC^VHQ) FROM EUROPE,,1,нет,Тбилиси,2.2 гр,0.0112,7611,2916,259,107.0,True,,,,,,,,,,,,2.2G Peppermint Kush ( 26% ^THC^VHQ) FROM EUROPE
36,36,15-07-2020 02:21:42,Tbilisi,8528108b62,3g. марихуана шишки Critical,True,1,нет,Тбилиси,3 гр,0.0124,9247,3543,315,130.0,,,,,,,,,,,,,3g. marihuana shishki Critical
