,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Nadzaladevi,Old Tbilisi (Старый город),€,Дигоми,Didube,Vake,Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
94,94,15-07-2020 02:23:41,Batumi,7c2ccfb3f3,Мефедрон 3г,,нет,3,Батуми,3 гр,0.0333,24895,9538,847,350.0,,,,,,,,,,True,,,Mefedron 3g
95,95,15-07-2020 02:23:41,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 5шт.,,нет,5,Батуми,5 гр,0.0399,29874,11445,1016,420.0,,,,,,,,,,True,,,Tably Punisher 300 mg. 5sht.
96,96,15-07-2020 02:23:41,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0526,35474,13622,1207,,,,,440.0,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
97,97,15-07-2020 02:23:41,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0466,31443,12074,1070,,,,,390.0,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
98,98,15-07-2020 02:23:41,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0477,32169,12353,1095,,,,,399.0,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
99,99,15-07-2020 02:23:41,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.166,112990,51992,3843,,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
100,100,15-07-2020 02:23:41,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2629,178900,82321,6085,,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
101,101,15-07-2020 02:23:41,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7113,2725,242,100.0,,,,,,,,,,True,,,kur'er v Batumi
102,102,15-07-2020 02:23:41,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0238,17782,6813,605,250.0,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
103,103,15-07-2020 02:23:41,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0238,17782,6813,605,250.0,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
104,104,15-07-2020 02:23:41,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0209,14226,5450,484,200.0,,,,,,,,,,True,,,Kur'er Batumi na marihuanu
105,105,15-07-2020 02:23:41,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5819,1066913,408750,36291,15000.0,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
106,106,15-07-2020 02:23:41,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0523,35564,13625,1210,500.0,,,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
107,107,15-07-2020 02:25:18,Kutaisi,b7446e2cca,CUSTOM Шишки 230g 3in1,,1,нет,Кутаиси,230 гр,0.441,300158,114995,10210,4220.0,,,,,,,,,,,,True,CUSTOM Shishki 230g 3in1
