,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Батуми,Центр,desc_en
23,23-07-2020 21:52:36,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,4,нет,Тбилиси,2 гр,0.0123,8516,3378,286,,True,120,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
24,23-07-2020 21:52:36,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,1,нет,Тбилиси,2 гр,0.0103,7806,3097,262,,True,110,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
25,23-07-2020 21:52:36,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 2 г. TOP BUDS Very Strong,,2,нет,Тбилиси,2 гр,0.0102,7735,3068,260,,True,109,,,,,,,,,Hybrid Bomba 2 g. TOP BUDS Very Strong
26,23-07-2020 21:52:36,Tbilisi,JVZTQ,partyshop,3 ecstasy red maseratti VHQ екстази импорт с США,,1,нет,Тбилиси,3 гр,0.0123,8516,3378,286,,True,120,,,,,,,,,3 ecstasy red maseratti VHQ ekstazi import s SShA
27,23-07-2020 21:52:36,Tbilisi,LGRP8,Walker12,Badazz Kush 3G VHQ 25% THC,True,3,нет,Тбилиси,3 гр,0.0133,9225,3660,310,,,130,,,,,,,,,Badazz Kush 3G VHQ 25% THC
28,23-07-2020 21:52:36,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g plan,,3,нет,Тбилиси,3 гр,0.0025,1703,676,57,,,24,,True,,,,,,,Marijuana Super Skunk leaves 3g plan
29,23-07-2020 21:52:36,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm (special price),,4,нет,Тбилиси,3 гр,0.0107,8161,3237,274,,True,115,,,,,,,,,Northern Lights Regular [budsonly] 3gramm (special price)
30,23-07-2020 21:52:36,Tbilisi,9R7SU,ClownBaroN,Red Cherry 4.2G 27%THC *VHQ* Special Price .,,1,нет,Тбилиси,4.2 гр,0.0195,13483,5349,453,,True,190,,,,,,,,,Red Cherry 4.2G 27%THC *VHQ* Special Price .
31,23-07-2020 21:52:36,Tbilisi,JVZTQ,partyshop,5 ecstasy red maseratti VHQ екстази импорт с США,,3,нет,Тбилиси,5 гр,0.0411,28385,11260,954,,True,400,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
32,23-07-2020 21:52:36,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0287,19870,7882,668,,True,280,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
33,23-07-2020 21:52:36,Tbilisi,03F3,geoshop,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,5 гр,0.0277,19160,7601,644,,True,270,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
34,23-07-2020 21:52:36,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",,1,1,Тбилиси,5 гр,0.0224,17031,6756,573,,True,240,True,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
35,23-07-2020 21:52:36,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0274,18947,7516,637,,True,267,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
36,23-07-2020 21:54:13,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0274,18947,7516,637,,True,267,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
37,23-07-2020 21:54:13,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 20gramm special price,,1,нет,Тбилиси,20 гр,0.054,41159,16327,1384,,True,580,,,,,,,,,Northern Lights Regular [budsonly] 20gramm special price
38,23-07-2020 21:54:13,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2068,141926,56300,4771,,True,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
39,23-07-2020 21:54:13,Tbilisi,2I03,bananaa,CUSTOM Шишки 190g 3in1,,1,нет,Тбилиси,190 гр,0.4141,286691,113726,9637,,True,4040,,,,,,,,,CUSTOM Shishki 190g 3in1
40,23-07-2020 21:54:13,Tbilisi,HWUW,opiopi,suboxsone 0.4 g,,нет,8,Тбилиси,0.4 гр,0.0041,2839,1126,95,,True,40,,,,,,,,,suboxsone 0.4 g
41,23-07-2020 21:54:13,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0371,25479,10075,852,310,True,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
42,23-07-2020 21:54:13,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0256,17741,7038,596,,True,250,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
43,23-07-2020 21:54:13,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,2,Тбилиси,5 гр,0.0564,39030,15483,1312,,True,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
44,23-07-2020 21:54:13,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,1,6,Тбилиси,5 гр,0.0277,19160,7601,644,,True,270,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
45,23-07-2020 21:54:13,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0282,19515,7741,656,,True,275,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
46,23-07-2020 21:54:13,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,1,4,Тбилиси,5 гр,0.0246,17031,6756,573,,True,240,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
47,23-07-2020 21:54:13,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0287,19870,7882,668,,True,280,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
48,23-07-2020 21:54:13,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0277,19160,7601,644,,True,270,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
49,23-07-2020 21:54:13,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0204,15541,6165,522,,True,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
50,23-07-2020 21:54:13,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,1,7,Тбилиси,5 гр,0.0241,16676,6615,561,,True,235,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
51,23-07-2020 21:54:13,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0277,19160,7601,644,,True,270,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
52,23-07-2020 21:54:13,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2495,190000,87429,6398,,True,,,,,,,,,,reagent 25i nbome. 5gr
53,23-07-2020 21:54:13,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2795,212889,84450,7156,,,3000,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
54,23-07-2020 21:54:13,Tbilisi,9CK,Hyperboy,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬,,нет,2,Тбилиси,5 гр,0.0256,17741,7038,596,,True,250,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬
55,23-07-2020 21:54:13,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,2,Тбилиси,5 гр,0.024,16438,6500,550,200,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
56,23-07-2020 21:54:13,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0922,63867,25335,2147,,True,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
57,23-07-2020 21:54:13,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0564,39030,15483,1312,,True,550,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
58,23-07-2020 21:54:13,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0717,49674,19705,1670,,True,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
59,23-07-2020 21:54:13,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.043,29804,11823,1002,,True,420,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
60,23-07-2020 21:54:13,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.082,56770,22520,1908,,True,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
61,23-07-2020 21:54:13,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,1,8,Тбилиси,10 гр,0.043,29804,11823,1002,,True,420,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
62,23-07-2020 21:54:13,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 10gram,,1,10,Тбилиси,10 гр,0.0354,26966,10697,906,,True,380,,,,,,,,,Northern Lights Regular [budsonly] 10gram
63,23-07-2020 21:54:13,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.228,157893,62634,5308,,True,2225,,,,,,,,,Amfetamin [White] [Import] 10G
64,23-07-2020 21:54:13,Tbilisi,9CK,Hyperboy,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,,нет,1,Тбилиси,10 гр,0.042,29095,11542,978,,True,410,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
