,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Vake,Varketili,Didube,Gldani,Авлобари,Центр,Батуми,€,Кутаиси,desc_en
11,21-04-2020 07:22:02,Tbilisi,BB6E,WEEDSH0P,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,4,нет,Тбилиси,2 гр,0.0118,6347,2329,208,85,,,True,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
12,21-04-2020 07:22:02,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.011,5899,2165,194,79,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
13,21-04-2020 07:22:02,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA. Варкетили,True,1,нет,Тбилиси,2 гр,0.0098,5227,1918,172,70,,,,,,,,,,,2x Extasy Duracell 223mg MDMA. Varketili
14,21-04-2020 07:22:02,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.Авламбари,True,2,нет,Тбилиси,2 гр,0.0098,5227,1918,172,70,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
15,21-04-2020 07:22:02,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0658,35840,13152,1176,480,,,,,,,,,,,VHQ BEST Cocaine 2g.
16,21-04-2020 07:22:02,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0118,6347,2329,208,85,,,,True,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
17,21-04-2020 07:22:02,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds. Indica,,6,нет,Тбилиси,3 гр,0.0166,8885,3261,292,119,,,,,True,,,,,,3g superskunk top class buds. Indica
18,21-04-2020 07:22:02,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA. Авламбари,True,2,нет,Тбилиси,3 гр,0.0147,7840,2877,257,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
19,21-04-2020 07:22:02,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 3g TOP VHQ,True,1,нет,Тбилиси,3 гр,0.0138,7467,2740,245,100,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
20,21-04-2020 07:22:02,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 3g.,True,1,нет,Тбилиси,3 гр,0.0926,51519,18906,1691,690,,,,,,,,,,,VHQ BEST Cocaine 3g.
21,21-04-2020 07:22:02,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (300 арагвели),True,3,нет,Тбилиси,4 гр,0.0076,4107,1507,135,55,,,,,,,,,,,N booom 4 shtuki (300 aragveli)
22,21-04-2020 07:22:02,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (Авлабври),True,1,нет,Тбилиси,4 гр,0.0076,4107,1507,135,55,,,,,,,,,,,N booom 4 shtuki (Avlabvri)
