,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Varketili,Gldani,€,Old Tbilisi (Старый город),Авлобари,Vake,Батуми,Центр,Кутаиси,desc_en
0,21-07-2020 18:28:05,Tbilisi,7R3WM,RastaShop,0.5 gr. Afghan kush (Indika),True,3,нет,Тбилиси,0.5 гр,0.0031,2129,839,72,30,,,,,,,,,,,0.5 gr. Afghan kush (Indika)
1,21-07-2020 18:28:05,Tbilisi,ABOAB,ProGrow,0.5-G ---> Pineapple (BTC - Sale),True,11,нет,Тбилиси,0.5 гр,0.0029,1987,783,67,28,,,,,,,,,,,0.5-G ---> Pineapple (BTC - Sale)
2,21-07-2020 18:28:05,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,,15,нет,Тбилиси,0.5 гр,0.0035,2413,950,82,34,True,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
3,21-07-2020 18:28:05,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,,10,нет,Тбилиси,0.5 гр,0.0034,2342,922,79,33,True,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
4,21-07-2020 18:28:05,Tbilisi,9CK,Hyperboy,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭,,9,нет,Тбилиси,0.5 гр,0.0067,4613,1817,156,65,,True,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭
5,21-07-2020 18:28:05,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,4,нет,Тбилиси,1 гр,0.0062,4258,1677,144,60,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,21-07-2020 18:28:05,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,5,нет,Тбилиси,1 гр,0.0061,4187,1649,142,59,,,,,,,,,,,1 G Hybrid Marijuana Buds
7,21-07-2020 18:28:05,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,1,нет,Тбилиси,1 гр,0.0062,4258,1677,144,60,True,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,21-07-2020 18:28:05,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,1 гр,0.0061,4187,1649,142,59,True,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
9,21-07-2020 18:28:05,Tbilisi,QUZIV,Hollyweed,1 г.Super Skunk top class buds!,,8,нет,Тбилиси,1 гр,0.0058,3903,1537,132,55,,,True,,,,,,,,1 g.Super Skunk top class buds!
10,21-07-2020 18:28:05,Tbilisi,7R3WM,RastaShop,1.0 gr. Afghan kush (Indika),True,5,нет,Тбилиси,1 гр,0.0055,3761,1481,127,53,,,,,,,,,,,1.0 gr. Afghan kush (Indika)
11,21-07-2020 18:28:05,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),True,5,нет,Тбилиси,1 гр,0.0055,3761,1481,127,53,,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
12,21-07-2020 18:28:05,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 1 г. TOP BUDS,,2,нет,Тбилиси,1 гр,0.0052,3903,1537,132,55,True,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
13,21-07-2020 18:28:05,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,True,5,нет,Тбилиси,2 гр,0.0103,7026,2767,238,99,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
14,21-07-2020 18:28:05,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,2 гр,0.0113,7735,3047,262,109,,,,,,,,,,,2 G Hybrid Marijuana Buds
15,21-07-2020 18:28:05,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,5,нет,Тбилиси,2 гр,0.0125,8516,3354,288,120,True,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
16,21-07-2020 18:28:05,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,2 гр,0.0114,7806,3075,264,110,True,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
17,21-07-2020 18:28:05,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,2 гр,0.0104,7097,2795,240,100,True,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
18,21-07-2020 18:28:05,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0125,8516,3354,288,120,True,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
19,21-07-2020 18:28:05,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,1,нет,Тбилиси,2 гр,0.0104,7806,3075,264,110,True,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
20,21-07-2020 18:28:05,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,1,нет,Тбилиси,3 гр,0.0058,3903,1537,132,55,True,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
21,21-07-2020 18:28:05,Tbilisi,LGRP8,Walker12,Badazz Kush 3G VHQ 25% THC,True,3,нет,Тбилиси,3 гр,0.0135,9226,3634,312,130,,,,,,,,,,,Badazz Kush 3G VHQ 25% THC
22,21-07-2020 18:28:05,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g plan,,5,нет,Тбилиси,3 гр,0.0036,2413,950,82,34,,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
23,21-07-2020 18:28:05,Tbilisi,9R7SU,ClownBaroN,Red Cherry 4.2G 27%THC *VHQ* FROM EUROPE,,1,нет,Тбилиси,4.2 гр,0.0208,14193,5590,480,200,True,,,,,,,,,,Red Cherry 4.2G 27%THC *VHQ* FROM EUROPE
