,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Tbilisis Zgva,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,15-03-2020 18:10:51,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,7,3,Тбилиси,0.3 гр,0.0502,21956,8067,702,300.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
1,1,15-03-2020 18:10:51,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,,12,нет,Тбилиси,0.5 гр,0.0091,4025,1479,129,55.0,True,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
2,2,15-03-2020 18:10:51,Tbilisi,edfbad0151,THC Snow Buds Only 0.5 G (THC 23+%),True,2,нет,Тбилиси,0.5 гр,0.005,2196,807,70,30.0,,,,,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
3,3,15-03-2020 18:10:51,Tbilisi,99accec7c7,mephedrone 0.5 лучший меф! лечит даже корона вирус!))),,24,нет,Тбилиси,0.5 гр,0.0166,7319,2689,234,100.0,True,,,,,,,,,,,mephedrone 0.5 luchshij mef! lechit dazhe korona virus!)))
4,4,15-03-2020 18:10:51,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,5,нет,Тбилиси,0.5 гр,0.0041,1830,672,59,25.0,,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
5,5,15-03-2020 18:10:51,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,11,нет,Тбилиси,1 гр,0.0075,3659,1345,117,50.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
6,6,15-03-2020 18:10:51,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0083,3659,1345,117,50.0,,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
7,7,15-03-2020 18:10:51,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,3,нет,Тбилиси,1 гр,0.0141,6221,2286,199,85.0,,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
8,8,15-03-2020 18:10:51,Tbilisi,64284550d9,1G ---> ONLY BUDS,True,13,нет,Тбилиси,1 гр,0.0063,2854,1049,91,39.0,,,,,,,,,,,,1G ---> ONLY BUDS
9,9,15-03-2020 18:10:51,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,6,нет,Тбилиси,1 гр,0.0141,6221,2286,199,85.0,,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
10,10,15-03-2020 18:10:51,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,12,нет,Тбилиси,1 гр,0.0076,3367,1237,108,46.0,,,,,,,,,,,,Amsterdam weed sativa 1gr
11,11,15-03-2020 18:10:51,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0285,13101,4813,419,179.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
12,12,15-03-2020 18:10:51,Tbilisi,99accec7c7,MDMA 1gr лучший товар на площадке!,,6,нет,Тбилиси,1 гр,0.0182,8051,2958,257,110.0,True,,,,,,,,,,,MDMA 1gr luchshij tovar na ploschadke!
13,13,15-03-2020 18:10:51,Tbilisi,ae784bef73,NEW ! Super Skunk ! NEW ! BUDS ! 1G,True,3,нет,Тбилиси,1 гр,0.008,3513,1291,112,48.0,,,,,,,,,,,,NEW ! Super Skunk ! NEW ! BUDS ! 1G
14,14,15-03-2020 18:10:51,Tbilisi,edfbad0151,THC Snow Buds Only 1G (THC 23+%),True,12,нет,Тбилиси,1 гр,0.0069,3074,1129,98,42.0,,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
15,15,15-03-2020 18:10:51,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0317,14564,5351,466,199.0,,,,,,,,,,,,VHQ BEST Cocaine 1g.
16,16,15-03-2020 18:10:51,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,5,нет,Тбилиси,1 гр,0.031,13833,5082,442,189.0,,,,,,,,,,,,Kokain HQ 1g.
17,17,15-03-2020 18:10:51,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1356,65869,24201,2106,900.0,,,,,,,,,,,,Metadon 1gr
