,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
22,22-04-2020 01:52:20,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,,3,нет,Тбилиси,5 гр,0.0233,12887,4631,420,169,True,,,,,,,,,5gr Stardawg Auto WEED BUDS
23,22-04-2020 01:52:20,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1539,87695,31510,2855,1150,,,,,,,,,,VHQ BEST Cocaine 5g.
24,22-04-2020 01:52:20,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 10g TOP VHQ,True,1,нет,Тбилиси,10 гр,0.0414,22877,8220,745,300,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
25,22-04-2020 01:52:20,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,3,нет,Тбилиси,10 гр,0.0138,7626,2740,248,100,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
26,22-04-2020 01:52:20,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.053,30502,10960,993,400,,,,,,,,,,gashish evro 10g
27,22-04-2020 01:52:20,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1029,59251,21290,1929,777,,,,,,,,,,Gashish Evro 20gr
28,22-04-2020 01:52:20,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2509,152512,54800,4965,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
29,22-04-2020 01:52:20,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0514,28139,10111,916,369,,,,,,,,,,❄❄2g HQ COCAINE❄❄
30,22-04-2020 01:52:20,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0822,44991,16166,1465,590,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
31,22-04-2020 01:52:20,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0552,30502,10960,993,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
