,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Тбилиси,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,09-06-2020 01:22:15,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0144,9957,3922,349,129.0,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,09-06-2020 01:22:15,Tbilisi,2f51af8159,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G,True,19,нет,Тбилиси,0.5 гр,0.0032,2186,859,76,,32.0,,,,,,,,,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G
2,2,09-06-2020 01:22:15,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,12,нет,Тбилиси,0.5 гр,0.0032,2186,859,76,,32.0,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
3,3,09-06-2020 01:22:15,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,,2,нет,Тбилиси,1 гр,0.0047,3142,1235,110,,46.0,True,,,,,,,,Amsterdam weed sativa 1gr
4,4,09-06-2020 01:22:15,Tbilisi,0cd3c52bb8,"Remo Chemo , сорт чемпион ! Накуривает по-царски.На магните.Вес всегда больше 1 грамма.",,4,нет,Тбилиси,1 гр,0.0051,3757,1477,131,,55.0,True,,,,,,,,"Remo Chemo , sort chempion ! Nakurivaet po-tsarski.Na magnite.Ves vsegda bol'she 1 gramma."
5,5,09-06-2020 01:22:15,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,1,нет,Тбилиси,2 гр,0.0475,32107,12620,1119,,470.0,True,,,,,,,,Cocaine Pure VHQ 2 g
6,6,09-06-2020 01:22:15,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,9,нет,Тбилиси,3 гр,0.0088,5943,2336,207,,87.0,True,,,,,,,,3 gr georgian weed. Package on magnet
7,7,09-06-2020 01:22:15,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,5,нет,Тбилиси,5 гр,0.0141,9495,3732,331,,139.0,True,,,,,,,,5 gr georgian weed. Package on magnet
8,8,09-06-2020 01:22:15,Tbilisi,8528108b62,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0221,16395,6444,571,,240.0,True,,,,,,,,5g. marihuana shishki Critical
9,9,09-06-2020 01:22:15,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,,2,нет,Тбилиси,5 гр,0.1163,78559,30878,2738,,1150.0,True,,,,,,,,Cocaine Pure VHQ 5g.
10,10,09-06-2020 01:22:15,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,2,нет,Тбилиси,5 гр,0.1147,79925,31415,2786,,1170.0,True,,,,,,,,VHQ BEST Cocaine 5g.
11,11,09-06-2020 01:22:15,Tbilisi,3ea41fd329,"SUBOQSIN ""DNK"" 8ML",True,2,нет,Тбилиси,8 гр,0.0151,10179,4001,355,,149.0,,,,,,,,,"SUBOQSIN ""DNK"" 8ML"
12,12,09-06-2020 01:22:15,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,2,нет,Тбилиси,10 гр,0.0262,17693,6954,617,,259.0,True,,,,,,,,10 gr georgian weed. Package on magnet
13,13,09-06-2020 01:22:15,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,7,нет,Тбилиси,10 гр,0.0242,16327,6417,569,,239.0,,True,True,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
14,14,09-06-2020 01:22:15,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.046,34156,13425,1191,,500.0,True,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
15,15,09-06-2020 01:22:15,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,,1,нет,Тбилиси,20 гр,0.0027,1981,779,69,,29.0,True,,,,,,,,GABAGAMA 20 SHTUK
16,16,09-06-2020 01:22:15,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.204,136625,53700,4762,,2000.0,True,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
17,17,09-06-2020 01:22:15,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.0214,14346,5639,500,,210.0,True,,,,,,,,✨✨2gram. MDMA✨✨
18,18,09-06-2020 01:22:15,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0591,39553,15546,1379,,579.0,True,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
19,19,09-06-2020 01:22:15,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0404,27325,10740,952,,400.0,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
20,20,09-06-2020 01:22:15,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0556,37572,14768,1310,,550.0,True,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
21,21,09-06-2020 01:22:15,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,8,Тбилиси,5 гр,0.0238,16053,6310,560,,235.0,True,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
22,22,09-06-2020 01:22:15,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0243,16395,6444,571,,240.0,True,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
23,23,09-06-2020 01:22:15,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0233,15712,6176,548,,230.0,True,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
24,24,09-06-2020 01:22:15,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0243,16395,6444,571,,240.0,True,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
25,25,09-06-2020 01:22:15,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0243,16395,6444,571,,240.0,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
26,26,09-06-2020 01:22:15,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0233,15712,6176,548,,230.0,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
27,27,09-06-2020 01:22:15,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0201,14960,5880,521,,219.0,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
28,28,09-06-2020 01:22:15,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0255,17078,6713,595,,250.0,True,,,,,,,,MARIXYANA - INDICA - 5 G.
29,29,09-06-2020 01:22:15,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0238,16053,6310,560,,235.0,True,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
30,30,09-06-2020 01:22:15,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2556,190000,87429,6592,,,True,,,,,,,,reagent 25i nbome. 5gr
31,31,09-06-2020 01:22:15,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2757,204937,80550,7143,,3000.0,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
32,32,09-06-2020 01:22:15,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0979,65512,25749,2283,,959.0,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
33,33,09-06-2020 01:22:15,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0194,12979,5102,452,,190.0,True,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
34,34,09-06-2020 01:22:40,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.0499,33405,13130,1164,,489.0,True,,,,,,,,💘✨5g. MDMA ✨💘
35,35,09-06-2020 01:22:40,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.091,61481,24165,2143,,900.0,True,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
36,36,09-06-2020 01:22:40,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0404,27325,10740,952,,400.0,True,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
37,37,09-06-2020 01:22:40,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0708,47819,18795,1667,,700.0,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
38,38,09-06-2020 01:22:40,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0425,28691,11277,1000,,420.0,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
39,39,09-06-2020 01:22:40,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0809,54650,21480,1905,,800.0,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
40,40,09-06-2020 01:22:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,нет,1,Тбилиси,10 гр,0.027000000000000003,18239,7169,636,,267.0,True,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
41,41,09-06-2020 01:22:40,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2249,151995,59741,5298,,2225.0,True,,,,,,,,Amfetamin [White] [Import] 10G
42,42,09-06-2020 01:22:40,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1592,106499,41859,3712,,1559.0,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
43,43,09-06-2020 01:22:40,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0825,55196,21695,1924,,808.0,True,,,,,,,,💘✨10gram MDMA ✨💘
44,44,09-06-2020 01:22:40,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0377,25207,9908,879,,369.0,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
45,45,09-06-2020 01:22:40,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,4,Тбилиси,11 гр,0.0356,23909,9398,833,,350.0,True,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
46,46,09-06-2020 01:22:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 20шт. вес таблетки 450mg,,нет,1,Тбилиси,20 гр,0.0516,34839,13694,1214,,510.0,True,,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
47,47,09-06-2020 01:22:40,Tbilisi,f8a875c191,METADON - 20 G.,,нет,2,Тбилиси,20 гр,0.5105,341562,134250,11905,,5000.0,True,,,,,,,,METADON - 20 G.
48,48,09-06-2020 01:22:40,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1379,102468,40275,3572,,1500.0,True,,,,,,,,✨💘20g MDMA💘✨
49,49,09-06-2020 01:22:40,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0612,40919,16083,1426,,599.0,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
50,50,09-06-2020 01:22:40,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1313,88738,34878,3093,,1299.0,True,,,,,,,,50 gr georgian weed. Package on magnet
51,51,09-06-2020 01:22:40,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2526,170712,67098,5950,,2499.0,True,,,,,,,,100 gr georgian weed. Package on magnet
52,52,09-06-2020 01:22:40,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2426,163950,64440,5714,,2400.0,True,,,,,,,,100 gr marijuana buds
53,53,09-06-2020 01:22:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2022,136625,53700,4762,,2000.0,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
54,54,09-06-2020 01:22:40,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2527,170781,67125,5953,,2500.0,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
55,55,09-06-2020 01:22:40,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.5964,403043,158415,14048,,5900.0,True,,,,,,,,180 gr marihuana persoalno
56,56,09-06-2020 01:22:40,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,5,Тбилиси,200 гр,0.4335,290327,114113,10119,,4250.0,True,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
57,57,09-06-2020 01:22:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.465,314237,123510,10953,,4600.0,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
58,58,09-06-2020 01:22:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7582,512342,201375,17858,,7500.0,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
59,59,09-06-2020 01:22:40,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8593,580655,228225,20239,,8500.0,True,,,,,,,,10000sht marki 25i-nbome. predoplata
60,60,09-06-2020 01:22:40,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0184,13662,5370,476,,200.0,True,,,,,,,,KURYER..500RUB.+BONUS
61,61,09-06-2020 01:22:40,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0202,13662,5370,476,,200.0,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
62,62,09-06-2020 01:22:40,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5302,1024685,402750,35715,,15000.0,True,,,,,,,,Vakansija optovogo kur'era na mef
63,63,09-06-2020 01:23:52,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,3,Батуми,5 гр,0.0228,15712,6176,548,,230.0,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
64,64,09-06-2020 01:23:52,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,2,Батуми,10 гр,0.0416,28691,11277,1000,,420.0,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
65,65,09-06-2020 01:23:52,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5105,341562,134250,11905,,5000.0,,,,,,True,,,METADON - 20 G.
66,66,09-06-2020 01:23:52,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1672,112990,51992,3920,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
67,67,09-06-2020 01:23:52,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2647,178900,82321,6207,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
68,68,09-06-2020 01:23:52,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,6831,2685,238,,100.0,,,,,,True,,,kur'er v Batumi
69,69,09-06-2020 01:23:52,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.023,17078,6713,595,,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
70,70,09-06-2020 01:23:52,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.023,17078,6713,595,,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
71,71,09-06-2020 01:23:52,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0202,13662,5370,476,,200.0,,,,,,True,,,Kur'er Batumi na marihuanu
72,72,09-06-2020 01:23:52,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0286,19297,7600,676,250.0,,,,,,,True,,,Rabota na marki (kur'er)
73,73,09-06-2020 01:23:52,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5302,1024685,402750,35715,,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
74,74,09-06-2020 01:23:52,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0505,34156,13425,1191,,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
75,75,09-06-2020 01:27:58,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0286,19297,7600,676,250.0,,,,,,,,,True,Rabota na marki (kur'er)
