,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Gldani,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Vake,Батуми,Центр,desc_en
10,10,23-07-2020 03:25:41,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,10,нет,Тбилиси,1 гр,0.005,3469,1376,117,49.0,,,,,,,,,,,1gr HYBRID o.g
11,11,23-07-2020 03:25:41,Tbilisi,ebadfc162f,Gorilla Glue 1G Super strong weed LIMITED,True,2,нет,Тбилиси,1 гр,0.0061,4247,1685,143,60.0,,,True,,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
12,12,23-07-2020 03:25:41,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,True,2,нет,Тбилиси,1 гр,0.0051,3893,1545,131,55.0,,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
13,13,23-07-2020 03:25:41,Tbilisi,ebadfc162f,уро / Hammer 1G 100% Center Buds! центровки !! LIMITED,True,3,нет,Тбилиси,1 гр,0.0072,4955,1966,167,70.0,,,True,,,,,,,,uro / Hammer 1G 100% Center Buds! tsentrovki !! LIMITED
14,14,23-07-2020 03:25:41,Tbilisi,7c395c455d,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1.2 гр,0.0123,8495,3371,286,120.0,,,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
15,15,23-07-2020 03:25:41,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,1,нет,Тбилиси,2 гр,0.0111,7716,3062,260,109.0,True,,,,,,,,,,2 G Hybrid Marijuana Buds
16,16,23-07-2020 03:25:41,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",True,2,нет,Тбилиси,2 гр,0.0112,7787,3090,262,110.0,,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
17,17,23-07-2020 03:25:41,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,2 гр,0.0123,8495,3371,286,120.0,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
18,18,23-07-2020 03:25:41,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,1,нет,Тбилиси,2 гр,0.0123,8495,3371,286,120.0,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
19,19,23-07-2020 03:25:41,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,2 гр,0.0112,7787,3090,262,110.0,,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
20,20,23-07-2020 03:25:41,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,2 гр,0.0102,7079,2809,239,100.0,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
21,21,23-07-2020 03:25:41,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,2,нет,Тбилиси,2 гр,0.0123,8495,3371,286,120.0,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
22,22,23-07-2020 03:25:41,Tbilisi,7c395c455d,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,True,4,нет,Тбилиси,2 гр,0.0204,14158,5618,477,200.0,,,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
23,23,23-07-2020 03:25:41,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",True,3,нет,Тбилиси,2 гр,0.0102,7787,3090,262,110.0,,,,True,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
24,24,23-07-2020 03:25:41,Tbilisi,d04eeb6525,Hybrid Bomba 2 г. TOP BUDS Very Strong,True,2,нет,Тбилиси,2 гр,0.0101,7716,3062,260,109.0,,,,,,,,,,,Hybrid Bomba 2 g. TOP BUDS Very Strong
25,25,23-07-2020 03:25:41,Tbilisi,83f3d55917,Badazz Kush 3G VHQ 25% THC,,2,нет,Тбилиси,3 гр,0.0133,9202,3652,310,130.0,True,,,,,,,,,,Badazz Kush 3G VHQ 25% THC
26,26,23-07-2020 03:25:41,Tbilisi,e771f4c371,Red Cherry 4.2G 27%THC *VHQ* FROM EUROPE,True,1,нет,Тбилиси,4.2 гр,0.0204,14158,5618,477,200.0,,,,,,,,,,,Red Cherry 4.2G 27%THC *VHQ* FROM EUROPE
27,27,23-07-2020 03:25:41,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,1,нет,Тбилиси,5 гр,0.0286,19821,7865,668,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
28,28,23-07-2020 03:25:41,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,5 гр,0.0276,19113,7584,644,270.0,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
29,29,23-07-2020 03:25:41,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,1,нет,Тбилиси,5 гр,0.0181,13804,5478,465,195.0,,,,,,,,,,,5g. marihuana shishki Critical
30,30,23-07-2020 03:25:41,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 20gramm special price,True,1,нет,Тбилиси,20 гр,0.0539,41057,16292,1384,580.0,,,,,,,,,,,Northern Lights Regular [budsonly] 20gramm special price
31,31,23-07-2020 03:25:41,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2062,141576,56180,4771,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
32,32,23-07-2020 03:25:41,Tbilisi,b7446e2cca,CUSTOM Шишки 190g 3in1,True,1,нет,Тбилиси,190 гр,0.4392,304389,120787,10257,4300.0,,,,,,,,,,,CUSTOM Shishki 190g 3in1
33,33,23-07-2020 03:25:41,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,4,Тбилиси,1 гр,0.0368,25293,10075,852,,,,,,310.0,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
34,34,23-07-2020 03:25:41,Tbilisi,7f1273da70,марихуана пудра высокое качество 4грам,True,нет,10,Тбилиси,4 гр,0.006,4601,1826,155,65.0,,,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
35,35,23-07-2020 03:26:32,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0255,17697,7023,596,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
36,36,23-07-2020 03:26:32,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,2,Тбилиси,5 гр,0.0562,38933,15450,1312,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
37,37,23-07-2020 03:26:32,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,1,6,Тбилиси,5 гр,0.0276,19113,7584,644,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
38,38,23-07-2020 03:26:32,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0281,19467,7725,656,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
39,39,23-07-2020 03:26:32,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,1,4,Тбилиси,5 гр,0.0245,16989,6742,573,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
40,40,23-07-2020 03:26:32,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0286,19821,7865,668,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
41,41,23-07-2020 03:26:32,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0276,19113,7584,644,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
42,42,23-07-2020 03:26:32,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0203,15503,6152,522,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
43,43,23-07-2020 03:26:32,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,7,Тбилиси,5 гр,0.024,16635,6601,561,235.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
44,44,23-07-2020 03:26:32,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,нет,1,Тбилиси,5 гр,0.0223,16989,6742,573,240.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
45,45,23-07-2020 03:26:32,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0276,19113,7584,644,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
46,46,23-07-2020 03:26:32,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2492,190000,87429,6398,,,,,,,,,,,,reagent 25i nbome. 5gr
47,47,23-07-2020 03:26:32,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2786,212364,84270,7156,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
48,48,23-07-2020 03:26:32,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬,True,нет,2,Тбилиси,5 гр,0.0255,17697,7023,596,250.0,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬
49,49,23-07-2020 03:26:32,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,2,Тбилиси,5 гр,0.0238,16318,6500,550,,,,,,200.0,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
50,50,23-07-2020 03:26:32,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0919,63709,25281,2147,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
51,51,23-07-2020 03:26:32,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0562,38933,15450,1312,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
52,52,23-07-2020 03:26:32,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0715,49552,19663,1670,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
53,53,23-07-2020 03:26:32,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0429,29731,11798,1002,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
54,54,23-07-2020 03:26:32,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0817,56630,22472,1908,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
55,55,23-07-2020 03:26:32,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,8,Тбилиси,10 гр,0.0429,29731,11798,1002,420.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
56,56,23-07-2020 03:26:32,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,True,1,10,Тбилиси,10 гр,0.0353,26899,10674,906,380.0,,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
57,57,23-07-2020 03:26:32,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2273,157504,62500,5308,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
58,58,23-07-2020 03:26:32,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,True,нет,1,Тбилиси,10 гр,0.0419,29023,11517,978,410.0,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
59,59,23-07-2020 03:26:32,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0523,35900,14300,1210,,,,,,440.0,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
60,60,23-07-2020 03:26:32,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0463,31820,12675,1072,,,,,,390.0,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
61,61,23-07-2020 03:26:32,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0604,46012,18259,1551,650.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
62,62,23-07-2020 03:26:32,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2452,169891,67416,5725,2400.0,,,,,,,,,,,100 gr marijuana buds
63,63,23-07-2020 03:26:32,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2554,176970,70225,5964,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,64,23-07-2020 03:26:32,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,нет,2,Тбилиси,100 гр,0.0358,24776,9832,835,350.0,,,,,,True,True,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
65,65,23-07-2020 03:26:32,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6027,417650,165731,14074,5900.0,,,,,,,,,,,180 gr marihuana persoalno
66,66,23-07-2020 03:26:32,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,4,Тбилиси,500 гр,0.1021,70788,28090,2385,1000.0,True,True,,,,True,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
67,67,23-07-2020 03:26:32,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8682,601699,238765,20276,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,68,23-07-2020 03:26:32,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0186,14158,5618,477,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
69,69,23-07-2020 03:26:32,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0153,10618,4214,358,150.0,True,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
70,70,23-07-2020 03:27:45,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0255,17697,7023,596,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,71,23-07-2020 03:27:45,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 400$ 5гр,True,1,нет,Тбилиси,5 гр,0.0371,28315,11236,954,400.0,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 400$ 5gr
72,72,23-07-2020 03:27:45,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0204,14158,5618,477,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,73,23-07-2020 03:27:45,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0255,17697,7023,596,250.0,,,,,,,,,,,Rabota na marki (kur'er)
74,74,23-07-2020 03:27:45,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0511,35394,14045,1193,500.0,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
75,75,23-07-2020 03:27:45,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5461,1061822,421350,35781,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
76,76,23-07-2020 03:27:45,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0511,35394,14045,1193,500.0,,True,,,,True,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
77,77,23-07-2020 03:30:11,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,13,нет,Батуми,2 гр,0.0043,2973,1180,100,42.0,,,,,,,,,True,,Melkie shishki (Indica) 2g
78,78,23-07-2020 03:30:11,Batumi,3c9bc6f8e9,Gelato Grinded Moonrocks (измельченные мунроки) Эксклюзив. 5гр,,1,нет,Батуми,5 гр,0.0251,19113,7584,644,270.0,,,,,,,,,True,,Gelato Grinded Moonrocks (izmel'chennye munroki) Ekskljuziv. 5gr
79,79,23-07-2020 03:30:11,Batumi,3b3ba4f5a5,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0358,24776,9832,835,350.0,,,,,,,,,True,,Moschnye shishki Y-Griega (Sativa) 5g
80,80,23-07-2020 03:30:11,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.046,31855,12641,1073,450.0,,,,,,,,,,True,Super Critical 10G
81,81,23-07-2020 03:30:11,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0368,25293,10075,852,,,,,,310.0,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
82,82,23-07-2020 03:30:11,Batumi,7c2ccfb3f3,Мефедрон 3г,,нет,3,Батуми,3 гр,0.0325,24776,9832,835,350.0,,,,,,,,,True,,Mefedron 3g
83,83,23-07-2020 03:30:11,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 5шт.,,нет,5,Батуми,5 гр,0.039,29731,11798,1002,420.0,,,,,,,,,True,,Tably Punisher 300 mg. 5sht.
84,84,23-07-2020 03:30:11,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0523,35900,14300,1210,,,,,,440.0,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
85,85,23-07-2020 03:30:11,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0463,31820,12675,1072,,,,,,390.0,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
86,86,23-07-2020 03:30:11,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0474,32555,12968,1097,,,,,,399.0,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
87,87,23-07-2020 03:30:11,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.163,112990,51992,3805,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
88,88,23-07-2020 03:30:11,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2582,178900,82321,6024,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
89,89,23-07-2020 03:30:11,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,7079,2809,239,100.0,,,,,,,,,True,,kur'er v Batumi
90,90,23-07-2020 03:30:11,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0232,17697,7023,596,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
91,91,23-07-2020 03:30:11,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0232,17697,7023,596,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
92,92,23-07-2020 03:30:11,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0204,14158,5618,477,200.0,,,,,,,,,True,,Kur'er Batumi na marihuanu
93,93,23-07-2020 03:30:11,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5461,1061822,421350,35781,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
94,94,23-07-2020 03:30:11,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0511,35394,14045,1193,500.0,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
