,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Gldani,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Vake,Батуми,Центр,desc_en
0,0,23-07-2020 03:25:41,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,10,нет,Тбилиси,0.5 гр,0.0034,2336,927,79,33.0,,,,,,,,,,,0.5 gr HYBRID buds
1,1,23-07-2020 03:25:41,Tbilisi,d04eeb6525,Hybrid Bomba 0.5г TOP BUDS,True,1,нет,Тбилиси,0.5 гр,0.0027,2053,815,69,29.0,,,,,,,,,,,Hybrid Bomba 0.5g TOP BUDS
2,2,23-07-2020 03:25:41,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0035,2407,955,81,34.0,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
3,3,23-07-2020 03:25:41,Tbilisi,ae784bef73,NEW! ГАШИШ ! NEW ! 0.5G,True,9,нет,Тбилиси,0.5 гр,0.0046,3185,1264,107,45.0,,,,,,,,,,,NEW! GAShISh ! NEW ! 0.5G
4,4,23-07-2020 03:25:41,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0034,2336,927,79,33.0,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
5,5,23-07-2020 03:25:41,Tbilisi,ebadfc162f,уро / Hammer 0.5G 100%шишки! LIMITED,,4,нет,Тбилиси,0.5 гр,0.0036,2478,983,83,35.0,True,,,,,,,,,,uro / Hammer 0.5G 100%shishki! LIMITED
6,6,23-07-2020 03:25:41,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭,True,3,нет,Тбилиси,0.5 гр,0.0066,4601,1826,155,65.0,,True,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭
7,7,23-07-2020 03:25:41,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,2,нет,Тбилиси,1 гр,0.006,4177,1657,141,59.0,,,,,,,,,,,1 gr super lemon haze probnik
8,8,23-07-2020 03:25:41,Tbilisi,21de5577be,1.0 gr. Afghan kush (Indika),,3,нет,Тбилиси,1 гр,0.0054,3752,1489,126,53.0,True,,,,,,,,,,1.0 gr. Afghan kush (Indika)
9,9,23-07-2020 03:25:41,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,2,нет,Тбилиси,1 гр,0.0054,3752,1489,126,53.0,True,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
