,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,Gldani,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
102,102,28-03-2020 09:52:58,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,7,нет,Батуми,1 гр,0.0254,14769,5415,489,190.0,,,,,,,,,,True,,NZT-52 limited 1 g muka
103,103,28-03-2020 09:52:58,Batumi,c72111ac1a,NZT-52 limited 2г мука,,3,нет,Батуми,2 гр,0.0455,26429,9690,876,340.0,,,,,,,,,,True,,NZT-52 limited 2g muka
104,104,28-03-2020 09:52:58,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,22,нет,Батуми,2 гр,0.006,3498,1283,116,45.0,,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
105,105,28-03-2020 09:52:58,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 4 штуки!!!,,5,нет,Батуми,4 гр,0.0094,5441,1995,180,70.0,,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 4 shtuki!!!
106,106,28-03-2020 09:52:58,Batumi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,6,нет,Батуми,6 гр,0.0127,7385,2708,245,95.0,,,,,,,,,,True,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
107,107,28-03-2020 09:52:58,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3241,171012,62700,5666,2200.0,,,,,,,,,,True,,[100g] SPAIN HASH
108,108,28-03-2020 09:52:58,Batumi,f8a875c191,METADON - BATUMI - 0.27 G,,нет,5,Батуми,0.27 гр,0.0338,17645,6470,585,227.0,,,,,,,,,True,,,METADON - BATUMI - 0.27 G
109,109,28-03-2020 09:52:58,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,13,Батуми,5 гр,0.0268,15547,5700,515,200.0,,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
110,110,28-03-2020 09:52:58,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2976,155465,57000,5151,2000.0,,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
111,111,28-03-2020 09:52:58,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2232,116599,42750,3863,1500.0,,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
112,112,28-03-2020 09:52:58,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0134,7773,2850,258,100.0,,,,,,,,,,True,,kur'er v Batumi
113,113,28-03-2020 09:52:58,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0335,19433,7125,644,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
114,114,28-03-2020 09:52:58,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0335,19433,7125,644,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
115,115,28-03-2020 09:52:58,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0369,21435,7838,709,,,,,250.0,,,,,,True,,Rabota na marki (kur'er)
116,116,28-03-2020 09:52:58,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.2299,1165988,427500,38631,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
117,117,28-03-2020 09:52:58,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0737,38866,14250,1288,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
118,118,28-03-2020 09:54:06,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,6,нет,Кутаиси,1 гр,0.0279,14847,5444,492,191.0,,,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
119,119,28-03-2020 09:54:06,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,7,нет,Кутаиси,1.5 гр,0.0211,11271,4133,373,145.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
120,120,28-03-2020 09:54:06,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,11,нет,Кутаиси,2 гр,0.0532,28372,10403,940,365.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
121,121,28-03-2020 09:54:06,Kutaisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,11,нет,Кутаиси,2 гр,0.006,3498,1283,116,45.0,,,,,,,,,,,True,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
122,122,28-03-2020 09:54:06,Kutaisi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 2.0 g !!BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,4,нет,Кутаиси,2 гр,0.0197,10494,3848,348,135.0,,,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
123,123,28-03-2020 09:54:06,Kutaisi,be97026d1d,MDMA from Europe!!! 3g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,10,нет,Кутаиси,3 гр,0.0401,21376,7838,708,275.0,,,,,,,,,,,True,MDMA from Europe!!! 3g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
124,124,28-03-2020 09:54:06,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,50 гр,0.0369,21435,7838,709,,,,,250.0,,,,,,,True,Rabota na marki (kur'er)
