,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,23-02-2020 21:02:45,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,7,нет,Тбилиси,0.15 гр,0.0116,8359,3186,288,130,,,,,,,,,,Metadon 0.15gr
1,23-02-2020 21:02:45,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.17 G,True,1,5,Тбилиси,0.17 гр,0.0149,9645,3677,332,150,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.17 G
2,23-02-2020 21:02:45,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,4,нет,Тбилиси,0.25 гр,0.0099,6430,2451,221,100,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
3,23-02-2020 21:02:45,Tbilisi,LYHBG,Playboy,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,6,нет,Тбилиси,0.5 гр,0.0069,4437,1691,153,69,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
4,23-02-2020 21:02:45,Tbilisi,7R3WM,RastaShop,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,6,нет,Тбилиси,0.5 гр,0.0029,1865,711,64,29,True,True,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
5,23-02-2020 21:02:45,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,2,нет,Тбилиси,0.5 гр,0.006,3858,1471,133,60,,,,,,,,,,Ketamine 0.5g
6,23-02-2020 21:02:45,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0103,7009,2672,241,109,,,,,,,,,,Pure COCAINE VHQ 0.5g
7,23-02-2020 21:02:45,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0269,19290,7353,664,300,,,,,,,,,,Metadon 0.6gr
8,23-02-2020 21:02:45,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,3,нет,Тбилиси,0.8 гр,0.0148,9645,3677,332,150,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
9,23-02-2020 21:02:45,Tbilisi,JVZTQ,partyshop,1 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,7,нет,Тбилиси,1 гр,0.0098,6366,2426,219,99,,,,,,,,,,1 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
