,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,€,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
52,12-03-2020 13:02:57,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0446,26087,9764,845,365,,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
53,12-03-2020 13:02:57,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.011,7076,2648,229,99,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
54,12-03-2020 13:02:57,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0469,28589,10700,926,400,,,,,,,,,,gashish evro 10g
55,12-03-2020 13:02:57,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.1036,60608,22684,1962,848,,,,True,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
56,12-03-2020 13:02:57,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,8,5,Тбилиси,0.27 гр,0.0333,19297,7223,625,270,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
57,12-03-2020 13:02:57,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g BTC SALE 5%,True,нет,10,Тбилиси,2 гр,0.0434,25658,9603,831,359,,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5%
58,12-03-2020 13:02:57,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0728,42168,15783,1365,590,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
59,12-03-2020 13:02:57,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0489,28589,10700,926,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
60,12-03-2020 13:02:57,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0672,39310,14713,1273,550,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
61,12-03-2020 13:02:57,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0191,11150,4173,361,156,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
62,12-03-2020 13:02:57,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0243,14223,5323,461,199,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
63,12-03-2020 13:02:57,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0196,11436,4280,370,160,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
64,12-03-2020 13:02:57,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0243,14223,5323,461,199,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
65,12-03-2020 13:02:57,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0243,14223,5323,461,199,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
66,12-03-2020 13:02:57,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0177,10363,3879,336,145,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
67,12-03-2020 13:02:57,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0243,15652,5858,507,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
68,12-03-2020 13:04:08,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0224,14294,5334,463,200,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
69,12-03-2020 13:04:08,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2971,190000,87429,6149,,,,,,,,,,,reagent 25i nbome. 5gr
70,12-03-2020 13:04:08,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3353,214416,80010,6942,3000,True,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
71,12-03-2020 13:04:08,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1067,61394,22910,1988,859,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
72,12-03-2020 13:04:08,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.023,13222,4934,428,185,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
73,12-03-2020 13:04:08,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0607,34950,13042,1132,489,,,,,,,,,,💘✨5g. MDMA ✨💘
74,12-03-2020 13:04:08,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0409,23514,8774,761,329,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
75,12-03-2020 13:04:08,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,1,Тбилиси,5 гр,0.0224,12865,4801,417,180,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
76,12-03-2020 13:04:08,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1107,64325,24003,2083,900,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
77,12-03-2020 13:04:08,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0861,50030,18669,1620,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
78,12-03-2020 13:04:08,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0491,28517,10641,923,399,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
79,12-03-2020 13:04:08,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0435,25015,9335,810,350,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
80,12-03-2020 13:04:08,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0984,57178,21336,1851,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
81,12-03-2020 13:04:08,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2736,159025,59341,5149,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
82,12-03-2020 13:04:08,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1799,103563,38645,3353,1449,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
83,12-03-2020 13:04:08,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0458,26373,9841,854,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
84,12-03-2020 13:04:08,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0371,21370,7974,692,299,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
85,12-03-2020 13:04:08,Tbilisi,EIH4,San4oPan4o,MDMA 20 g,True,нет,1,Тбилиси,20 гр,0.209,121502,45339,3934,1700,,,,,,,,,,MDMA 20 g
86,12-03-2020 13:04:08,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0744,42812,15975,1386,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
87,12-03-2020 13:04:08,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0826,50030,18669,1620,700,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
88,12-03-2020 13:04:08,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1341,85766,32004,2777,1200,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
89,12-03-2020 13:04:08,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1179,71401,26643,2312,999,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
90,12-03-2020 13:04:08,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2459,142944,53340,4628,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
91,12-03-2020 13:04:08,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2484,142944,53340,4628,2000,,,,,,,,,,SUBOXIN - HQ - 100 G.
92,12-03-2020 13:04:08,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3074,178680,66675,5785,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
