,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Nadzaladevi,Old Tbilisi (Старый город),Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,14-04-2020 20:41:11,Tbilisi,28bf667d16,Cocaine Fishscale! Limited Quantity 0.5 g. акция -15% при оплате бтк!!!,True,1,нет,Тбилиси,0.5 гр,0.0213,13637,5096,458,186.0,,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 0.5 g. aktsija -15% pri oplate btk!!!
1,1,14-04-2020 20:41:11,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,1 гр,0.0059,3226,1206,108,44.0,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
2,2,14-04-2020 20:41:12,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,13,нет,Тбилиси,1 гр,0.0067,4032,1507,135,55.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
3,3,14-04-2020 20:41:12,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,5,нет,Тбилиси,1 гр,0.0052,2859,1069,96,39.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
4,4,14-04-2020 20:41:12,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,1,нет,Тбилиси,1 гр,0.0073,4032,1507,135,55.0,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
5,5,14-04-2020 20:41:12,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,12,нет,Тбилиси,1 гр,0.0052,2859,1069,96,39.0,True,True,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
6,6,14-04-2020 20:41:12,Tbilisi,4659482266,1 г.Super Skunk top class buds! Indica,,3,нет,Тбилиси,1 гр,0.0062,3372,1260,113,46.0,,,True,,,,,,,,,1 g.Super Skunk top class buds! Indica
7,7,14-04-2020 20:41:12,Tbilisi,cb721d4bca,1 гр листя плус галовки марихуана,,8,нет,Тбилиси,1 гр,0.0027,1466,548,49,20.0,True,,,,,,,,,,,1 gr listja plus galovki marihuana
8,8,14-04-2020 20:41:12,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,11,нет,Тбилиси,1 гр,0.0295,16056,6001,539,219.0,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
9,9,14-04-2020 20:41:12,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,1,нет,Тбилиси,1 гр,0.0073,4032,1507,135,55.0,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
10,10,14-04-2020 20:41:12,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,16,нет,Тбилиси,1 гр,0.0026,1442,539,49,,,,True,18.0,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
11,11,14-04-2020 20:41:12,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1091,65984,24660,2215,900.0,,,,,,,,,,,,Metadon 1gr
12,12,14-04-2020 20:41:12,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,3,нет,Тбилиси,1 гр,0.0024,1466,548,49,20.0,,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
13,13,14-04-2020 20:41:12,Tbilisi,dd631c4acf,☃️❄1g. New COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0254,13857,5179,465,189.0,,,,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
14,14,14-04-2020 20:41:12,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 1.1г Скидка 1 через БИТКОИН !!!,True,8,нет,Тбилиси,1.1 гр,0.0051,2786,1041,94,38.0,,,,,True,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 1 cherez BITKOIN !!!
15,15,14-04-2020 20:41:12,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,2,нет,Тбилиси,2 гр,0.01,5499,2055,185,75.0,,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
