,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,Varketili,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,11-02-2020 16:05:17,Tbilisi,61df6a1c90,Метадон 0.15гр,True,3,нет,Тбилиси,0.15 гр,0.0118,8313,3205,284,130.0,,,,,,,,,,,,Metadon 0.15gr
1,1,11-02-2020 16:05:17,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0164,11511,4437,393,180.0,,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,11-02-2020 16:05:17,Tbilisi,32e645c201,"methadone 0,29 gr",,5,нет,Тбилиси,0.29 гр,0.021,13429,5177,459,210.0,True,,,,,,,,,,,"methadone 0,29 gr"
3,3,11-02-2020 16:05:17,Tbilisi,61df6a1c90,Метадон 0.30гр,True,5,нет,Тбилиси,0.3 гр,0.0163,12150,4684,415,190.0,,,,,,,,,,,,Metadon 0.30gr
4,4,11-02-2020 16:05:17,Tbilisi,21de5577be,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,15,нет,Тбилиси,0.5 гр,0.0029,1855,715,63,29.0,True,True,True,True,,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
5,5,11-02-2020 16:05:17,Tbilisi,da96c34455,ALFA PVP in City 0.5g,True,7,нет,Тбилиси,0.5 гр,0.008,5116,1972,175,80.0,,,,,,,,,,,,ALFA PVP in City 0.5g
6,6,11-02-2020 16:05:17,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,5,нет,Тбилиси,0.5 гр,0.0111,7034,2712,240,110.0,,,,,,,,,,,,"Cocaine, 0.5 g"
7,7,11-02-2020 16:05:17,Tbilisi,013e75d78f,"H i B R i D 0.5г. Три вадном ----> amnezia , tutanhamon, jackherer )",True,2,нет,Тбилиси,0.5 гр,0.0045,2878,1109,98,45.0,,,,,True,,,,,,,"H i B R i D 0.5g. Tri vadnom ----> amnezia , tutanhamon, jackherer )"
8,8,11-02-2020 16:05:17,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0273,19185,7395,655,300.0,,,,,,,,,,,,Metadon VHQ 0.5 24/7
9,9,11-02-2020 16:05:17,Tbilisi,61df6a1c90,Метадон 0.6гр,True,3,нет,Тбилиси,0.6 гр,0.0273,19185,7395,655,300.0,,,,,,,,,,,,Metadon 0.6gr
10,10,11-02-2020 16:05:17,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,5,нет,Тбилиси,0.8 гр,0.012,7674,2958,262,120.0,,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
11,11,11-02-2020 16:05:17,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,23,нет,Тбилиси,1 гр,0.0041,2878,1109,98,45.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
12,12,11-02-2020 16:05:17,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS saburtalo!! btc sale 1%",True,5,нет,Тбилиси,1 гр,0.005,3197,1233,109,50.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS saburtalo!! btc sale 1%"
13,13,11-02-2020 16:05:17,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,1 гр,0.0055,3517,1356,120,55.0,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
14,14,11-02-2020 16:05:17,Tbilisi,21de5577be,1 gr. Blue Berry Kush 100% Natural/Indika/ Import,,15,нет,Тбилиси,1 гр,0.0045,2878,1109,98,45.0,True,True,,True,,,,,,,,1 gr. Blue Berry Kush 100% Natural/Indika/ Import
