,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Дигоми,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,15-02-2020 08:52:23,Tbilisi,61df6a1c90,Метадон 0.15гр,True,7,нет,Тбилиси,0.15 гр,0.0113,8249,3203,286,130.0,,,,,,,,,,,Metadon 0.15gr
1,1,15-02-2020 08:52:23,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,2,нет,Тбилиси,0.25 гр,0.0057,3807,1478,132,60.0,,,,,,,,,,,Iranian Sirec 0.25g.
2,2,15-02-2020 08:52:23,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0156,11422,4435,396,180.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,15-02-2020 08:52:23,Tbilisi,adf2d19b92,alpha pvp 0.3,True,1,нет,Тбилиси,0.3 гр,0.0061,4442,1725,154,70.0,,,,,,,,,,,alpha pvp 0.3
4,4,15-02-2020 08:52:23,Tbilisi,8a650ecf5f,"A PVP 0,33 VHQ",True,11,нет,Тбилиси,0.33 гр,0.0055,3807,1478,132,60.0,,,,,,,,,,,"A PVP 0,33 VHQ"
5,5,15-02-2020 08:52:23,Tbilisi,366326d4d6,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,6,нет,Тбилиси,0.5 гр,0.0066,4378,1700,152,69.0,,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
6,6,15-02-2020 08:52:23,Tbilisi,366326d4d6,0.5 g. Ketamine,True,4,нет,Тбилиси,0.5 гр,0.0057,3744,1454,130,59.0,,,,,,,,,,,0.5 g. Ketamine
7,7,15-02-2020 08:52:23,Tbilisi,21de5577be,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,7,нет,Тбилиси,0.5 гр,0.0028,1840,715,64,29.0,True,,,,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
8,8,15-02-2020 08:52:23,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0058,3807,1478,132,60.0,,,,,,,,,,,Ketamine 0.5g
9,9,15-02-2020 08:52:23,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,9,нет,Тбилиси,0.5 гр,0.0095,6282,2439,218,99.0,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
