,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,0,09-06-2020 23:57:52,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,4,нет,Тбилиси,0.5 гр,0.0162,10919,4253,377,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,09-06-2020 23:57:52,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,7,нет,Тбилиси,0.5 гр,0.0032,2198,856,76,32.0,True,True,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
2,2,09-06-2020 23:57:52,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,2,нет,Тбилиси,2 гр,0.0089,6043,2354,209,88.0,,,,,,,,,,,2gr HYBRID buds
3,3,09-06-2020 23:57:52,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0474,32277,12573,1115,470.0,,,,,,,,,,,Cocaine Pure VHQ 2 g
4,4,09-06-2020 23:57:52,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0086,5837,2274,202,85.0,True,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
5,5,09-06-2020 23:57:52,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,True,13,нет,Тбилиси,3 гр,0.0088,5975,2327,206,87.0,,,,,,,,,,,3 gr georgian weed. Package on magnet
6,6,09-06-2020 23:57:52,Tbilisi,97d5fcd29b,Suboxene 4mg,True,1,нет,Тбилиси,4 гр,0.0053,3777,1471,131,55.0,,,,,,,,,,,Suboxene 4mg
7,7,09-06-2020 23:57:52,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,5,нет,Тбилиси,5 гр,0.013999999999999999,9546,3718,330,139.0,,,,,,,,,,,5 gr georgian weed. Package on magnet
8,8,09-06-2020 23:57:52,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.022000000000000002,16482,6420,570,240.0,,,,,,,,,,,5g. marihuana shishki Critical
9,9,09-06-2020 23:57:52,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,2,нет,Тбилиси,5 гр,0.006,4052,1578,140,59.0,,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
10,10,09-06-2020 23:57:52,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,9,нет,Тбилиси,5 гр,0.0178,12018,4681,415,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
11,11,09-06-2020 23:57:52,Tbilisi,83f3d55917,Химка !! 5 г %%5%% скидка новинка !!!!,,2,нет,Тбилиси,5 гр,0.0073,5151,2006,178,75.0,True,,,,,,,,,,Himka !! 5 g %%5%% skidka novinka !!!!
12,12,09-06-2020 23:57:52,Tbilisi,3ea41fd329,"SUBOQSIN ""DNK"" 8ML",,1,нет,Тбилиси,8 гр,0.015,10233,3986,354,149.0,True,,,,,,,,,,"SUBOQSIN ""DNK"" 8ML"
13,13,09-06-2020 23:57:52,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,True,2,нет,Тбилиси,10 гр,0.0261,17787,6928,615,259.0,,,,,,,,,,,10 gr georgian weed. Package on magnet
14,14,09-06-2020 23:57:52,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,10 гр,0.0241,16413,6393,567,239.0,,,True,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
15,15,09-06-2020 23:57:52,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0459,34337,13375,1187,500.0,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
16,16,09-06-2020 23:57:52,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,True,1,нет,Тбилиси,20 гр,0.0027,1992,776,69,29.0,,,,,,,,,,,GABAGAMA 20 SHTUK
17,17,09-06-2020 23:57:52,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2037,137349,53500,4746,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
18,18,09-06-2020 23:57:52,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,6,Тбилиси,3 гр,0.059000000000000004,39763,15488,1374,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
19,19,09-06-2020 23:57:52,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0404,27470,10700,949,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
20,20,09-06-2020 23:57:52,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0555,37771,14713,1305,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
21,21,09-06-2020 23:57:52,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,8,Тбилиси,5 гр,0.0237,16139,6286,558,235.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
