,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Nadzaladevi,Saburtalo,Old Tbilisi (Старый город),Zahesi,Varketili,Авлобари,Батуми,Центр,desc_en
0,0,26-06-2020 19:03:34,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,9,нет,Тбилиси,0.25 гр,0.01,6824,2653,236,88.0,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,26-06-2020 19:03:34,Tbilisi,21e6be39fb,"Black Gerain, Sirec VHQ 0.4g",,1,нет,Тбилиси,0.4 гр,0.0124,8295,3217,286,,True,120.0,,,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
2,2,26-06-2020 19:03:34,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,,9,нет,Тбилиси,0.5 гр,0.0166,10991,4263,379,,True,159.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,3,26-06-2020 19:03:34,Tbilisi,16a8841259,Ayahuasca Purple 100% Indica 0.5г,,11,нет,Тбилиси,0.5 гр,0.0032,2143,831,74,,True,31.0,,,,,,,,,,Ayahuasca Purple 100% Indica 0.5g
4,4,26-06-2020 19:03:34,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,5,нет,Тбилиси,0.5 гр,0.0155,10369,4022,357,,True,150.0,,,,,,,,,,"Black Geroin, Sirec 0.5g"
5,5,26-06-2020 19:03:34,Tbilisi,ebadfc162f,Bubba Kush 0.5G Super strong 100%шишки! Last Ones!!!,,4,нет,Тбилиси,0.5 гр,0.0034,2281,885,79,,,33.0,True,True,,,,,,,,Bubba Kush 0.5G Super strong 100%shishki! Last Ones!!!
6,6,26-06-2020 19:03:34,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet,,6,нет,Тбилиси,0.5 гр,0.0152,10162,3941,350,,True,147.0,True,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet
7,7,26-06-2020 19:03:34,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,10,нет,Тбилиси,0.5 гр,0.0031,2074,804,71,,True,30.0,True,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
8,8,26-06-2020 19:03:34,Tbilisi,ebadfc162f,The Best Weed In Your Life 0.5G 100%шишки!,True,2,нет,Тбилиси,0.5 гр,0.0036,2420,938,83,,,35.0,,,,,,,,,,The Best Weed In Your Life 0.5G 100%shishki!
9,9,26-06-2020 19:03:34,Tbilisi,8e86176694,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",,7,нет,Тбилиси,0.5 гр,0.003,2074,804,71,,,30.0,,,True,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
10,10,26-06-2020 19:03:34,Tbilisi,8e86176694,КЕТАМИН WHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0141,10369,4022,357,,True,150.0,,,,,,,,,,KETAMIN WHQ 0.5g
11,11,26-06-2020 19:03:34,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,8,нет,Тбилиси,1 гр,0.0062,4148,1609,143,,,60.0,,,True,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
12,12,26-06-2020 19:03:34,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,2,нет,Тбилиси,1 гр,0.0061,4079,1582,141,,True,59.0,,,,,,,,,,1 G Hybrid Marijuana Buds
13,13,26-06-2020 19:03:34,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,4,нет,Тбилиси,1 гр,0.0057,3802,1475,131,,True,55.0,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
14,14,26-06-2020 19:03:34,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,1 гр,0.0061,4079,1582,141,,True,59.0,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
15,15,26-06-2020 19:03:34,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,24,нет,Тбилиси,1 гр,0.006,4009,1555,138,,,58.0,,,True,,,,,,,1G ---> Big Devil (BTC - Sale)
