,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Vake,Saburtalo,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,22-03-2020 16:19:51,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,1,нет,Тбилиси,0.25 гр,0.0132,7024,2529,230,90.0,,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,1,22-03-2020 16:19:51,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,2,нет,Тбилиси,0.25 гр,0.0278,14828,5339,486,190.0,,,,,,,,,,,,"Metadon VHQ 0,25"
2,2,22-03-2020 16:19:51,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.33 грамм",True,6,нет,Тбилиси,0.33 гр,0.0072,4208,1518,138,,50.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.33 gramm"
3,3,22-03-2020 16:19:51,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,True,3,нет,Тбилиси,0.5 гр,0.0095,5073,1827,166,65.0,,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
4,4,22-03-2020 16:19:51,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0169,9365,3372,307,120.0,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
5,5,22-03-2020 16:19:51,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 0.5 грамм,True,1,нет,Тбилиси,0.5 гр,0.0065,3787,1366,124,,45.0,,,,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 0.5 gramm
6,6,22-03-2020 16:19:51,Tbilisi,f4d1c31614,1g MDMA (IMPORTED),True,2,нет,Тбилиси,1 гр,0.0169,9365,3372,307,120.0,,,,,,,,,,,,1g MDMA (IMPORTED)
7,7,22-03-2020 16:19:51,Tbilisi,edfbad0151,Blue Cheese Auto 1G pressed buds(Hydro),True,6,нет,Тбилиси,1 гр,0.0065,3512,1265,115,45.0,,,,,,,,,,,,Blue Cheese Auto 1G pressed buds(Hydro)
8,8,22-03-2020 16:19:51,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0265,14750,5311,484,189.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
9,9,22-03-2020 16:19:51,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 1 штука!!!,True,8,нет,Тбилиси,1 гр,0.0031,1795,646,59,23.0,,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 1 shtuka!!!
10,10,22-03-2020 16:19:51,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0262,13970,5030,458,179.0,,True,,,,,,,,,,Kokain KOLUMBIA 1g
