,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,28-02-2020 02:42:31,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,8,нет,Тбилиси,0.5 гр,0.0119,7151,2678,244,109.0,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
1,1,28-02-2020 02:42:31,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,4,нет,Тбилиси,0.5 гр,0.0108,6495,2432,221,99.0,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
2,2,28-02-2020 02:42:31,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,5,нет,Тбилиси,0.8 гр,0.0163,9841,3686,335,150.0,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
3,3,28-02-2020 02:42:31,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,6,нет,Тбилиси,1 гр,0.0047,3149,1179,107,48.0,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
4,4,28-02-2020 02:42:31,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,,12,нет,Тбилиси,1 гр,0.0039,2428,909,83,37.0,True,,,,,,,,1G -- AK-47 -> Sativa
5,5,28-02-2020 02:42:31,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,1 гр,0.0217,12991,4865,442,198.0,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
6,6,28-02-2020 02:42:31,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0187,12466,4668,424,190.0,,,,,,,,,Cocaine Pure VHQ 1g
7,7,28-02-2020 02:42:31,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! Buds ! 1G,True,2,нет,Тбилиси,1 гр,0.0049,2952,1106,101,45.0,,,,,,,,,NEW ! Super Critical ! NEW ! Buds ! 1G
8,8,28-02-2020 02:42:31,Tbilisi,ae784bef73,NEW ! Super Skunk ! NEW ! BUDS ! 1g,True,1,нет,Тбилиси,1 гр,0.0049,2952,1106,101,45.0,,,,,,,,,NEW ! Super Skunk ! NEW ! BUDS ! 1g
9,9,28-02-2020 02:42:31,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,6,нет,Тбилиси,1 гр,0.0207,12400,4644,422,189.0,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
10,10,28-02-2020 02:42:31,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,4,нет,Тбилиси,1 гр,0.0187,11810,4423,402,180.0,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
11,11,28-02-2020 02:42:31,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,1,нет,Тбилиси,2 гр,0.0084,5577,2088,190,85.0,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
12,12,28-02-2020 02:42:31,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,1,нет,Тбилиси,2 гр,0.0087,5183,1941,176,79.0,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
13,13,28-02-2020 02:42:31,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,5,нет,Тбилиси,2 гр,0.0394,23620,8845,804,360.0,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
14,14,28-02-2020 02:42:31,Tbilisi,8219f5e7b8,"Cocaine, 2 g",True,1,нет,Тбилиси,2 гр,0.0438,26244,9828,894,400.0,,,,,,,,,"Cocaine, 2 g"
15,15,28-02-2020 02:42:31,Tbilisi,8219f5e7b8,Ketamine 2 g,True,1,нет,Тбилиси,2 гр,0.0197,11810,4423,402,180.0,,,,,,,,,Ketamine 2 g
16,16,28-02-2020 02:42:31,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,2,нет,Тбилиси,2 гр,0.0077,4593,1720,156,70.0,,,,,,,,,"LSD - 250 ug, 2 pieces"
17,17,28-02-2020 02:42:31,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0378,22898,8575,780,349.0,,True,,,,,,,Kokain KOLUMBIA 2g
