,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,Дигоми,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
0,0,09-05-2020 00:47:21,Tbilisi,8ddca45a78,"0,5g WHITE WIDOW (Hybrid, more sativa)",True,4,нет,Тбилиси,0.5 гр,0.0028,2068,759,69,28.0,,,,,,,,,,,,"0,5g WHITE WIDOW (Hybrid, more sativa)"
1,1,09-05-2020 00:47:21,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,0.5 гр,0.0035,2586,949,86,35.0,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
2,2,09-05-2020 00:47:21,Tbilisi,69672fee0d,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,3,нет,Тбилиси,0.5 гр,0.0034,2512,922,83,34.0,,,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
3,3,09-05-2020 00:47:21,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0138,10342,3795,343,140.0,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
4,4,09-05-2020 00:47:21,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,True,4,нет,Тбилиси,0.5 гр,0.0131,9603,3524,319,130.0,True,True,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
5,5,09-05-2020 00:47:21,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,1 гр,0.0055,4063,1491,135,55.0,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
6,6,09-05-2020 00:47:21,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,9,нет,Тбилиси,1 гр,0.03,22088,8106,734,299.0,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
7,7,09-05-2020 00:47:21,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,8,нет,Тбилиси,1 гр,0.0048,3546,1301,118,48.0,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
8,8,09-05-2020 00:47:21,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0234,17360,6371,577,235.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
9,9,09-05-2020 00:47:21,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.0236,17729,6506,589,240.0,,,,,,,,,,,,VHQ BEST Cocaine 1g.
10,10,09-05-2020 00:47:21,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0814,66485,24399,2208,900.0,,,,,,,,,,,,Metadon 1gr
11,11,09-05-2020 00:47:21,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,2 гр,0.0089,6575,2413,218,89.0,,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
12,12,09-05-2020 00:47:21,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,1,нет,Тбилиси,2 гр,0.0099,7387,2711,245,100.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds
13,13,09-05-2020 00:47:21,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,4,нет,Тбилиси,2 гр,0.009000000000000001,7313,2684,243,99.0,True,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
14,14,09-05-2020 00:47:21,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,2 гр,0.0089,6575,2413,218,89.0,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
15,15,09-05-2020 00:47:21,Tbilisi,4659482266,2g super Skunk top class buds.,,6,нет,Тбилиси,2 гр,0.0085,6279,2304,209,85.0,,,True,,,,,,,,,2g super Skunk top class buds.
16,16,09-05-2020 00:47:21,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.Авламбари,True,3,нет,Тбилиси,2 гр,0.006999999999999999,5171,1898,172,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
17,17,09-05-2020 00:47:21,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,6,нет,Тбилиси,2 гр,0.0089,6575,2413,218,89.0,,True,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
18,18,09-05-2020 00:47:21,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 2G,,1,нет,Тбилиси,2 гр,0.0097,7240,2657,240,98.0,True,,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 2G
19,19,09-05-2020 00:47:21,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,4,нет,Тбилиси,2 гр,0.0085,6279,2304,209,85.0,True,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
20,20,09-05-2020 00:47:21,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,3 гр,0.012,8791,3226,292,119.0,,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
21,21,09-05-2020 00:47:21,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0105,7757,2847,258,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
22,22,09-05-2020 00:47:21,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0305,23639,8675,785,320.0,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
23,23,09-05-2020 00:47:21,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0295,22162,8133,736,300.0,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
24,24,09-05-2020 00:47:21,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.0118,8791,3226,292,119.0,,,,,True,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
25,25,09-05-2020 00:47:21,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0176,12928,4744,429,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
26,26,09-05-2020 00:47:21,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0397,29475,10817,979,399.0,True,,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
27,27,09-05-2020 00:47:21,Tbilisi,21e6be39fb,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,True,1,нет,Тбилиси,10 гр,0.0328,24378,8946,810,330.0,,,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
