,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Saburtalo,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,25-04-2020 14:13:11,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1059,67245,24615,2217,900.0,,,,,,,,,,Metadon 1gr
1,1,25-04-2020 14:13:11,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,2 гр,0.0118,7472,2735,246,100.0,,,,,,,,,,2 G Hybrid Marijuana Buds
2,2,25-04-2020 14:13:11,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,2 гр,0.0103,5903,2161,195,79.0,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
3,3,25-04-2020 14:13:11,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,6,нет,Тбилиси,2 гр,0.011000000000000001,6351,2325,209,85.0,True,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
4,4,25-04-2020 14:13:11,Tbilisi,aeb8abccb9,✿✿ 2gr Hybrid Weeeed Indica Buds HQ ❤ ВСЕМ -30% !!!!!!!!!!!!!❤,,1,нет,Тбилиси,2 гр,0.0153,9713,3556,320,130.0,,True,,,,,,,,✿✿ 2gr Hybrid Weeeed Indica Buds HQ ❤ VSEM -30% !!!!!!!!!!!!!❤
5,5,25-04-2020 14:13:11,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA. Авламбари,True,2,нет,Тбилиси,3 гр,0.0137,7845,2872,259,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
6,6,25-04-2020 14:13:11,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,2,нет,Тбилиси,3 гр,0.0156,8891,3255,293,119.0,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
7,7,25-04-2020 14:13:11,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.0156,8891,3255,293,119.0,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
8,8,25-04-2020 14:13:11,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0397,23909,8752,788,320.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
9,9,25-04-2020 14:13:11,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0384,22415,8205,739,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
10,10,25-04-2020 14:13:11,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA. Технический универ,True,1,нет,Тбилиси,5 гр,0.0229,13075,4786,431,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
