,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Vake,€,Saburtalo,Дигоми,Tbilisis Zgva,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,14-03-2020 20:08:15,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,1,нет,Тбилиси,0.25 гр,0.0167,7319,2689,234,100.0,,,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,1,14-03-2020 20:08:15,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0288,13906,5109,445,190.0,,,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,14-03-2020 20:08:15,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0506,21956,8067,702,300.0,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
3,3,14-03-2020 20:08:15,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,6,нет,Тбилиси,0.5 гр,0.0042,1830,672,59,25.0,,,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
4,4,14-03-2020 20:08:15,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,6,нет,Тбилиси,1 гр,0.0076,3659,1345,117,50.0,,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
5,5,14-03-2020 20:08:15,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0083,3659,1345,117,50.0,,,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,6,14-03-2020 20:08:15,Tbilisi,4659482266,1 г.Super Skunk top class buds! Indica,,7,нет,Тбилиси,1 гр,0.0072,3147,1156,101,43.0,True,,,,,,,,,,,,1 g.Super Skunk top class buds! Indica
7,7,14-03-2020 20:08:15,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,5,нет,Тбилиси,1 гр,0.0142,6221,2286,199,85.0,,,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
8,8,14-03-2020 20:08:15,Tbilisi,64284550d9,1G ---> ONLY BUDS,True,17,нет,Тбилиси,1 гр,0.0064,2854,1049,91,39.0,,,,,,,,,,,,,1G ---> ONLY BUDS
9,9,14-03-2020 20:08:15,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,5,нет,Тбилиси,1 гр,0.0142,6221,2286,199,85.0,,,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
10,10,14-03-2020 20:08:15,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,15,нет,Тбилиси,1 гр,0.0077,3367,1237,108,46.0,,,,,,,,,,,,,Amsterdam weed sativa 1gr
11,11,14-03-2020 20:08:15,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0835,40254,14790,1287,550.0,,,,,,,,,,,,,Metadon VHQ 1 24/7
12,12,14-03-2020 20:08:15,Tbilisi,edfbad0151,THC Snow Buds Only 1G (THC 23+%),True,10,нет,Тбилиси,1 гр,0.0078,3440,1264,110,47.0,,,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
13,13,14-03-2020 20:08:15,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,14,нет,Тбилиси,1 гр,0.003,1464,538,47,20.0,True,,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
14,14,14-03-2020 20:08:15,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,11,нет,Тбилиси,2 гр,0.0137,6587,2420,211,90.0,,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
