,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
20,20-03-2020 17:26:28,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,,4,нет,Тбилиси,2 гр,0.0497,29579,10726,963,379,True,,,,,,,,,,Kokain HQ 2g.
21,20-03-2020 17:26:28,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,3,нет,Тбилиси,3 гр,0.0145,8195,2972,267,105,True,,,,,,,,,,3x Extasy Duracell 223mg MDMA
22,20-03-2020 17:26:28,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 3 штуки!!!,,1,нет,Тбилиси,3 гр,0.0062,3902,1415,127,50,True,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 3 shtuki!!!
23,20-03-2020 17:26:28,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0398,24974,9056,813,320,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
24,20-03-2020 17:26:28,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0406,23413,8490,762,300,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
25,20-03-2020 17:26:28,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0438,26088,9455,857,,True,310,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
26,20-03-2020 17:26:28,Tbilisi,ABOAB,ProGrow,5G ---> ONLY BUDS,True,4,нет,Тбилиси,5 гр,0.015,8585,3113,280,110,True,,,,,,,,,,5G ---> ONLY BUDS
27,20-03-2020 17:26:28,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,5 гр,0.0242,13658,4953,445,175,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
28,20-03-2020 17:26:28,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.1076,61421,22272,2000,787,,,True,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
29,20-03-2020 17:26:28,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,9,нет,Тбилиси,5 гр,0.0081,5073,1840,165,65,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
